Player,Date,City,State
Aaron Gordon,Sep 16 1995,San Jose,California
Aaron Holiday,Sep 30 1996,Ruston,Louisiana
Alec Burks,Jul 20 1991,Grandview,Missouri
Alex Caruso,Feb 28 1994,College Station,Texas
Al-Farouq Aminu,Sep 21 1990,Atlanta,Georgia
Alfonzo McKinnie,Sep 17 1992,Chicago,Illinois
Alize Johnson,Apr 22 1996,Williamsport,Pennsylvania
Allen Crabbe,Apr 9 1992,Los Angeles,California
Allonzo Trier,Jan 17 1996,Seattle,Washington
Amile Jefferson,May 7 1993,Philadelphia,Pennsylvania
Amir Coffey,Jun 17 1997,Hopkins,Minnesota
Andre Drummond,Aug 10 1993,Mount Vernon,New York
Andre Iguodala,Jan 28 1984,Springfield,Illinois
Anfernee Simons,Jun 8 1999,Longwood,Florida
Anthony Davis,Mar 11 1993,Chicago,Illinois
Anthony Tolliver,Jun 1 1985,Springfield,Missouri
Austin Rivers,Aug 1 1992,Santa Monica,California
Avery Bradley,Nov 26 1990,Tacoma,Washington
B.J. Johnson,Dec 21 1995,Philadelphia,Pennsylvania
Bam Adebayo,Jul 18 1997,Newark,New Jersey
Ben McLemore,Feb 11 1993,St. Louis,Missouri
Blake Griffin,Mar 16 1989,Oklahoma City,Oklahoma
Bobby Portis,Feb 10 1995,Little Rock,Arkansas
Brad Wanamaker,Jul 25 1989,Philadelphia,Pennsylvania
Bradley Beal,Jun 28 1993,St. Louis,Missouri
Brandon Goodwin,Oct 2 1995,Norcross,Georgia
Brandon Knight,Dec 2 1991,Miami,Florida
Brian Bowen,Oct 2 1998,Saginaw,Michigan
Brook Lopez,Apr 1 1988,North Hollywood,California
Bruce Brown,Aug 15 1996,Boston,Massachusetts
Bryn Forbes,Jul 23 1993,Lansing,Michigan
C.J. Miles,Mar 18 1987,Dallas,Texas
Caleb Swanigan,Apr 18 1997,Indianapolis,Indiana
Cam Reddish,Sep 1 1999,Norristown,Pennsylvania
Cameron Johnson,Mar 3 1996,Moon Township,Pennsylvania
Caris LeVert,Aug 25 1994,Columbus,Ohio
Carmelo Anthony,May 29 1984,Brooklyn,New York
Carsen Edwards,Mar 12 1998,Houston,Texas
Chandler Hutchison,Apr 26 1996,Mission Viejo,California
Chandler Parsons,Oct 25 1988,Casselberry,Florida
Charlie Brown,Feb 2 1997,Philadelphia,Pennsylvania
Chasson Randle,Feb 5 1993,Rock Island,Illinois
Chimezie Metu,Mar 22 1997,Los Angeles,California
Christian Wood,Sep 27 1995,Long Beach,California
CJ McCollum,Sep 19 1991,Canton,Ohio
Cody Zeller,Oct 5 1992,Washington,Indiana
Collin Sexton,Jan 4 1999,Marietta,Georgia
Courtney Lee,Oct 3 1985,Indianapolis,Indiana
D.J. Augustin,Nov 10 1987,New Orleans,Louisiana
D.J. Wilson,Feb 19 1996,Mount Shasta,California
Damian Jones,Jun 30 1995,Baton Rouge,Louisiana
Damian Lillard,Jul 15 1990,Oakland,California
Damion Lee,Oct 21 1992,Baltimore,Maryland
Damyean Dotson,May 6 1994,Houston,Texas
D'Angelo Russell,Feb 23 1996,Louisville,Kentucky
Daniel Gafford,Oct 1 1998,El Dorado,Arkansas
Danny Green,Jun 22 1987,North Babylon,New York
Danuel House,Jun 7 1993,Houston,Texas
DaQuan Jeffries,Aug 30 1997,Edmond,Oklahoma
Darius Bazley,Jun 12 2000,Boston,Massachusetts
Darius Garland,Jan 26 2000,Gary,Indiana
Daryl Macon,Nov 29 1995,Little Rock,Arkansas
David Nwaba,Jan 14 1993,Los Angeles,California
De'Aaron Fox,Dec 20 1997,New Orleans,Louisiana
Dean Wade,Nov 20 1996,Wichita,Kansas
De'Andre Hunter,Dec 2 1997,Philadelphia,Pennsylvania
DeAndre Jordan,Jul 21 1988,Houston,Texas
De'Anthony Melton,May 28 1998,North Hollywood,California
Dejounte Murray,Sep 19 1996,Seattle,Washington
Delon Wright,Apr 26 1992,Los Angeles,California
DeMar DeRozan,Aug 7 1989,Compton,California
DeMarre Carroll,Jul 27 1986,Birmingham,Alabama
Denzel Valentine,Nov 16 1993,Lansing,Michigan
Deonte Burton,Jan 31 1994,Milwaukee,Wisconsin
Derrick Favors,Jul 15 1991,Atlanta,Georgia
Derrick Jones Jr.,Feb 15 1997,Chester,Pennsylvania
Derrick Rose,Oct 4 1988,Chicago,Illinois
Derrick Walton,Apr 3 1995,Detroit,Michigan
Derrick White,Jul 2 1994,Parker,Colorado
Devin Booker,Oct 30 1996,Grand Rapids,Michigan
Devon Hall,Jul 7 1995,Virginia Beach,Virginia
Dewan Hernandez,Dec 9 1996,Miami,Florida
Dewayne Dedmon,Aug 12 1989,Lancaster,California
Dion Waiters,Dec 10 1991,Philadelphia,Pennsylvania
Domantas Sabonis,May 3 1996,Portland,Oregon
Donovan Mitchell,Sep 7 1996,Elmsford,New York
Donta Hall,Aug 7 1997,Luverne,Alabama
Donte DiVincenzo,Jan 31 1997,Newark,Delaware
Dorian Finney-Smith,May 4 1993,Portsmouth,Virginia
Doug McDermott,Jan 3 1992,Grand Forks,North Dakota
Draymond Green,Mar 4 1990,Saginaw,Michigan
Drew Eubanks,Feb 1 1997,Starkville,Mississippi
Duncan Robinson,Apr 22 1994,York,Maine
Dusty Hannahs,Sep 2 1993,Little Rock,Arkansas
Dwayne Bacon,Aug 30 1995,Lakeland,Florida
Dwight Howard,Dec 8 1985,Atlanta,Georgia
Ed Davis,Jun 5 1989,Washington,District of Columbia
Edmond Sumner,Dec 31 1995,Detroit,Michigan
Elfrid Payton,Feb 22 1994,Gretna,Louisiana
Eric Bledsoe,Dec 9 1989,Birmingham,Alabama
Eric Gordon,Dec 25 1988,Indianapolis,Indiana
Eric Paschall,Nov 4 1996,North Tarrytown,New York
E'Twaun Moore,Feb 25 1989,East Chicago,Indiana
Evan Turner,Oct 27 1988,Chicago,Illinois
Frank Jackson,May 4 1998,Washington,District of Columbia
Frank Kaminsky,Apr 4 1993,Lisle,Illinois
Frank Mason III,Apr 3 1994,Petersburg,Virginia
Fred VanVleet,Feb 25 1994,Rockford,Illinois
Gabe Vincent,Jun 14 1996,Modesto,California
Garrett Temple,May 8 1986,Baton Rouge,Louisiana
Gary Harris,Sep 14 1994,Fishers,Indiana
Gary Payton II,Dec 1 1992,Seattle,Washington
Gary Trent Jr.,Jan 18 1999,Columbus,Ohio
George Hill,May 4 1986,Indianapolis,Indiana
Georges Niang,Jun 17 1993,Lawrence,Massachusetts
Glenn Robinson III,Jan 8 1994,Gary,Indiana
Gordon Hayward,Mar 23 1990,Indianapolis,Indiana
Grant Williams,Nov 30 1998,Houston,Texas
Grayson Allen,Oct 8 1995,Jacksonville,Florida
Hamidou Diallo,Jul 31 1998,Queens,New York
Harrison Barnes,May 30 1992,Ames,Iowa
Henry Ellenson,Jan 13 1997,Rice Lake,Wisconsin
Iman Shumpert,Jun 26 1990,Oak Park,Illinois
Isaiah Hartenstein,May 5 1998,Eugene,Oregon
Isaiah Roby,Feb 3 1998,Dixon,Illinois
Isaiah Thomas,Feb 7 1989,Tacoma,Washington
J.P. Macura,Jun 5 1995,Lakeville,Minnesota
Ja Morant,Aug 10 1999,Dalzell,South Carolina
Jabari Parker,Mar 15 1995,Chicago,Illinois
Jae Crowder,Jul 6 1990,Villa Rica,Georgia
Jahlil Okafor,Dec 15 1995,Chicago,Illinois
JaKarr Sampson,Mar 20 1993,Cleveland,Ohio
Jake Layman,Mar 7 1994,Norwood,Massachusetts
Jalen Brunson,Aug 31 1996,New Brunswick,New Jersey
Jalen Lecque,Jun 13 2000,New York,New York
Jalen McDaniels,Jan 31 1998,Federal Way,Washington
James Ennis,Jul 1 1990,Ventura,California
James Harden,Aug 26 1989,Los Angeles,California
James Johnson,Feb 20 1987,Cheyenne,Wyoming
JaMychal Green,Jun 21 1990,Montgomery,Alabama
Jared Dudley,Jul 10 1985,San Diego,California
Jared Harper,Sep 14 1997,Atlanta,Georgia
Jaren Jackson Jr.,Sep 15 1999,Plainfield,New Jersey
Jarred Vanderbilt,Apr 3 1999,Houston,Texas
Jarrell Brantley,Jun 7 1996,Charleston,South Carolina
Jarrett Allen,Apr 21 1998,Austin,Texas
Jarrett Culver,Feb 20 1999,Dallas,Texas
Jarrod Uthoff,May 19 1993,Cedar Rapids,Iowa
JaVale McGee,Jan 19 1988,Flint,Michigan
Javonte Green,Jul 23 1993,Petersburg,Virginia
Jaxson Hayes,May 23 2000,Norman,Oklahoma
Jaylen Brown,Oct 24 1996,Marietta,Georgia
Jaylen Nowell,Jul 9 1999,Seattle,Washington
Jayson Tatum,Mar 3 1998,St. Louis,Missouri
Jeff Green,Aug 28 1986,Cheverly,Maryland
Jeff Teague,Jun 10 1988,Indianapolis,Indiana
Jerami Grant,Mar 12 1994,Portland,Oregon
Jeremy Lamb,May 30 1992,Henrico,Virginia
Jeremy Pargo,Mar 17 1986,Chicago,Illinois
Jevon Carter,Sep 14 1995,Maywood,Illinois
Jimmy Butler,Sep 14 1989,Houston,Texas
Joe Chealey,Nov 1 1995,Orlando,Florida
Joe Harris,Sep 6 1991,Chelan,Washington
John Konchar,Mar 22 1996,Chicago,Illinois
Johnathan Motley,May 4 1995,Houston,Texas
Jonathan Isaac,Oct 3 1997,The Bronx,New York
Jordan Bell,Jan 7 1995,Los Angeles,California
Jordan Clarkson,Jun 7 1992,Tampa,Florida
Jordan McLaughlin,Apr 9 1996,Etiwanda,California
Jordan McRae,Mar 28 1991,Savannah,Georgia
Jordan Poole,Jun 19 1999,Milwaukee,Wisconsin
Josh Gray,Sep 9 1993,Lake Charles,Louisiana
Josh Hart,Mar 6 1995,Silver Spring,Maryland
Josh Jackson,Feb 10 1997,San Diego,California
Josh Magette,Nov 28 1989,Birmingham,Alabama
Josh Reaves,Jun 4 1997,Fairfax,Virginia
Josh Richardson,Sep 15 1993,Edmond,Oklahoma
Jrue Holiday,Jun 12 1990,Chatsworth,California
Juan Toscano-Anderson,Apr 10 1993,Oakland,California
