,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Michael Ansley\anslemi01,3,1990,1992,149,2143,383,746,0,0,260,360,311,621,67,51,24,85,284,1026,0.513,,0.722,14.4,6.9,4.2,0.4,Feb 8 1967,Birmingham
2,Keith Askins\askinke01,9,1991,1999,486,7983,677,1688,275,774,223,311,525,1428,375,278,170,321,1094,1852,0.401,0.355,0.717,16.4,3.8,2.9,0.8,Dec 15 1967,Athens
3,Carl Bailey\baileca01,1,1982,1982,1,7,1,1,0,0,0,0,0,0,0,0,0,2,2,2,1,,,7,2,0,0,Apr 23 1958,Birmingham
4,Charles Barkley*\barklch01,16,1985,2000,1073,39330,8435,15605,538,2020,6349,8643,4260,12546,4215,1648,888,3376,3287,23757,0.541,0.266,0.735,36.7,22.1,11.7,3.9,Feb 20 1963,Leeds
5,Eric Bledsoe\bledser01,10,2011,2020,626,17427,3170,6930,678,2013,1881,2365,511,2488,3026,900,300,1650,1288,8899,0.457,0.337,0.795,27.8,14.2,4,4.8,Dec 9 1989,Birmingham
6,Tom Boswell\bosweto01,6,1976,1984,366,7046,1096,2058,6,11,623,860,676,1709,591,142,111,474,1102,2821,0.533,0.545,0.724,19.3,7.7,4.7,1.6,Oct 2 1953,Montgomery
7,David Bustion\bustida01,1,1973,1973,47,355,58,133,0,0,42,59,39,101,21,,,54,82,158,0.436,,0.712,7.6,3.4,2.1,0.4,Aug 30 1949,Gadsden
8,Jason Caffey\caffeja01,8,1996,2003,462,9045,1276,2652,0,8,816,1282,841,2022,420,209,110,647,1148,3368,0.481,0,0.637,19.6,7.3,4.4,0.9,Jun 12 1973,Mobile
9,DeMarre Carroll\carrode01,11,2010,2020,575,13616,1802,4192,657,1833,875,1182,654,2446,719,520,150,497,1123,5136,0.43,0.358,0.74,23.7,8.9,4.3,1.3,Jul 27 1986,Birmingham
10,Bobby Cattage\cattabo01,2,1982,1986,78,522,88,218,1,7,65,85,37,107,11,13,0,31,81,242,0.404,0.143,0.765,6.7,3.1,1.4,0.1,Aug 17 1958,Huntsville
11,Derrick Coleman\colemde01,15,1991,2005,781,25903,4616,10335,326,1105,3326,4326,2079,7232,1985,606,1051,2036,2062,12884,0.447,0.295,0.769,33.2,16.5,9.3,2.5,Jun 21 1967,Mobile
12,DeMarcus Cousins\couside01,9,2011,2019,565,18078,4283,9295,342,1031,3098,4205,1565,6131,1832,805,697,2000,2175,12006,0.461,0.332,0.737,32,21.2,10.9,3.2,Aug 13 1990,Mobile
13,Michael Curry\currymi01,11,1994,2005,667,13208,1094,2448,79,265,719,872,198,1045,804,333,66,459,1523,2986,0.447,0.298,0.825,19.8,4.5,1.6,1.2,Aug 22 1968,Anniston
14,Fennis Dembo\dembofe01,1,1989,1989,31,74,14,42,0,4,8,10,8,23,5,1,0,7,15,36,0.333,0,0.8,2.4,1.2,0.7,0.2,Jan 24 1966,Mobile
15,John Douglas\dougljo01,2,1982,1983,67,1043,182,395,19,61,69,104,27,91,147,48,9,92,147,452,0.461,0.311,0.663,15.6,6.7,1.4,2.2,Jun 12 1956,Town Creek
16,Leon Douglas\douglle01,7,1977,1983,456,10111,1386,2798,0,4,815,1355,1045,2954,479,210,325,660,1631,3587,0.495,0,0.601,22.2,7.9,6.5,1.1,Aug 26 1954,Leighton
17,John Drew\drewjo01,11,1975,1985,739,21828,5481,11658,10,57,4319,5774,2158,5088,1224,1004,193,1402,2641,15291,0.47,0.175,0.748,29.5,20.7,6.9,1.7,Sep 30 1954,Vredenburgh
18,T.R. Dunn\dunntr01,14,1978,1991,993,23080,2030,4443,1,20,972,1341,1729,4371,1631,1316,252,815,2072,5033,0.457,0.05,0.725,23.2,5.1,4.4,1.6,Feb 1 1955,Birmingham
19,Jim Farmer\farmeji01,5,1988,1994,136,1454,275,643,22,78,143,196,77,186,111,42,4,118,164,715,0.428,0.282,0.73,10.7,5.3,1.4,0.8,Sep 23 1964,Dothan
20,Rod Foster\fostero01,3,1984,1986,207,3446,631,1434,72,242,228,297,75,258,479,137,10,286,441,1562,0.44,0.298,0.768,16.6,7.5,1.2,2.3,Oct 10 1960,Birmingham
21,Mickell Gladness\gladnmi01,1,2012,2012,26,252,25,59,0,0,6,12,14,58,5,4,20,7,32,56,0.424,,0.5,9.7,2.2,2.2,0.2,Jul 26 1986,Birmingham
22,Orlando Graham\grahaor01,1,1989,1989,7,22,3,10,0,0,2,4,8,11,0,0,0,2,6,8,0.3,,0.5,3.1,1.1,1.6,0,May 5 1965,Montgomery
23,Travis Grant\granttr01,4,1973,1976,201,4309,1183,2257,2,6,399,492,284,819,211,106,51,261,396,2767,0.524,0.333,0.811,21.4,13.8,4.1,1,Jan 1 1950,Clayton
24,JaMychal Green\greenja01,6,2015,2020,354,7754,1085,2308,258,703,437,570,651,2183,327,200,151,399,954,2865,0.47,0.367,0.767,21.9,8.1,6.2,0.9,Jun 21 1990,Montgomery
25,Lamar Green\greenla01,6,1970,1975,411,7304,893,2078,0,0,347,526,199,2550,310,49,68,60,1041,2133,0.43,,0.66,17.8,5.2,6.2,0.8,Mar 22 1947,Birmingham
26,Donta Hall\halldo01,1,2020,2020,4,48,1,4,0,0,4,6,6,15,2,1,1,2,9,6,0.25,,0.667,12,1.5,3.8,0.5,Aug 7 1997,Luverne
27,Darrin Hancock\hancoda01,3,1995,1997,133,1395,196,370,2,6,73,126,58,169,89,56,10,97,157,467,0.53,0.333,0.579,10.5,3.5,1.3,0.7,Nov 3 1971,Birmingham
28,Cecil Hankins\hankice01,2,1947,1948,80,,140,507,,,114,185,,,22,,,,77,394,0.276,,0.616,,4.9,,0.3,Jan 6 1922,Covin
29,James Hardy\hardyja01,4,1979,1982,249,5379,611,1269,1,3,187,267,437,1312,315,178,235,299,590,1410,0.481,0.333,0.7,21.6,5.7,5.3,1.3,Dec 1 1956,Knoxville
30,Johnny High\highjo01,4,1980,1984,274,4538,508,1168,4,38,376,607,219,617,525,325,86,455,712,1396,0.435,0.105,0.619,16.6,5.1,2.3,1.9,Apr 25 1957,Birmingham
31,Cedrick Hordges\hordgce01,2,1981,1982,145,2971,425,894,3,16,246,385,239,853,169,59,38,231,456,1099,0.475,0.188,0.639,20.5,7.6,5.9,1.2,Jan 8 1957,Montgomery
32,Robert Horry\horryro01,16,1993,2008,1107,27069,2820,6643,795,2329,1280,1762,1644,5269,2343,1158,1035,1378,2680,7715,0.425,0.341,0.726,24.5,7,4.8,2.1,Aug 25 1970,Andalusia
33,Elvin Ivory\ivoryel01,1,1969,1969,20,188,38,87,1,4,11,17,34,66,9,,,14,38,88,0.437,0.25,0.647,9.4,4.4,3.3,0.5,Jul 2 1948,Birmingham
34,Stanley Jackson\jacksst01,1,1994,1994,17,92,17,33,1,5,3,3,12,27,16,5,0,10,13,38,0.515,0.2,1,5.4,2.2,1.6,0.9,Oct 10 1970,Tuskegee
35,Henry James\jameshe01,7,1991,1998,212,2703,472,1139,152,402,196,242,106,318,87,48,18,134,306,1292,0.414,0.378,0.81,12.8,6.1,1.5,0.4,Jul 29 1965,Centreville
36,Buck Johnson\johnsbu01,7,1987,1993,505,11849,1922,3942,7,62,766,1038,623,1760,856,404,252,664,1403,4617,0.488,0.113,0.738,23.5,9.1,3.5,1.7,Jan 3 1964,Birmingham
37,Ken Johnson\johnske01,1,1986,1986,64,815,113,214,0,0,37,85,90,243,19,13,22,59,147,263,0.528,,0.435,12.7,4.1,3.8,0.3,Nov 7 1962,Tuskegee
38,Nate Johnston\johnsna01,1,1990,1990,21,87,18,48,1,4,9,13,13,23,1,3,8,6,11,46,0.375,0.25,0.692,4.1,2.2,1.1,0,Dec 18 1966,Birmingham
39,Edgar Jones\jonesed01,6,1981,1986,363,6960,1207,2384,16,61,827,1164,562,1745,331,220,455,563,1164,3257,0.506,0.262,0.71,19.2,9,4.8,0.9,Jun 17 1956,Fort Rucker
40,Walter Jordan\jordawa01,1,1981,1981,30,207,29,75,0,0,10,17,23,42,11,11,5,17,35,68,0.387,,0.588,6.9,2.3,1.4,0.4,Feb 19 1956,Perry
41,Larry Kenon\kenonla01,10,1974,1983,752,24510,5476,11238,2,14,2000,2550,2303,6701,1672,952,247,1800,1723,12954,0.487,0.143,0.784,32.6,17.2,8.9,2.2,Dec 13 1952,Birmingham
42,Warren Kidd\kiddwa01,1,1994,1994,68,884,100,169,0,0,47,86,76,233,19,19,23,44,129,247,0.592,,0.547,13,3.6,3.4,0.3,Sep 9 1970,Harpersville
43,Stan Kimbrough\kimbrst01,2,1990,1993,13,65,9,22,1,2,2,2,4,7,6,5,0,4,5,21,0.409,0.5,1,5,1.6,0.5,0.5,Apr 24 1966,Tuscaloosa
44,Reggie King\kingre01,6,1980,1985,438,11345,1512,2940,0,3,874,1251,850,2707,691,365,147,653,1005,3898,0.514,0,0.699,25.9,8.9,6.2,1.6,Feb 14 1957,Birmingham
45,Antonio Lang\langan02,6,1995,2000,143,1395,121,266,0,8,87,121,80,210,50,55,46,89,207,329,0.455,0,0.719,9.8,2.3,1.5,0.3,May 15 1972,Mobile
46,James Lang\langja01,1,2007,2007,11,55,4,9,0,0,3,5,5,11,2,0,3,2,14,11,0.444,,0.6,5,1,1,0.2,Oct 17 1983,Mobile
47,Josh Magette\magetjo01,2,2018,2020,26,254,20,61,9,26,9,10,3,25,62,11,2,14,20,58,0.328,0.346,0.9,9.8,2.2,1,2.4,Nov 28 1989,Birmingham
48,Jeff Malone\malonje01,13,1984,1996,905,29660,7099,14674,86,321,2947,3383,572,2364,2154,577,100,1538,1695,17231,0.484,0.268,0.871,32.8,19,2.6,2.4,Jun 28 1961,Mobile
49,Keith McCord\mccorke01,1,1981,1981,2,9,2,4,0,0,0,0,1,2,1,0,0,2,0,4,0.5,,,4.5,2,1,0.5,Jun 22 1957,Birmingham
50,K.J. McDaniels\mcdankj01,3,2015,2017,148,2092,278,675,70,241,156,201,96,324,95,70,94,151,205,782,0.412,0.29,0.776,14.1,5.3,2.2,0.6,Feb 9 1993,Mobile
51,George McGinnis*\mcginge01,11,1972,1982,842,28179,6381,13940,83,304,4164,6267,3143,9233,3089,1448,332,2763,3220,17009,0.458,0.273,0.664,33.5,20.2,11,3.7,Aug 12 1950,Harpersville
52,Thales McReynolds\mcreyth01,1,1966,1966,5,28,1,12,,,1,2,,6,1,,,,0,3,0.083,,0.5,5.6,0.6,1.2,0.2,Jun 8 1943,Birmingham
53,Joe Meriweather\meriwjo01,10,1976,1985,670,14807,2170,4244,1,3,1098,1598,1285,3764,603,311,810,737,2253,5439,0.511,0.333,0.687,22.1,8.1,5.6,0.9,Oct 26 1953,Phenix City
54,Larry Moffett\moffela01,1,1978,1978,20,110,5,17,,,6,10,10,21,7,2,2,8,16,16,0.294,,0.6,5.5,0.8,1.1,0.4,Nov 5 1954,Mobile
55,Jamario Moon\moonja01,5,2008,2012,286,6451,723,1568,177,538,184,229,201,1227,291,229,236,147,424,1807,0.461,0.329,0.803,22.6,6.3,4.3,1,Jun 13 1980,Goodwater
56,Allen Murphy\murphal01,2,1976,1977,31,266,44,119,0,1,30,44,27,51,13,10,8,27,57,118,0.37,0,0.682,8.6,3.8,1.6,0.4,Jul 15 1952,Birmingham
57,Pete Myers\myerspe01,9,1987,1998,377,6039,660,1568,32,146,452,677,220,671,807,263,76,465,681,1804,0.421,0.219,0.668,16,4.8,1.8,2.1,Sep 15 1963,Mobile
58,Wiley Peck\peckwi01,1,1980,1980,52,628,73,169,0,2,34,55,66,183,33,17,23,48,100,180,0.432,0,0.618,12.1,3.5,3.5,0.6,Sep 15 1957,Montgomery
