,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Mark Alarie\alarima01,5,1987,1991,325,5500,1037,2184,34,135,324,418,438,1120,363,132,109,309,712,2432,0.475,0.252,0.775,16.9,7.5,3.4,1.1,Dec 11 1963,Phoenix
2,Marvin Bagley\baglema01,2,2019,2020,75,1901,434,873,34,118,206,293,191,568,72,39,71,116,163,1108,0.497,0.288,0.703,25.3,14.8,7.6,1,Mar 14 1999,Tempe
3,Jerryd Bayless\bayleje01,11,2009,2019,586,12486,1719,4180,499,1382,972,1188,176,1235,1674,370,73,825,1206,4909,0.411,0.361,0.818,21.3,8.4,2.1,2.9,Aug 20 1988,Phoenix
4,Zylan Cheatham\cheatzy01,1,2020,2020,3,31,2,5,0,1,0,0,1,6,2,0,1,3,5,4,0.4,0,,10.3,1.3,2,0.7,Nov 17 1995,Phoenix
5,Steve Colter\coltest01,8,1985,1995,526,9570,1295,2891,76,263,653,839,297,1051,1482,463,76,534,897,3319,0.448,0.289,0.778,18.2,6.3,2,2.8,Jul 24 1962,Phoenix
6,Bryce Cotton\cottobr01,2,2015,2016,23,198,33,79,7,23,15,18,3,18,18,7,0,17,8,88,0.418,0.304,0.833,8.6,3.8,0.8,0.8,Aug 11 1992,Tucson
7,Ron Davis\davisro01,3,1977,1982,78,951,157,374,2,8,101,177,56,139,53,43,11,66,115,417,0.42,0.25,0.571,12.2,5.3,1.8,0.7,May 1 1954,Phoenix
8,Sean Elliott\elliose01,12,1990,2001,742,24502,3852,8290,589,1572,2251,2816,819,3204,1897,576,284,1328,1626,10544,0.465,0.375,0.799,33,14.2,4.3,2.6,Feb 2 1968,Tucson
9,Nick Johnson\johnsni01,1,2015,2015,28,262,26,75,5,21,17,25,13,39,11,7,3,19,34,74,0.347,0.238,0.68,9.4,2.6,1.4,0.4,Dec 22 1992,Tempe
10,Kevin Knox\knoxke01,2,2019,2020,140,3324,482,1315,190,563,228,327,89,519,143,66,52,159,281,1382,0.367,0.337,0.697,23.7,9.9,3.7,1,Aug 11 1999,Phoenix
11,Perry Moss\mosspe01,2,1986,1987,136,1710,207,499,8,46,114,158,63,210,198,98,18,136,228,536,0.415,0.174,0.722,12.6,3.9,1.5,1.5,Nov 11 1958,Tucson
12,Larry Owens\owensla01,2,2011,2012,19,218,19,43,8,18,7,13,3,28,12,9,6,7,28,53,0.442,0.444,0.538,11.5,2.8,1.5,0.6,Jan 8 1983,Mesa
13,Wayne See\seewa01,1,1950,1950,61,,113,303,,,94,135,,,143,,,,147,320,0.373,,0.696,,5.2,,2.3,Nov 3 1923,Clemenceau
14,Bernard Thompson\thompbe01,5,1985,1989,204,2935,410,934,0,17,258,327,164,352,266,127,27,181,391,1078,0.439,0,0.789,14.4,5.3,1.7,1.3,Aug 30 1962,Phoenix
15,Matisse Thybulle\thybuma01,1,2020,2020,57,1110,96,234,50,142,25,41,35,86,70,80,40,45,120,267,0.41,0.352,0.61,19.5,4.7,1.5,1.2,Mar 4 1997,Scottsdale
16,Paul Watson\watsopa01,1,2020,2020,5,25,0,8,0,4,1,2,0,4,5,1,1,0,1,1,0,0,0.5,5,0.2,0.8,1,Dec 30 1994,Phoenix
17,Alan Williams\willial03,4,2016,2019,67,872,163,322,0,2,87,139,115,371,39,37,38,51,155,413,0.506,0,0.626,13,6.2,5.5,0.6,Jan 28 1993,Phoenix
