,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,James Anderson\anderja01,5,2011,2016,247,4320,525,1276,196,611,176,233,108,560,291,121,55,216,292,1422,0.411,0.321,0.755,17.5,5.8,2.3,1.2,Mar 25 1989,El Dorado
2,Jim Barnes\barneji01,7,1965,1971,454,9455,1548,3607,,,901,1317,,2939,377,,,,1497,3997,0.429,,0.684,20.8,8.8,6.5,0.8,Apr 13 1941,Tuckerman
3,Leon Blevins\blevile01,1,1951,1951,2,,1,4,,,0,1,,2,1,,,,3,2,0.25,,0,,1,1,0.5,Jun 25 1926,Black Oak
4,Ron Brewer\brewero01,8,1979,1986,501,12892,2497,5437,30,121,947,1149,335,971,920,480,249,706,835,5971,0.459,0.248,0.824,25.7,11.9,1.9,1.8,Sep 16 1955,Fort Smith
5,Marcus Brown\brownma01,2,1997,2000,27,229,32,84,13,39,15,21,7,22,23,8,2,16,34,92,0.381,0.333,0.714,8.5,3.4,0.8,0.9,Apr 3 1974,West Memphis
6,Bob Burrow\burrobo01,2,1957,1958,81,1199,159,436,,,141,244,,357,47,,,,180,459,0.365,,0.578,14.8,5.7,4.4,0.6,Jun 29 1934,Malvern
7,Michael Cage\cagemi01,15,1985,2000,1140,29716,3317,6445,0,25,1644,2476,3227,8646,1057,1050,725,1161,2581,8278,0.515,0,0.664,26.1,7.3,7.6,0.9,Jan 28 1962,West Memphis
8,Cory Carr\carrco01,1,1999,1999,42,624,71,216,5,30,24,32,8,49,66,21,7,46,66,171,0.329,0.167,0.75,14.9,4.1,1.2,1.6,Dec 5 1975,Fordyce
9,Joe Barry Carroll\carrojo01,10,1981,1991,705,22838,5021,10583,0,13,2413,3232,1690,5404,1264,687,1121,1964,2212,12455,0.474,0,0.747,32.4,17.7,7.7,1.8,Jul 24 1958,Pine Bluff
10,Archie Clark\clarkar01,10,1967,1976,725,23581,4693,9784,,,2433,3163,130,2427,3498,231,15,,1806,11819,0.48,,0.769,32.5,16.3,3.3,4.8,Jul 15 1941,Conway
11,Nat Clifton*\cliftna01,8,1951,1958,544,14369,2082,5766,,,1280,2021,,4469,1367,,,,1840,5444,0.361,,0.633,30,10,8.2,2.5,Oct 13 1922,Little Rock
12,Mike Conley\conlemi01,13,2008,2020,829,26871,4379,9970,1166,3107,2376,2905,367,2460,4687,1192,166,1662,1640,12300,0.439,0.375,0.818,32.4,14.8,3,5.7,Oct 11 1987,Fayetteville
13,John Dickson\dicksjo01,1,1968,1968,21,100,14,39,0,0,8,13,,33,3,,,10,11,36,0.359,,0.615,4.8,1.7,1.6,0.1,Nov 18 1945,Searcy
14,Jeremy Evans\evansje01,7,2011,2018,250,2626,364,640,6,26,145,211,239,641,107,90,121,85,291,879,0.569,0.231,0.687,10.5,3.5,2.6,0.4,Oct 24 1987,Crossett
15,Derek Fisher\fishede01,18,1997,2014,1287,32719,3720,9329,1248,3341,2025,2479,414,2658,3804,1352,98,1473,2684,10713,0.399,0.374,0.817,25.4,8.3,2.1,3,Aug 9 1974,Little Rock
16,Daniel Gafford\gaffoda01,1,2020,2020,43,609,94,134,0,0,32,60,52,106,21,13,56,29,98,220,0.701,,0.533,14.2,5.1,2.5,0.5,Oct 1 1998,El Dorado
17,Archie Goodwin\goodwar01,4,2014,2017,165,2396,367,856,45,191,261,373,86,331,206,69,38,206,192,1040,0.429,0.236,0.7,14.5,6.3,2,1.2,Aug 17 1994,Little Rock
