,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Alex Acker\ackeral01,2,2006,2009,30,234,34,92,8,25,5,10,9,29,16,6,4,11,13,81,0.37,0.32,0.5,7.8,2.7,1,0.5,Jan 21 1983,Compton
2,Mark Acres\acresma01,6,1988,1993,375,5982,514,1016,7,13,308,463,581,1525,180,137,104,235,932,1343,0.506,0.538,0.665,16,3.6,4.1,0.5,Nov 15 1962,Inglewood
3,Hassan Adams\adamsha01,2,2007,2009,73,547,79,148,0,1,27,42,36,84,14,18,5,26,51,185,0.534,0,0.643,7.5,2.5,1.2,0.2,Jun 20 1984,Inglewood
4,Rick Adelman\adelmri01,7,1969,1975,462,10427,1381,3330,,,817,1146,41,1129,1606,106,9,,990,3579,0.415,,0.713,22.6,7.7,2.4,3.5,Jun 16 1946,Lynwood
5,Arron Afflalo\afflaar01,11,2008,2018,762,20829,2983,6633,852,2205,1380,1673,334,2176,1386,341,141,852,1481,8198,0.45,0.386,0.825,27.3,10.8,2.9,1.8,Oct 15 1985,Los Angeles
6,Josh Akognon\akognjo01,1,2013,2013,3,9,2,4,1,2,0,0,0,1,1,0,0,0,3,5,0.5,0.5,,3,1.7,0.3,0.3,Feb 10 1986,Greenbrae
7,Ray Allen*\allenra02,18,1997,2014,1300,46344,8567,18955,2973,7429,4398,4920,1230,5272,4361,1451,244,2709,2858,24505,0.452,0.4,0.894,35.6,18.9,4.1,3.4,Jul 20 1975,Merced
8,Darrell Allums\allumda01,1,1981,1981,22,276,23,67,0,1,13,22,19,65,25,5,8,23,51,59,0.343,0,0.591,12.5,2.7,3,1.1,Sep 12 1958,Los Angeles
9,Lou Amundson\amundlo01,10,2007,2016,428,5507,648,1368,0,3,268,603,644,1541,190,152,306,299,835,1564,0.474,0,0.444,12.9,3.7,3.6,0.4,Dec 7 1982,Ventura
10,Chris Andersen\anderch01,15,2002,2017,695,12273,1336,2512,15,68,1068,1632,1176,3493,337,312,991,513,1342,3755,0.532,0.221,0.654,17.7,5.4,5,0.5,Jul 7 1978,Long Beach
11,Richard Anderson\anderri01,6,1983,1990,407,6002,909,2206,148,445,294,386,457,1418,611,225,94,362,691,2260,0.412,0.333,0.762,14.7,5.6,3.5,1.5,Nov 19 1960,San Pedro
