,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Chauncey Billups\billuch01,17,1998,2014,1043,33008,4738,11413,1830,4725,4496,5029,480,2992,5636,1051,168,2138,2169,15802,0.415,0.387,0.894,31.6,15.2,2.9,5.4,Sep 25 1976,Denver
2,Kaniel Dickens\dickeka01,3,2004,2008,19,85,8,20,3,9,3,4,5,12,2,2,2,3,9,22,0.4,0.333,0.75,4.5,1.2,0.6,0.1,Jul 21 1978,Denver
3,Bob Doll\dollbo01,4,1947,1950,196,,633,2211,,,387,585,,,273,,,,509,1653,0.286,,0.662,,8.4,,1.4,Aug 10 1919,Steamboat Springs
4,Nick Fazekas\fazekni01,1,2008,2008,26,269,46,82,0,2,15,22,34,89,11,8,11,13,25,107,0.561,0,0.682,10.3,4.1,3.4,0.4,Jun 17 1985,Denver
5,Eddie Gill\gilled01,7,2001,2009,187,2033,179,496,63,197,150,177,28,207,217,104,14,139,209,571,0.361,0.32,0.847,10.9,3.1,1.1,1.2,Aug 16 1978,Aurora
6,Glen Gondrezick\gondrgl01,6,1978,1983,435,7545,979,2069,2,14,584,807,730,1964,605,485,117,453,1101,2544,0.473,0.143,0.724,17.3,5.8,4.5,1.4,Aug 30 1955,Boulder
7,Grant Gondrezick\gondrgr01,2,1987,1989,91,1080,173,395,7,28,101,147,62,146,115,38,5,73,127,454,0.438,0.25,0.687,11.9,5,1.6,1.3,Jan 19 1963,Boulder
8,Tom Hovasse\hovasto01,1,1995,1995,2,4,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,,2,0,0,0,Jan 31 1967,Durango
9,Joe Kleine\kleinjo01,15,1986,2000,965,14712,1902,4201,13,48,849,1069,1268,3991,622,261,285,777,1988,4666,0.453,0.271,0.794,15.2,4.8,4.1,0.6,Jan 4 1962,Colorado Springs
10,Darrick Martin\martida01,13,1995,2008,514,9165,1186,3108,350,1030,803,952,101,588,1475,340,22,631,894,3525,0.382,0.34,0.843,17.8,6.9,1.1,2.9,Mar 6 1971,Denver
11,Eric McWilliams\mcwiler01,1,1973,1973,44,245,34,98,,,18,37,,60,5,,,,46,86,0.347,,0.486,5.6,2,1.4,0.1,Apr 18 1950,Denver
12,Chuck Nevitt\nevitch01,9,1983,1994,155,826,99,226,0,0,53,90,82,239,19,18,111,80,211,251,0.438,,0.589,5.3,1.6,1.5,0.1,Jun 13 1959,Cortez
13,Don Putman\putnado01,4,1947,1950,216,,410,1564,,,210,338,,,285,,,,449,1030,0.262,,0.621,,4.8,,1.3,Nov 13 1922,Wray
14,Michael Ruffin\ruffimi01,9,2000,2009,414,5966,258,634,0,3,200,436,729,1632,250,199,193,273,942,716,0.407,0,0.459,14.4,1.7,3.9,0.6,Jan 21 1977,Denver
15,Ron Shavlik\shavlro01,2,1957,1958,8,74,4,23,,,2,5,,23,0,,,,12,10,0.174,,0.4,9.3,1.3,2.9,0,Dec 4 1933,Denver
16,Jason Smith\smithja02,11,2008,2019,616,10029,1572,3360,84,252,549,701,656,2075,453,208,408,507,1337,3777,0.468,0.333,0.783,16.3,6.1,3.4,0.7,Mar 2 1986,Greeley
17,Derrick White\whitede01,3,2018,2020,145,3335,489,1040,113,315,259,318,70,466,478,110,105,178,286,1350,0.47,0.359,0.814,23,9.3,3.2,3.3,Jul 2 1994,Parker
18,Charles Williams\willich01,6,1968,1973,372,11444,2337,5998,210,795,1136,1593,296,1157,992,,,1048,1144,6020,0.39,0.264,0.713,30.8,16.2,3.1,2.7,Sep 5 1943,Colorado Springs
19,Chuck Williams\willich02,8,1971,1978,638,17894,2525,5403,16,55,1828,2313,459,1489,2869,399,43,1243,1355,6894,0.467,0.291,0.79,28,10.8,2.3,4.5,Jun 6 1946,Boulder
