,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Michael Adams\adamsmi01,11,1986,1996,653,20446,3257,7849,949,2857,2158,2543,416,1900,4209,1081,67,1402,1193,9621,0.415,0.332,0.849,31.3,14.7,2.9,6.4,Jan 19 1963,Hartford
2,Chuck Aleksinas\aleksch01,1,1985,1985,74,1114,161,337,0,1,55,75,87,270,36,15,15,72,171,377,0.478,0,0.733,15.1,5.1,3.6,0.5,Feb 26 1959,Litchfield
3,Courtney Alexander\alexaco02,3,2001,2003,187,4067,655,1552,41,121,339,417,124,409,227,111,18,203,377,1690,0.422,0.339,0.813,21.7,9,2.2,1.2,Apr 27 1977,Bridgeport
4,John Bagley\baglejo01,11,1983,1994,665,17120,2359,5398,114,473,970,1245,413,1729,3980,755,54,1512,1090,5802,0.437,0.241,0.779,25.7,8.7,2.6,6,Apr 23 1960,Bridgeport
5,Scott Burrell\burresc01,8,1994,2001,383,7592,971,2321,339,909,366,506,395,1332,527,341,180,337,865,2647,0.418,0.373,0.723,19.8,6.9,3.5,1.4,Jan 12 1971,New Haven
6,Tom Callahan\callato01,1,1947,1947,13,,6,29,,,5,12,,,4,,,,9,17,0.207,,0.417,,1.3,,0.3,Jun 2 1921,Stamford
7,Marcus Camby\cambyma01,17,1997,2013,973,28684,3767,8077,18,88,1710,2551,2611,9513,1837,967,2331,1362,2687,9262,0.466,0.205,0.67,29.5,9.5,9.8,1.9,Mar 22 1974,Hartford
8,Keith Closs\closske01,3,1998,2000,130,1647,201,427,0,4,100,165,133,372,44,28,163,78,167,502,0.471,0,0.606,12.7,3.9,2.9,0.3,Apr 3 1976,Hartford
9,Chris Dudley\dudlech02,16,1988,2003,886,16321,1391,3380,0,5,691,1508,2234,5457,375,334,1027,740,2328,3473,0.412,0,0.458,18.4,3.9,6.2,0.4,Feb 22 1965,Stamford
10,Kris Dunn\dunnkr01,4,2017,2020,227,5516,771,1827,127,415,215,296,90,760,948,351,101,411,676,1884,0.422,0.306,0.726,24.3,8.3,3.3,4.2,Mar 18 1994,New London
11,Johnny Egan\eganjo01,11,1962,1972,712,14448,2089,4867,,,1343,1668,,1294,2102,,,,1441,5521,0.429,,0.805,20.3,7.8,1.8,3,Jan 31 1939,Hartford
12,John Garris\garrijo01,1,1984,1984,33,267,52,102,0,0,27,34,35,77,10,8,6,11,40,131,0.51,,0.794,8.1,4,2.3,0.3,Jun 6 1959,Bridgeport
13,Michael Gbinije\gbinimi01,1,2017,2017,9,32,1,10,0,4,2,2,2,3,2,0,0,0,2,4,0.1,0,1,3.6,0.4,0.3,0.2,Jun 5 1992,Hartford
14,Mike Gminski\gminsmi01,14,1981,1994,938,24058,4208,9047,6,49,2531,3002,2082,6480,1203,507,989,1368,1574,10953,0.465,0.122,0.843,25.6,11.7,6.9,1.3,Aug 3 1959,Monroe
15,Ryan Gomes\gomesry01,8,2006,2014,487,13463,1891,4249,334,956,810,1014,617,2239,712,351,78,550,942,4926,0.445,0.349,0.799,27.6,10.1,4.6,1.5,Sep 1 1982,Waterbury
16,Aaron Jackson\jacksaa01,1,2018,2018,1,35,3,9,1,4,1,2,2,3,1,0,0,1,4,8,0.333,0.25,0.5,35,8,3,1,May 6 1986,Hartford
17,Jim Johnstone\johnsji01,1,1983,1983,23,191,11,30,0,0,9,20,15,46,11,3,7,15,33,31,0.367,,0.45,8.3,1.3,2,0.5,Sep 20 1960,New Canaan
