,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Dexter Boney\boneyde01,1,1997,1997,8,48,6,19,1,6,6,8,3,6,0,2,1,1,3,19,0.316,0.167,0.75,6,2.4,0.8,0,Apr 27 1970,Wilmington
2,Donte DiVincenzo\divindo01,2,2019,2020,86,1773,259,576,98,304,69,90,75,354,167,93,24,91,135,685,0.45,0.322,0.767,20.6,8,4.1,1.9,Jan 31 1997,Newark
3,Trevon Duval\duvaltr01,1,2019,2019,3,6,2,3,1,1,0,0,0,1,2,0,0,0,0,5,0.667,1,,2,1.7,0.3,0.7,Aug 3 1998,New Castle
4,A.J. English\engliaj01,2,1991,1992,151,3108,617,1418,9,65,259,333,140,315,320,57,24,203,287,1502,0.435,0.138,0.778,20.6,9.9,2.1,2.1,Jul 11 1967,Wilmington
5,Joey Graham\grahajo01,6,2006,2011,377,6117,857,1776,54,180,471,578,272,1058,207,134,43,309,804,2239,0.483,0.3,0.815,16.2,5.9,2.8,0.5,Jun 11 1982,Wilmington
6,Stephen Graham\grahast01,6,2006,2011,239,2915,378,848,53,172,157,205,77,424,117,57,19,155,352,966,0.446,0.308,0.766,12.2,4,1.8,0.5,Jun 11 1982,Wilmington
7,Walt Hazzard\abdulma01,10,1965,1974,724,19202,3597,8162,,,1893,2502,18,2146,3555,26,6,,2027,9087,0.441,,0.757,26.5,12.6,3,4.9,Apr 15 1942,Wilmington
8,Ronnie Murphy\murphro01,1,1988,1988,18,89,14,49,1,4,7,11,5,11,6,5,1,8,14,36,0.286,0.25,0.636,4.9,2,0.6,0.3,Jul 29 1964,Dover
9,Terence Stansbury\stanste01,3,1985,1987,192,2984,468,1055,24,107,240,308,76,277,390,119,20,248,483,1200,0.444,0.224,0.779,15.5,6.3,1.4,2,Feb 27 1961,Wilmington
