,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Johnny Austin\austijo01,2,1967,1968,45,753,113,301,0,11,114,156,,71,62,,,57,122,340,0.375,0,0.731,16.7,7.6,1.6,1.4,Aug 31 1944,Washington
2,Thurl Bailey\baileth01,12,1984,1999,928,24873,4753,10056,4,35,2324,2863,1304,4718,1298,435,1086,1444,1843,11834,0.473,0.114,0.812,26.8,12.8,5.1,1.4,Apr 7 1961,Washington
3,Tim Bassett\basseti01,7,1974,1980,473,11230,1220,2883,4,14,489,831,1149,3148,576,358,227,473,1264,2933,0.423,0.286,0.588,23.7,6.2,6.7,1.2,Apr 1 1951,Washington
4,John Battle\battljo01,10,1986,1995,612,10910,2054,4430,62,227,1168,1472,178,824,1257,273,43,659,874,5338,0.464,0.273,0.793,17.8,8.7,1.3,2.1,Nov 9 1962,Washington
5,Elgin Baylor*\bayloel01,14,1959,1972,846,33863,8693,20171,,,5763,7391,,11463,3650,,,,2596,23149,0.431,,0.78,40,27.4,13.5,4.3,Sep 16 1934,Washington
6,Dave Bing*\bingda01,12,1967,1978,901,32769,6962,15769,,,4403,5683,418,3420,5397,483,89,216,2615,18327,0.441,,0.775,36.4,20.3,3.8,6,Nov 24 1943,Washington
7,Adrian Branch\brancad01,4,1987,1990,130,1429,331,727,9,39,163,219,114,253,96,83,17,125,193,834,0.455,0.231,0.744,11,6.4,1.9,0.7,Nov 17 1963,Washington
8,Austin Carr\carrau01,10,1972,1981,682,19660,4359,9714,2,13,1753,2181,711,1990,1878,433,66,470,1394,10473,0.449,0.154,0.804,28.8,15.4,2.9,2.8,Mar 10 1948,Washington
9,Kenny Carr\carrke01,10,1978,1987,674,17167,3057,5998,3,38,1696,2479,1506,4999,923,484,296,1438,2153,7813,0.51,0.079,0.684,25.5,11.6,7.4,1.4,Aug 15 1955,Washington
10,Sid Catlett\catlesi01,1,1972,1972,9,40,2,9,,,2,9,,4,1,,,,3,6,0.222,,0.222,4.4,0.7,0.4,0.1,Apr 18 1948,Washington
11,Jerry Chambers\chambje01,6,1967,1974,320,5155,1115,2534,2,10,435,562,120,1032,270,11,3,83,639,2667,0.44,0.2,0.774,16.1,8.3,3.2,0.8,Jul 18 1943,Washington
12,Randolph Childress\childra01,2,1996,1997,51,405,39,119,18,66,28,35,2,25,49,17,1,46,38,124,0.328,0.273,0.8,7.9,2.4,0.5,1,Sep 21 1972,Washington
13,Bonzie Colson\colsobo01,1,2019,2019,8,98,13,39,5,21,8,9,8,30,3,5,1,3,3,39,0.333,0.238,0.889,12.3,4.9,3.8,0.4,Jan 12 1996,Washington
14,Quinn Cook\cookqu01,4,2017,2020,159,2396,435,930,163,396,50,65,40,286,271,47,5,120,187,1083,0.468,0.412,0.769,15.1,6.8,1.8,1.7,Mar 23 1993,Washington
