,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,DeVaughn Akoon-Purcell\akoonde01,1,2019,2019,7,22,3,10,0,4,1,2,1,4,6,2,0,2,4,7,0.3,0,0.5,3.1,1,0.6,0.9,Jun 5 1993,Orlando
2,Gary Alexander\alexaga01,1,1994,1994,11,55,8,14,0,0,3,9,7,15,2,3,0,8,10,19,0.571,,0.333,5,1.7,1.4,0.2,Nov 1 1969,Jacksonville
3,Grayson Allen\allengr01,2,2019,2020,68,914,146,354,65,190,75,95,8,89,68,12,7,56,83,432,0.412,0.342,0.789,13.4,6.4,1.3,1,Oct 8 1995,Jacksonville
4,Randy Allen\allenra01,2,1989,1990,70,789,114,258,0,8,24,45,52,145,23,17,20,30,109,252,0.442,0,0.533,11.3,3.6,2.1,0.3,Jan 26 1965,Milton
5,Gilbert Arenas\arenagi01,11,2002,2012,552,19351,3722,8850,1079,3077,2879,3584,444,2168,2909,884,134,1744,1683,11402,0.421,0.351,0.803,35.1,20.7,3.9,5.3,Jan 6 1982,Tampa
6,Trevor Ariza\arizatr01,16,2005,2020,1064,31650,4003,9464,1535,4362,1674,2288,1044,5130,2297,1584,331,1441,2130,11215,0.423,0.352,0.732,29.7,10.5,4.8,2.2,Jun 30 1985,Miami
7,Chucky Atkins\atkinch01,11,2000,2010,696,17304,2479,6022,934,2565,971,1258,194,1186,2396,465,36,1018,1284,6863,0.412,0.364,0.772,24.9,9.9,1.7,3.4,Aug 14 1974,Orlando
8,Dwayne Bacon\bacondw01,3,2018,2020,135,2159,279,693,68,197,89,124,27,313,137,51,9,78,170,715,0.403,0.345,0.718,16,5.3,2.3,1,Aug 30 1995,Lakeland
9,Vin Baker\bakervi01,13,1994,2006,791,25737,4692,9675,39,181,2416,3787,2263,5867,1509,582,798,1756,2560,11839,0.485,0.215,0.638,32.5,15,7.4,1.9,Nov 23 1971,Lake Wales
10,Otis Birdsong\birdsot01,12,1978,1989,696,21627,5347,10562,49,179,1801,2748,920,2072,2260,858,143,1491,1783,12544,0.506,0.274,0.655,31.1,18,3,3.2,Dec 9 1955,Winter Haven
11,Steve Blake\blakest01,13,2004,2016,870,20823,2061,5145,1037,2709,503,646,250,1816,3446,587,63,1222,1287,5662,0.401,0.383,0.779,23.9,6.5,2.1,4,Feb 26 1980,Hollywood
12,Ricky Blanton\blantri01,1,1993,1993,2,13,3,7,0,0,0,0,2,3,1,2,0,1,1,6,0.429,,,6.5,3,1.5,0.5,Apr 21 1966,Miami
13,Tony Bobbitt\bobbito01,1,2005,2005,2,12,2,5,1,2,0,0,0,3,0,0,0,0,1,5,0.4,0.5,,6,2.5,1.5,0,Oct 22 1979,Daytona
14,Alex Bradley\bradlal02,1,1982,1982,39,331,54,103,0,1,29,48,31,65,11,12,5,28,37,137,0.524,0,0.604,8.5,3.5,1.7,0.3,Oct 30 1959,Bradenton
15,Tony Bradley\bradlto01,3,2018,2020,62,600,114,182,1,2,29,44,103,242,19,14,27,26,105,258,0.626,0.5,0.659,9.7,4.2,3.9,0.3,Jan 8 1998,Bartow
16,Mike Brittain\brittmi01,2,1986,1987,38,248,26,52,0,0,11,21,12,53,7,4,12,22,57,63,0.5,,0.524,6.5,1.7,1.4,0.2,Jun 21 1963,Clearwater
