,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Shareef Abdur-Rahim\abdursh01,12,1997,2008,830,28882,5434,11515,154,519,4006,4943,1869,6239,2109,820,638,2136,2324,15028,0.472,0.297,0.81,34.8,18.1,7.5,2.5,Dec 11 1976,Marietta
2,Don Adams\adamsdo01,7,1971,1977,523,13474,1823,4535,0,3,952,1285,429,2916,1011,334,64,79,1709,4598,0.402,0,0.741,25.8,8.8,5.6,1.9,Nov 27 1947,Atlanta
3,Jordan Adams\adamsjo01,2,2015,2016,32,263,37,92,10,26,17,28,9,30,19,19,7,16,26,101,0.402,0.385,0.607,8.2,3.2,0.9,0.6,Jul 8 1994,Atlanta
4,Morris Almond\almonmo01,3,2008,2012,38,361,43,113,7,24,26,35,10,46,12,12,4,19,42,119,0.381,0.292,0.743,9.5,3.1,1.2,0.3,Feb 2 1985,Dalton
5,Al-Farouq Aminu\aminual01,10,2011,2020,688,17264,1910,4542,535,1597,893,1199,960,4170,848,659,388,835,1273,5248,0.421,0.335,0.745,25.1,7.6,6.1,1.2,Sep 21 1990,Atlanta
6,Shandon Anderson\andersh01,10,1997,2006,719,15946,1996,4366,307,972,1028,1392,583,2252,1007,556,180,958,1437,5327,0.457,0.316,0.739,22.2,7.4,3.1,1.4,Dec 31 1973,Atlanta
7,Tate Armstrong\armstta01,2,1978,1979,92,975,159,350,,,32,40,31,88,105,33,0,79,64,350,0.454,,0.8,10.6,3.8,1,1.1,Oct 5 1955,Moultrie
8,William Avery\averywi01,3,2000,2002,142,1205,137,415,40,157,65,91,17,93,199,34,6,106,125,379,0.33,0.255,0.714,8.5,2.7,0.7,1.4,Aug 8 1979,Augusta
9,James Bailey\baileja01,9,1980,1988,595,11625,2045,4228,1,13,1155,1644,1010,2988,488,305,521,1057,1978,5246,0.484,0.077,0.703,19.5,8.8,5,0.8,May 21 1957,Dublin
10,Al Beard\beardal01,1,1968,1968,12,118,12,23,0,0,6,11,,46,0,,,12,29,30,0.522,,0.545,9.8,2.5,3.8,0,Apr 27 1942,Fort Valley
11,Malik Beasley\beaslma01,4,2017,2020,220,3836,682,1522,307,791,140,175,72,436,214,117,25,144,239,1811,0.448,0.388,0.8,17.4,8.2,2,1,Nov 26 1996,Atlanta
12,Jaron Blossomgame\blossja01,1,2019,2019,27,439,47,106,10,39,10,13,26,98,13,7,8,11,20,114,0.443,0.256,0.769,16.3,4.2,3.6,0.5,Sep 16 1993,Atlanta
13,Ray Blume\blumera01,1,1982,1982,49,546,102,222,4,18,18,28,14,41,68,23,2,54,57,226,0.459,0.222,0.643,11.1,4.6,0.8,1.4,Sep 23 1958,Valdosta
14,Jamison Brewer\breweja01,4,2002,2005,54,468,35,94,8,32,11,28,15,50,56,19,2,32,34,89,0.372,0.25,0.393,8.7,1.6,0.9,1,Nov 19 1980,East Point
15,Malcolm Brogdon\brogdma01,4,2017,2020,235,6722,1201,2545,305,793,470,525,175,883,1017,204,46,385,458,3177,0.472,0.385,0.895,28.6,13.5,3.8,4.3,Dec 11 1992,Atlanta
16,Jaylen Brown\brownja02,4,2017,2020,272,7108,1311,2790,369,998,527,775,230,1197,387,230,92,407,660,3518,0.47,0.37,0.68,26.1,12.9,4.4,1.4,Oct 24 1996,Marietta
17,Lorenzo Brown\brownlo01,5,2014,2019,103,1185,123,338,18,106,29,41,28,151,183,61,15,74,101,293,0.364,0.17,0.707,11.5,2.8,1.5,1.8,Aug 26 1990,Roswell
18,Raymond Brown\brownra01,1,1990,1990,16,56,8,28,0,0,0,2,10,15,4,0,0,6,11,16,0.286,,0,3.5,1,0.9,0.3,Jul 5 1965,Atlanta
19,Kentavious Caldwell-Pope\caldwke01,7,2014,2020,533,15584,2230,5340,876,2506,860,1079,354,1698,872,599,101,530,990,6196,0.418,0.35,0.797,29.2,11.6,3.2,1.6,Feb 18 1993,Thomaston
20,Wendell Carter\cartewe01,2,2019,2020,87,2366,363,714,12,61,201,264,226,712,129,59,94,137,314,939,0.508,0.197,0.761,27.2,10.8,8.2,1.5,Apr 16 1999,Atlanta
21,Kelvin Cato\catoke01,10,1998,2007,541,10617,1123,2216,1,13,713,1107,884,2874,244,292,685,448,1347,2960,0.507,0.077,0.644,19.6,5.5,5.3,0.5,Aug 26 1974,Atlanta
22,Ben Clyde\clydebe01,1,1975,1975,25,157,31,72,,,7,9,15,41,5,5,3,,34,69,0.431,,0.778,6.3,2.8,1.6,0.2,Jun 10 1951,Albany
23,Art Collins\colliar01,1,1981,1981,29,395,35,99,0,2,24,36,19,41,25,11,1,32,35,94,0.354,0,0.667,13.6,3.2,1.4,0.9,Apr 14 1954,Sandersville
24,Wayne Cooper\coopewa01,14,1979,1992,984,20274,3242,7100,7,48,1286,1747,2149,6095,852,295,1535,1181,3144,7777,0.457,0.146,0.736,20.6,7.9,6.2,0.9,Nov 16 1956,Milan
25,Lanard Copeland\copella01,2,1990,1992,33,158,38,91,1,7,13,16,5,17,14,3,1,23,17,90,0.418,0.143,0.813,4.8,2.7,0.5,0.4,Jul 16 1965,Atlanta
26,Javaris Crittenton\crittja01,2,2008,2009,113,1853,229,518,12,52,125,196,84,276,201,59,8,137,148,595,0.442,0.231,0.638,16.4,5.3,2.4,1.8,Dec 31 1987,Atlanta
27,Corey Crowder\crowdco01,2,1992,1995,58,357,45,122,13,34,17,24,17,44,18,8,2,15,36,120,0.369,0.382,0.708,6.2,2.1,0.8,0.3,Apr 13 1969,Carrollton
28,Jae Crowder\crowdja01,8,2013,2020,601,14848,1979,4722,849,2526,932,1197,438,2474,921,588,194,523,1207,5739,0.419,0.336,0.779,24.7,9.5,4.1,1.5,Jul 6 1990,Villa Rica
29,Vonteego Cummings\cummivo01,3,2000,2002,199,3789,521,1359,109,340,230,317,118,373,534,176,32,259,387,1381,0.383,0.321,0.726,19,6.9,1.9,2.7,Feb 29 1976,Thomson
30,William Cunningham\cunniwi01,2,1998,1999,23,201,7,27,0,0,0,2,17,38,2,3,11,5,40,14,0.259,,0,8.7,0.6,1.7,0.1,Mar 25 1974,Augusta
31,Jermareo Davidson\davidje01,2,2008,2009,52,433,68,160,0,0,26,45,31,96,14,9,18,22,58,162,0.425,,0.578,8.3,3.1,1.8,0.3,Nov 15 1984,Atlanta
32,Dale Davis\davisda01,16,1992,2007,1094,29606,3592,6779,0,8,1522,2708,3303,8605,978,691,1270,1090,2878,8706,0.53,0,0.562,27.1,8,7.9,0.9,Mar 25 1969,Toccoa
33,Hook Dillon\dilloho01,1,1950,1950,22,,10,55,,,16,22,,,5,,,,19,36,0.182,,0.727,,1.6,,0.2,Jan 8 1924,Savannah
34,Jacky Dorsey\dorseja01,3,1978,1981,60,449,56,144,0,0,31,57,46,141,16,12,6,28,89,143,0.389,,0.544,7.5,2.4,2.4,0.3,Dec 18 1954,Atlanta
35,Toney Douglas\douglto01,8,2010,2017,394,7511,1093,2705,444,1256,379,460,213,875,889,349,30,410,775,3009,0.404,0.354,0.824,19.1,7.6,2.2,2.3,Mar 16 1986,Jonesboro
36,Dale Ellis\ellisda01,17,1984,2000,1209,34778,7323,15275,1719,4266,2639,3365,1533,4201,1746,974,183,1771,2480,19004,0.479,0.403,0.784,28.8,15.7,3.5,1.4,Aug 6 1960,Marietta
37,Harold Ellis\ellisha01,3,1994,1998,145,1923,312,592,1,21,215,329,177,291,89,159,18,111,252,840,0.527,0.048,0.653,13.3,5.8,2,0.6,Oct 7 1970,Atlanta
38,Pervis Ellison\ellispe01,11,1990,2001,474,11593,1826,3579,1,20,841,1221,1087,3170,691,293,752,798,1493,4494,0.51,0.05,0.689,24.5,9.5,6.7,1.5,Apr 3 1967,Savannah
39,Claude English\englicl01,1,1971,1971,18,70,11,42,,,5,7,,20,6,,,,15,27,0.262,,0.714,3.9,1.5,1.1,0.3,Dec 26 1946,Columbus
40,Derrick Favors\favorde01,10,2011,2020,677,17356,3151,5948,36,174,1397,2111,1721,4992,776,523,857,946,1763,7735,0.53,0.207,0.662,25.6,11.4,7.4,1.1,Jul 15 1991,Atlanta
41,Gerald Fitch\fitchge01,1,2006,2006,18,239,30,89,7,26,17,23,7,30,33,7,5,15,28,84,0.337,0.269,0.739,13.3,4.7,1.7,1.8,Aug 12 1982,Columbus
42,Joseph Forte\fortejo01,2,2002,2003,25,125,11,47,0,6,8,10,5,17,17,6,0,13,7,30,0.234,0,0.8,5,1.2,0.7,0.7,Mar 23 1981,Atlanta
43,Jim Fox\foxji01,10,1968,1977,743,17294,2611,5452,,,1723,2239,554,5525,1201,151,79,,2023,6945,0.479,,0.77,23.3,9.3,7.4,1.6,Apr 7 1943,Atlanta
44,Walt Frazier*\fraziwa01,13,1968,1980,825,30965,6130,12516,0,1,3321,4226,403,4830,5040,681,63,139,2180,15581,0.49,0,0.786,37.5,18.9,5.9,6.1,Mar 29 1945,Atlanta
45,World B. Free\freewo01,13,1976,1988,886,26893,6512,14294,213,632,4718,6264,1008,2430,3319,910,223,1869,2270,17955,0.456,0.337,0.753,30.4,20.3,2.7,3.7,Dec 9 1953,Atlanta
46,Mike Glenn\glennmi01,10,1978,1987,593,9617,1958,3611,8,28,572,669,152,710,952,318,43,429,893,4496,0.542,0.286,0.855,16.2,7.6,1.2,1.6,Sep 10 1955,Rome
47,Dion Glover\glovedi01,6,2000,2005,294,6132,914,2222,148,467,431,570,213,897,455,233,65,370,487,2407,0.411,0.317,0.756,20.9,8.2,3.1,1.5,Oct 22 1978,Marietta
48,Brandon Goodwin\goodwbr01,2,2019,2020,50,487,82,213,28,93,37,41,12,75,65,12,4,32,50,229,0.385,0.301,0.902,9.7,4.6,1.5,1.3,Oct 2 1995,Norcross
49,Andrew Goudelock\goudean01,3,2012,2016,49,475,77,196,29,84,14,16,7,34,24,10,2,28,36,197,0.393,0.345,0.875,9.7,4,0.7,0.5,Dec 7 1988,Gainesville
50,Harvey Grant\grantha01,11,1989,1999,783,20510,3345,7138,65,243,1026,1448,1170,3436,1219,599,428,714,1768,7781,0.469,0.267,0.709,26.2,9.9,4.4,1.6,Jul 4 1965,Augusta
51,Horace Grant\grantho01,17,1988,2004,1165,38621,5439,10695,4,63,2114,3053,3467,9443,2575,1143,1136,1303,2832,12996,0.509,0.063,0.692,33.2,11.2,8.1,2.2,Jul 4 1965,Augusta
52,Ken Green\greenke01,1,1986,1986,7,72,13,27,0,0,5,9,12,27,2,4,0,1,8,31,0.481,,0.556,10.3,4.4,3.9,0.3,Sep 19 1959,Newman
