,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Tom Abernethy\abernto01,5,1977,1981,319,5434,724,1472,0,2,331,443,374,1011,384,185,60,129,525,1779,0.492,0,0.747,17,5.6,3.2,1.2,May 6 1954,South Bend
2,Steve Alford\alforst01,4,1988,1991,169,1641,291,634,35,108,127,146,25,144,176,85,10,89,113,744,0.459,0.324,0.87,9.7,4.4,0.9,1,Nov 23 1964,Franklin
3,Curly Armstrong\armstcu01,3,1949,1951,153,,347,1176,,,346,500,,89,358,,,,466,1040,0.295,,0.692,,6.8,2.3,2.3,Nov 1 1918,Fort Wayne
4,Dick Atha\athadi01,2,1956,1958,43,448,53,135,,,31,39,,66,51,,,,63,137,0.393,,0.795,10.4,3.2,1.5,1.2,Sep 21 1931,Otterbein
5,Chet Aubuchon\aubucch01,1,1947,1947,30,,23,91,,,19,35,,,20,,,,46,65,0.253,,0.543,,2.2,,0.7,May 18 1916,Gary
6,Cliff Barker\barkecl01,3,1950,1952,149,494,201,637,,,155,234,,181,294,,,,253,557,0.316,,0.662,11.2,3.7,1.8,2,Jan 15 1921,Yorktown
7,Dick Barnett\barnedi01,14,1960,1974,971,28937,6034,13227,,,3290,4324,1,2812,2729,1,0,,2514,15358,0.456,,0.761,29.8,15.8,2.9,2.8,Oct 2 1936,Gary
8,Leo Barnhorst\barnhle01,5,1950,1954,344,7279,1356,3689,,,520,782,,1506,1116,,,,1033,3232,0.368,,0.665,34.8,9.4,5.4,3.2,May 11 1924,Indianapolis
9,Kent Benson\bensoke01,11,1978,1988,680,15719,2578,5224,7,34,1005,1327,1216,3881,1203,605,586,1069,1935,6168,0.493,0.206,0.757,23.1,9.1,5.7,1.8,Dec 27 1954,New Castle
10,Larry Bird*\birdla01,13,1980,1992,897,34443,8591,17334,649,1727,3960,4471,1757,8974,5695,1556,755,2816,2279,21791,0.496,0.376,0.886,38.4,24.3,10,6.3,Dec 7 1956,West Baden
11,Ron Bonham\bonharo01,3,1965,1968,118,1107,247,637,0,2,229,278,,170,44,,,32,98,723,0.388,0,0.824,9.4,6.1,1.4,0.4,May 31 1942,Muncie
12,Vince Boryla\borylvi01,5,1950,1954,285,5162,1187,3200,,,813,996,,831,610,,,,922,3187,0.371,,0.816,32.3,11.2,3.7,2.1,Mar 11 1927,East Chicago
