,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Harrison Barnes\barneha02,8,2013,2020,604,18823,3051,6822,751,2003,1410,1771,601,2951,982,421,115,711,1006,8263,0.447,0.375,0.796,31.2,13.7,4.9,1.6,May 30 1992,Ames
2,Ryan Bowen\bowenry01,10,2000,2010,507,6502,544,1192,14,68,217,313,506,1060,250,325,138,168,752,1319,0.456,0.206,0.693,12.8,2.6,2.1,0.5,Nov 20 1975,Fort Madison
3,Matt Bullard\bullama01,11,1991,2002,615,8884,1215,2907,599,1561,241,314,278,1223,535,186,119,319,775,3270,0.418,0.384,0.768,14.4,5.3,2,0.9,Jun 5 1967,Des Moines
4,Nick Collison\collini01,14,2005,2018,910,18603,2212,4146,21,101,914,1265,1766,4701,939,446,469,878,2507,5359,0.534,0.208,0.723,20.4,5.9,5.2,1,Oct 26 1980,Orange City
5,Darren Daye\dayeda01,5,1984,1988,328,5208,849,1730,2,17,525,771,321,844,672,191,53,429,607,2225,0.491,0.118,0.681,15.9,6.8,2.6,2,Nov 30 1960,Des Moines
6,Al Eberhard\eberhal01,4,1975,1978,220,4138,566,1308,,,358,449,270,760,175,158,35,23,544,1490,0.433,,0.797,18.8,6.8,3.5,0.8,May 10 1952,Cedar Rapids
7,Kenny Fields\fieldke01,4,1985,1988,184,2692,463,977,3,16,211,288,176,464,188,97,38,181,394,1140,0.474,0.188,0.733,14.6,6.2,2.5,1,Feb 9 1962,Iowa City
8,Matt Fish\fishma01,3,1995,1997,50,512,71,142,0,1,35,56,43,110,25,19,14,33,91,177,0.5,0,0.625,10.2,3.5,2.2,0.5,Nov 18 1969,Washington
9,Dick Gibbs\gibbsdi01,5,1972,1976,333,4310,675,1678,,,389,487,159,624,260,67,35,,629,1739,0.402,,0.799,12.9,5.2,1.9,0.8,Dec 20 1948,Ames
10,Hoot Gibson\gibsoho01,1,1950,1950,32,,67,195,,,42,64,,,37,,,,106,176,0.344,,0.656,,5.5,,1.2,Dec 5 1921,Des Moines
11,Bob Hansen\hansebo01,9,1984,1992,575,11104,1642,3512,165,511,503,760,408,1282,947,359,50,562,1199,3952,0.468,0.323,0.662,19.3,6.9,2.2,1.6,Jan 18 1961,Des Moines
12,Kirk Hinrich\hinriki01,13,2004,2016,879,27015,3503,8522,1172,3122,1416,1770,310,2576,4245,972,243,1617,2487,9594,0.411,0.375,0.8,30.7,10.9,2.9,4.8,Jan 2 1981,Sioux City
13,Jon Koncak\koncajo01,11,1986,1996,784,16409,1444,3073,19,84,613,1027,1064,3856,785,542,791,624,2474,3520,0.47,0.226,0.597,20.9,4.5,4.9,1,May 17 1963,Cedar Rapids
14,Kevin Kunnert\kunneke01,9,1974,1982,555,12104,2022,4251,0,0,558,818,1393,4031,784,252,616,391,1927,4602,0.476,,0.682,21.8,8.3,7.3,1.4,Nov 11 1951,Dubuque
15,Raef LaFrentz\lafrera01,10,1999,2008,563,14545,2227,4781,478,1315,758,1066,994,3423,606,276,919,511,1863,5690,0.466,0.363,0.711,25.8,10.1,6.1,1.1,May 29 1976,Hampton
16,Loren Meyer\meyerlo01,3,1996,1999,140,2044,260,602,8,23,117,168,171,480,77,31,50,133,371,645,0.432,0.348,0.696,14.6,4.6,3.4,0.6,Dec 30 1972,Emmetsburg
17,Todd Mundt\mundtto01,1,1996,1996,33,151,16,41,0,0,5,8,11,28,3,2,5,3,29,37,0.39,,0.625,4.6,1.1,0.8,0.1,May 17 1970,Iowa City
18,Patrick O'Bryant\obryapa01,4,2007,2010,90,524,79,160,0,3,28,48,32,127,25,18,40,42,126,186,0.494,0,0.583,5.8,2.1,1.4,0.3,Jun 20 1986,Oskaloosa
19,Marcus Paige\paigema01,1,2018,2018,5,28,4,14,2,8,2,2,0,4,3,0,0,0,0,12,0.286,0.25,1,5.6,2.4,0.8,0.6,Sep 11 1993,Cedar Rapids
20,Brett Szabo\szabobr01,1,1997,1997,70,662,54,121,0,1,45,61,56,165,17,16,32,41,119,153,0.446,0,0.738,9.5,2.2,2.4,0.2,Feb 1 1968,Postville
21,Jarrod Uthoff\uthofja01,2,2017,2020,13,129,17,45,3,13,7,9,9,23,9,3,4,3,9,44,0.378,0.231,0.778,9.9,3.4,1.8,0.7,May 19 1993,Cedar Rapids
22,Murray Wier\wiermu01,1,1950,1950,56,,157,480,,,115,166,,,107,,,,141,429,0.327,,0.693,,7.7,,1.9,Dec 12 1926,Grand View
23,Luke Zeller\zellelu01,1,2013,2013,16,58,9,26,1,5,0,0,1,10,3,0,0,0,5,19,0.346,0.2,,3.6,1.2,0.6,0.2,Apr 7 1987,Ames
