,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Alvan Adams\adamsal01,13,1976,1988,988,27203,5709,11464,2,15,2490,3160,2015,6937,4012,1289,808,2194,3214,13910,0.498,0.133,0.788,27.5,14.1,7,4.1,Jul 19 1954,Lawrence
2,Lucius Allen\allenlu01,10,1970,1979,702,20159,3884,8385,,,1639,2157,381,2205,3174,604,124,247,1799,9407,0.463,,0.76,28.7,13.4,3.1,4.5,Sep 26 1947,Kansas City
3,Ron Baker\bakerro01,3,2017,2019,96,1394,106,296,35,132,53,75,18,139,169,66,15,79,125,300,0.358,0.265,0.707,14.5,3.1,1.4,1.8,Mar 30 1993,Hays
4,Ernie Barrett\barreer01,2,1954,1956,131,2092,267,724,,,107,143,,343,229,,,,300,641,0.369,,0.748,16,4.9,2.6,1.7,Aug 27 1929,Pratt
5,Bob Brannum\brannbo01,5,1950,1955,338,6576,887,2581,,,681,1044,,1944,699,,,,1313,2455,0.344,,0.652,23.6,7.3,7,2.1,May 28 1926,Winfield
6,Willie Cauley-Stein\caulewi01,5,2016,2020,349,8187,1421,2636,4,19,515,843,615,2194,553,323,289,348,826,3361,0.539,0.211,0.611,23.5,9.6,6.3,1.6,Aug 18 1993,Spearville
7,Greg Dreiling\dreilgr01,10,1987,1997,474,4241,375,803,3,9,261,402,287,1018,186,82,137,250,923,1014,0.467,0.333,0.649,8.9,2.1,2.1,0.4,Nov 7 1962,Wichita
8,Larry Drew\drewla01,10,1981,1991,714,18370,3308,7085,118,405,1376,1724,259,1265,3702,791,45,1565,1286,8110,0.467,0.291,0.798,25.7,11.4,1.8,5.2,Apr 2 1958,Kansas City
9,Maurice Evans\evansma01,9,2002,2012,562,10918,1429,3231,426,1172,463,590,559,1384,420,294,88,278,956,3747,0.442,0.363,0.785,19.4,6.7,2.5,0.7,Nov 8 1978,Wichita
10,Ronald Franz\franzro01,6,1968,1973,403,9912,1765,3945,53,190,1150,1635,569,2128,668,,,762,1120,4733,0.447,0.279,0.703,24.6,11.7,5.3,1.7,Oct 20 1945,Kansas City
11,Matt Freije\freijma01,2,2005,2007,42,588,53,181,17,76,10,14,24,85,27,16,3,20,53,133,0.293,0.224,0.714,14,3.2,2,0.6,Oct 2 1981,Overland Park
12,Leonard Gray\grayle01,3,1975,1977,224,6058,1030,2196,,,348,471,326,1169,490,196,91,,825,2408,0.469,,0.739,27,10.8,5.2,2.2,Dec 19 1951,Kansas City
13,Adrian Griffin\griffad01,9,2000,2008,477,7997,785,1794,50,180,299,392,507,1512,653,436,59,331,879,1919,0.438,0.278,0.763,16.8,4,3.2,1.4,Jul 4 1974,Wichita
14,Scott Hastings\hastisc01,11,1983,1993,578,5985,584,1323,28,96,451,556,424,1287,284,159,153,325,1037,1647,0.441,0.292,0.811,10.4,2.8,2.2,0.5,Jun 3 1960,Independence
15,Steve Henson\hensost01,7,1991,1999,238,2282,254,631,105,243,126,145,46,176,465,88,2,175,283,739,0.403,0.432,0.869,9.6,3.1,0.7,2,Feb 2 1968,Junction City
16,Steven Hill\hillst01,1,2009,2009,1,2,1,1,0,0,0,0,2,3,0,0,0,0,0,2,1,,,2,2,3,0,Nov 14 1985,Chanute
17,Lionel Hollins\hollili01,10,1976,1985,673,18453,3201,7211,13,87,1394,1882,382,1601,3006,1053,192,1337,1841,7809,0.444,0.149,0.741,27.4,11.6,2.4,4.5,Oct 19 1953,Ark City
18,Warren Jabali\jabalwa01,7,1969,1975,447,15264,2663,6181,322,1010,2018,2669,883,2985,2389,384,29,1715,1544,7666,0.431,0.319,0.756,34.1,17.1,6.7,5.3,Aug 29 1946,Kansas City
19,Maurice King\kingma01,2,1960,1963,38,973,99,249,,,28,35,,106,144,,,,90,226,0.398,,0.8,25.6,5.9,2.8,3.8,Mar 12 1935,Kansas City
20,Bob Kinney\kinnebo01,2,1949,1950,118,,394,1116,,,337,554,,,177,,,,475,1125,0.353,,0.608,,9.5,,1.5,Sep 16 1920,Fort Scott
21,Dick Knostman\knostdi01,1,1954,1954,5,47,3,10,,,7,11,,17,6,,,,9,13,0.3,,0.636,9.4,2.6,3.4,1.2,Aug 9 1931,Wamego
22,Martin Lewis\lewisma01,2,1996,1997,25,239,35,74,3,10,16,27,19,35,7,9,5,15,29,89,0.473,0.3,0.593,9.6,3.6,1.4,0.3,Apr 28 1975,Liberal
23,Riney Lochmann\lochmri01,3,1968,1970,170,2205,296,730,5,16,134,221,117,466,143,,,121,312,731,0.405,0.313,0.606,13,4.3,2.7,0.8,May 26 1944,Wichita
24,Ed Nealy\nealyed01,10,1983,1993,540,6792,553,1111,38,130,307,449,585,1799,392,256,51,226,893,1451,0.498,0.292,0.684,12.6,2.7,3.3,0.7,Feb 19 1960,Pittsburg
25,Semi Ojeleye\ojelese01,3,2018,2020,190,2635,197,505,104,312,74,108,85,371,74,49,13,56,197,572,0.39,0.333,0.685,13.9,3,2,0.4,Dec 5 1994,Overland Park
26,Johnny Orr\orrjo01,1,1950,1950,34,,40,118,,,12,14,,,20,,,,34,92,0.339,,0.857,,2.7,,0.6,Jun 10 1927,Yale
27,Pierre Russell\russepi01,2,1972,1973,110,1015,184,419,2,20,65,99,94,222,112,,,66,136,435,0.439,0.1,0.657,9.2,4,2,1,Dec 13 1949,Kansas City
28,Melvin Sanders\sandeme01,1,2006,2006,16,113,16,33,2,3,7,10,4,23,3,5,0,8,20,41,0.485,0.667,0.7,7.1,2.6,1.4,0.2,Jan 3 1981,Liberal
29,Otto Schnellbacher\schneot01,1,1949,1949,43,,93,280,,,89,133,,,64,,,,109,275,0.332,,0.669,,6.4,,1.5,Apr 15 1923,Sublette
30,Howie Shannon\shannho01,2,1949,1950,122,,514,1448,,,295,371,,,299,,,,302,1323,0.355,,0.795,,10.8,,2.5,Jun 10 1923,Manhattan
31,Paul Shirley\shirlpa01,3,2003,2005,18,121,15,38,0,1,3,7,9,19,7,1,1,10,12,33,0.395,0,0.429,6.7,1.8,1.1,0.4,Dec 23 1977,Meriden
32,Wayne Simien\simiewa01,2,2006,2007,51,507,67,143,0,0,35,41,43,99,11,15,1,27,83,169,0.469,,0.854,9.9,3.3,1.9,0.2,Mar 9 1983,Leavenworth
33,Dean Wade\wadede01,1,2020,2020,12,71,9,13,2,4,0,1,3,19,2,2,4,3,8,20,0.692,0.5,0,5.9,1.7,1.6,0.2,Nov 20 1996,Wichita
34,Earl Watson\watsoea01,13,2002,2014,878,19494,2112,5139,502,1551,867,1233,462,1985,3871,873,176,1548,1755,5593,0.411,0.324,0.703,22.2,6.4,2.3,4.4,Jun 12 1979,Kansas City
35,Scott Wedman\wedmasc01,13,1975,1987,906,25927,5153,10713,84,251,1526,1923,1502,4355,1771,846,301,883,2549,11916,0.481,0.335,0.794,28.6,13.2,4.8,2,Jul 29 1952,Harper
36,Korleone Young\youngko01,1,1999,1999,3,15,5,10,1,4,2,2,2,4,1,0,0,1,3,13,0.5,0.25,1,5,4.3,1.3,0.3,Dec 31 1978,Wichita
