,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Derek Anderson\anderde01,11,1998,2008,615,17975,2419,5922,645,1891,1874,2198,440,1988,2083,691,87,1052,1230,7357,0.408,0.341,0.853,29.2,12,3.2,3.4,Jul 18 1974,Louisville
2,Bob Arnzen\arnzebo01,4,1970,1974,111,952,191,411,1,5,60,75,33,217,35,3,2,16,88,443,0.465,0.2,0.8,8.6,4,2,0.3,Nov 3 1947,Covington
3,Bird Averitt\averibi01,5,1974,1978,366,8163,1743,4303,56,225,892,1200,187,680,1078,325,55,733,836,4434,0.405,0.249,0.743,22.3,12.1,1.9,2.9,Jul 22 1952,Hopkinsville
4,Henry Bacon\baconhe01,1,1973,1973,47,425,60,164,2,10,44,73,40,82,38,,,64,72,166,0.366,0.2,0.603,9,3.5,1.7,0.8,Jul 5 1948,Louisville
5,Steve Bardo\bardost01,3,1992,1996,33,299,28,85,1,10,16,23,13,60,44,12,4,22,45,73,0.329,0.1,0.696,9.1,2.2,1.8,1.3,Apr 5 1968,Henderson
6,John Barnhill\barnhjo01,10,1963,1972,589,13925,2024,4990,107,454,930,1413,115,1501,1693,,,248,1069,5085,0.406,0.236,0.658,23.6,8.6,2.5,2.9,Mar 20 1938,Sturgis
7,Butch Beard\beardbu01,9,1970,1979,605,14283,2187,4495,,,1248,1619,482,2042,2189,499,36,164,1581,5622,0.487,,0.771,23.6,9.3,3.4,3.6,May 4 1947,Hardinsburg
8,Ralph Beard\beardra01,2,1950,1951,126,,749,2046,,,508,660,,251,551,,,,228,2006,0.366,,0.77,,15.9,3.8,4.4,Dec 2 1927,Hardinsburg
9,Whitey Bell\bellwh01,2,1960,1961,36,494,77,203,,,29,46,,94,56,,,,66,183,0.379,,0.63,13.7,5.1,2.6,1.6,Sep 13 1932,Monticello
10,Winston Bennett\bennewi01,3,1990,1992,136,2157,257,604,0,1,134,193,177,414,120,50,21,115,305,648,0.425,0,0.694,15.9,4.8,3,0.9,Feb 9 1965,Louisville
11,Jerry Bird\birdje01,1,1959,1959,11,45,12,32,,,1,1,,12,4,,,,7,25,0.375,,1,4.1,2.3,1.1,0.4,Feb 2 1935,Corbin
12,Phil Bond\bondph01,1,1978,1978,7,21,2,6,,,0,0,1,4,2,1,0,2,1,4,0.333,,,3,0.6,0.6,0.3,Jul 27 1954,Louisville
13,Orbie Bowling\bowlior01,1,1968,1968,11,90,9,28,0,0,3,12,,29,1,,,6,16,21,0.321,,0.25,8.2,1.9,2.6,0.1,Mar 21 1939,
14,Greg Buckner\buckngr01,10,2000,2009,570,10895,1120,2491,239,716,399,527,457,1593,719,454,111,394,1342,2878,0.45,0.334,0.757,19.1,5,2.8,1.3,Sep 16 1976,Hopkinsville
15,Donnie Butcher\butchdo01,5,1962,1966,279,5085,610,1535,,,476,757,,821,585,,,,699,1696,0.397,,0.629,18.2,6.1,2.9,2.1,Feb 8 1936,Williamsport
16,Darel Carrier\carrida01,6,1968,1973,350,12338,2445,5867,398,1055,1723,2024,182,1187,896,,,906,1072,7011,0.417,0.377,0.851,35.3,20,3.4,2.6,Oct 26 1940,Warren County
17,Rex Chapman\chapmre01,12,1989,2000,666,19542,3716,8638,805,2301,1494,1868,379,1645,1798,592,129,1030,1228,9731,0.43,0.35,0.8,29.3,14.6,2.5,2.7,Oct 5 1967,Bowling Green
18,Wayne Chapman\chapmwa01,4,1969,1972,206,3294,550,1436,28,109,304,440,187,505,316,,,294,513,1432,0.383,0.257,0.691,16,7,2.5,1.5,Jun 15 1945,Owensboro
19,Bob Cluggish\cluggbo01,1,1947,1947,54,,93,356,,,52,91,,,22,,,,113,238,0.261,,0.571,,4.4,,0.4,Sep 18 1917,Marion
20,Jack Coleman\colemja01,9,1950,1958,633,16479,2813,6763,,,1095,1575,,5186,1749,,,,1927,6721,0.416,,0.695,33.1,10.6,9.2,2.8,May 23 1924,Burgin
21,Glen Combs\combsgl01,7,1969,1975,465,15275,2652,6121,503,1369,1859,2296,325,1230,1639,56,13,1151,1333,7666,0.433,0.367,0.81,32.8,16.5,2.6,3.5,Oct 30 1946,Hazard
22,Jimmy Conner\conneji01,1,1976,1976,24,240,42,86,0,3,22,29,12,28,38,11,5,32,35,106,0.488,0,0.759,10,4.4,1.2,1.6,Mar 20 1953,Lawrenceburg
23,Dave Cowens*\cowenda01,11,1971,1983,766,29565,5744,12499,1,14,2027,2590,1574,10444,2910,599,488,543,2920,13516,0.46,0.071,0.783,38.6,17.6,13.6,3.8,Oct 25 1948,Newport
24,Johnny Cox\coxjo01,1,1963,1963,73,1685,239,568,,,95,135,,280,142,,,,149,573,0.421,,0.704,23.1,7.8,3.8,1.9,Nov 1 1936,Neon
25,Wesley Cox\coxwe01,2,1978,1979,74,813,122,296,,,98,192,60,206,23,34,15,80,150,342,0.412,,0.51,11,4.6,2.8,0.3,Jan 27 1955,Louisville
26,Ralph Davis\davisra01,2,1961,1962,150,3202,545,1332,,,105,155,,248,424,,,,314,1195,0.409,,0.677,21.3,8,1.7,2.8,Sep 7 1938,Vanceburg
27,Blaine Denning\dennibl01,1,1953,1953,1,9,2,5,,,1,1,,4,0,,,,3,5,0.4,,1,9,5,4,0,Sep 19 1930,Fulton
28,Jerry Eaves\eavesje01,4,1983,1987,168,2685,416,882,1,14,299,387,64,208,414,85,8,251,218,1132,0.472,0.071,0.773,16,6.7,1.2,2.5,Feb 8 1959,Louisville
29,Joe Fulks*\fulksjo01,8,1947,1954,489,4490,2824,9338,,,2355,3075,,1379,587,,,,1774,8003,0.302,,0.766,23.4,16.4,5.3,1.2,Oct 26 1921,Birmingham
