,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,D.J. Augustin\augusdj01,12,2009,2020,856,20634,2737,6641,1101,2903,1864,2156,257,1630,3427,518,30,1290,1236,8439,0.412,0.379,0.865,24.1,9.9,1.9,4,Nov 10 1987,New Orleans
2,Brandon Bass\bassbr01,12,2006,2017,758,16410,2558,5125,12,58,1447,1740,1139,3448,608,295,479,718,1375,6575,0.499,0.207,0.832,21.6,8.7,4.5,0.8,Apr 30 1985,Baton Rouge
3,Benoit Benjamin\benjabe01,15,1986,2000,807,21911,3588,7224,1,21,2046,2837,1459,6063,1070,522,1581,1847,2292,9223,0.497,0.048,0.721,27.2,11.4,7.5,1.3,Nov 22 1964,Monroe
4,David Benoit\benoida01,7,1992,2001,492,9314,1335,3051,211,661,574,722,576,1983,287,216,246,424,1021,3455,0.438,0.319,0.795,18.9,7,4,0.6,May 9 1968,Lafayette
5,Tim Breaux\breauti01,3,1995,1998,102,940,108,293,22,74,61,96,38,96,41,24,13,47,68,299,0.369,0.297,0.635,9.2,2.9,0.9,0.4,Sep 19 1970,Baton Rouge
6,Frankie Brian\brianfr01,7,1950,1956,438,7616,1765,5192,,,1849,2251,,903,1138,,,,1127,5379,0.34,,0.821,24.9,12.3,2.4,2.6,May 1 1923,Zachary
7,Kedrick Brown\brownke01,4,2002,2005,143,1935,203,501,46,168,57,89,98,347,103,85,28,64,170,509,0.405,0.274,0.64,13.5,3.6,2.4,0.7,Mar 18 1981,Zachary
8,Markel Brown\brownma02,3,2015,2018,113,1794,205,539,56,190,118,151,40,234,132,69,27,83,157,584,0.38,0.295,0.781,15.9,5.2,2.1,1.2,Jan 29 1992,Pineville
9,Tierre Brown\brownti01,4,2002,2005,134,1654,202,526,30,85,93,121,41,166,266,64,4,143,95,527,0.384,0.353,0.769,12.3,3.9,1.2,2,Jun 3 1979,Iowa
10,Stanley Brundy\brundst01,1,1990,1990,16,128,15,30,0,0,7,18,15,26,3,6,5,6,24,37,0.5,,0.389,8,2.3,1.6,0.2,Nov 13 1967,New Orleans
11,Howard Carter\carteho01,2,1984,1985,66,754,149,339,5,22,48,62,39,89,75,20,4,50,85,351,0.44,0.227,0.774,11.4,5.3,1.3,1.1,Oct 26 1961,Baton Rouge
12,Don Chaney\chanedo01,12,1969,1980,790,18881,2704,6195,2,10,1253,1614,748,3147,1762,558,232,278,2248,6663,0.436,0.2,0.776,23.9,8.4,4,2.2,Mar 22 1946,Baton Rouge
13,John Chaney\chanejo01,1,1950,1950,16,,25,86,,,20,29,,,20,,,,23,70,0.291,,0.69,,4.4,,1.3,Feb 29 1920,Zachary
14,Leroy Chollet\chollle01,2,1950,1951,63,,67,230,,,47,75,,15,49,,,,81,181,0.291,,0.627,,2.9,1.1,0.8,Mar 5 1925,New Orleans
15,John Comeaux\comeajo01,1,1968,1968,23,189,27,63,0,0,23,32,,28,11,,,15,27,77,0.429,,0.719,8.2,3.3,1.2,0.5,Sep 15 1943,Lafayette
16,Glen Davis\davisgl01,8,2008,2015,514,10865,1614,3611,10,55,873,1247,731,2236,457,357,173,528,1238,4111,0.447,0.182,0.7,21.1,8,4.4,0.9,Jan 1 1986,Baton Rouge
17,Mark Davis\davisma02,5,1996,2000,230,3681,473,1071,28,114,287,438,291,697,294,200,75,324,481,1261,0.442,0.246,0.655,16,5.5,3,1.3,Apr 26 1973,Thibodaux
18,Bryce Drew\drewbr01,6,1999,2004,243,3970,419,1096,150,404,93,112,56,295,524,123,10,209,291,1081,0.382,0.371,0.83,16.3,4.4,1.2,2.2,Sep 21 1974,Baton Rouge
19,Clyde Drexler*\drexlcl01,15,1984,1998,1086,37537,8335,17673,827,2603,4698,5962,2615,6677,6125,2207,719,2977,3285,22195,0.472,0.318,0.788,34.6,20.4,6.1,5.6,Jun 22 1962,New Orleans
20,Chris Duhon\duhonch01,9,2005,2013,606,15526,1353,3440,649,1788,591,754,200,1364,2690,471,36,925,965,3946,0.393,0.363,0.784,25.6,6.5,2.3,4.4,Aug 31 1982,Mamou
21,Joe Dumars*\dumarjo01,14,1986,1999,1018,35139,5994,13026,990,2592,3423,4059,671,2203,4612,902,83,2084,1826,16401,0.46,0.382,0.843,34.5,16.1,2.2,4.5,May 24 1963,Shreveport
22,Ledell Eackles\eacklle01,7,1989,1998,441,8917,1810,4071,137,408,1026,1338,362,979,740,249,31,600,794,4783,0.445,0.336,0.767,20.2,10.8,2.2,1.7,Nov 24 1966,Baton Rouge
23,Sherell Ford\fordsh01,1,1996,1996,28,139,30,80,4,25,26,34,12,24,5,8,1,6,27,90,0.375,0.16,0.765,5,3.2,0.9,0.2,Aug 26 1972,Baton Rouge
24,De'Aaron Fox\foxde01,3,2018,2020,199,5998,1162,2591,180,538,659,918,106,689,1214,267,88,541,496,3163,0.448,0.335,0.718,30.1,15.9,3.5,6.1,Dec 20 1997,New Orleans
25,Melvin Frazier\frazime01,2,2019,2020,25,95,13,38,4,13,3,8,4,9,2,5,2,4,14,33,0.342,0.308,0.375,3.8,1.3,0.4,0.1,Aug 30 1996,New Orleans
26,Will Frazier\fraziwi01,3,1966,1969,153,3504,575,1386,1,2,349,572,148,1087,171,,,221,420,1500,0.415,0.5,0.61,22.9,9.8,7.1,1.1,Aug 24 1942,Minden
27,Langston Galloway\gallola01,6,2015,2020,405,9295,1232,3113,601,1637,387,478,202,1046,694,295,64,250,672,3452,0.396,0.367,0.81,23,8.5,2.6,1.7,Dec 9 1991,Baton Rouge
28,Danny Granger\grangda01,10,2006,2015,586,18487,3332,7672,1006,2644,2185,2577,674,2888,1097,561,481,1098,1628,9855,0.434,0.38,0.848,31.5,16.8,4.9,1.9,Apr 20 1983,New Orleans
29,Josh Gray\grayjo01,2,2018,2020,7,109,12,43,3,13,7,11,3,12,14,8,2,12,9,34,0.279,0.231,0.636,15.6,4.9,1.7,2,Sep 9 1993,Lake Charles
30,Tommie Green\greento01,1,1979,1979,59,809,92,237,,,48,63,20,68,140,61,6,89,111,232,0.388,,0.762,13.7,3.9,1.2,2.4,Apr 8 1956,Baton Rouge
31,Tony Harris\harrito01,3,1991,1995,14,147,16,55,3,12,33,38,3,11,8,5,0,10,15,68,0.291,0.25,0.868,10.5,4.9,0.8,0.6,May 13 1967,Monroe
32,Elvin Hayes*\hayesel01,16,1969,1984,1303,50000,10976,24272,5,34,5356,7999,2778,16279,2398,864,1771,1358,4193,27313,0.452,0.147,0.67,38.4,21,12.5,1.8,Nov 17 1945,Rayville
33,Rod Higgins\higgiro01,13,1983,1995,779,17189,2483,5336,352,1030,1693,2095,946,2819,1254,485,359,786,1712,7011,0.465,0.342,0.808,22.1,9,3.6,1.6,Jan 31 1960,Monroe
34,Aaron Holiday\holidaa01,2,2019,2020,108,2014,307,758,123,330,103,122,26,199,280,66,26,115,173,840,0.405,0.373,0.844,18.6,7.8,1.8,2.6,Sep 30 1996,Ruston
35,Jerald Honeycutt\honeyje01,2,1998,1999,54,632,99,253,34,94,43,68,30,105,36,25,8,58,99,275,0.391,0.362,0.632,11.7,5.1,1.9,0.7,Oct 20 1974,Shreveport
36,Bob Hopkins\hopkibo01,4,1957,1960,273,5122,854,2168,,,529,695,,1526,189,,,,642,2237,0.394,,0.761,18.8,8.2,5.6,0.7,Nov 3 1934,Jonesboro
37,Jaren Jackson\jacksja01,12,1990,2002,431,7210,865,2215,346,980,294,385,207,786,500,258,53,348,725,2370,0.391,0.353,0.764,16.7,5.5,1.8,1.2,Oct 27 1967,New Orleans
38,Aaron James\jamesaa01,5,1975,1979,356,7671,1609,3347,,,611,804,549,1470,370,158,69,241,972,3829,0.481,,0.76,21.5,10.8,4.1,1,Oct 5 1952,New Orleans
39,Antawn Jamison\jamisan01,16,1999,2014,1083,37638,7679,17024,1163,3365,3521,4860,2557,8157,1761,1048,421,1714,2580,20042,0.451,0.346,0.724,34.8,18.5,7.5,1.6,Jun 12 1976,Shreveport
40,Avery Johnson\johnsav01,16,1989,2004,1054,26615,3622,7564,27,186,1546,2190,379,1751,5846,1007,154,1748,1659,8817,0.479,0.145,0.706,25.3,8.4,1.7,5.5,Mar 25 1965,New Orleans
41,Carldell Johnson\johnsca01,1,2012,2012,15,119,11,35,4,15,1,3,1,9,22,8,0,7,11,27,0.314,0.267,0.333,7.9,1.8,0.6,1.5,Jan 28 1983,New Orleans
42,Dave Johnson\johnsda01,2,1993,1994,59,475,74,203,3,15,53,80,27,64,17,12,1,37,30,204,0.365,0.2,0.663,8.1,3.5,1.1,0.3,Nov 16 1970,Morgan City
43,Ervin Johnson\johnser02,13,1994,2006,845,16989,1393,2756,2,10,685,1133,1677,5148,387,471,1087,724,2430,3473,0.505,0.2,0.605,20.1,4.1,6.1,0.5,Dec 21 1967,New Orleans
44,Marques Johnson\johnsma01,11,1978,1990,691,23694,5733,11065,14,92,2412,3265,1829,4817,2502,888,525,1627,1766,13892,0.518,0.152,0.739,34.3,20.1,7,3.6,Feb 8 1956,Natchitoches
45,Damian Jones\jonesda03,4,2017,2020,104,1471,193,290,2,9,92,136,119,318,65,40,72,54,241,480,0.666,0.222,0.676,14.1,4.6,3.1,0.6,Jun 30 1995,Baton Rouge
46,Jimmy Jones\jonesji01,10,1968,1977,686,23463,4344,8530,10,40,2668,3398,683,2930,3069,265,47,1783,1995,11366,0.509,0.25,0.785,34.2,16.6,4.3,4.5,Jan 1 1945,Tallulah
47,Perry Jones\jonespe01,3,2013,2015,143,1675,195,464,36,123,62,94,46,252,54,36,33,60,135,488,0.42,0.293,0.66,11.7,3.4,1.8,0.4,Sep 24 1991,Winnsboro
48,Steve Jones\jonesst01,9,1968,1976,704,21028,4132,9310,186,550,2222,2702,652,2467,1515,96,28,1435,1981,10672,0.444,0.338,0.822,29.9,15.2,3.5,2.2,Oct 17 1942,Alexandria
49,Harold Keeling\keeliha01,1,1986,1986,20,75,17,39,0,0,10,14,3,6,10,7,0,7,9,44,0.436,,0.714,3.8,2.2,0.3,0.5,Sep 18 1963,New Orleans
50,Carl Kilpatrick\kilpaca01,1,1980,1980,2,6,1,2,0,0,1,2,1,4,0,0,0,0,1,3,0.5,,0.5,3,1.5,2,0,May 16 1956,Bastrop
51,Gerard King\kingge02,3,1999,2001,126,1829,235,467,0,0,96,129,129,393,84,50,27,92,238,566,0.503,,0.744,14.5,4.5,3.1,0.7,Nov 25 1972,New Orleans
52,Oliver Lafayette\lafayol01,1,2010,2010,1,22,3,6,1,2,0,0,1,4,2,0,0,1,0,7,0.5,0.5,,22,7,4,2,May 6 1984,Baton Rouge
53,Edmund Lawrence\lawreed01,1,1981,1981,3,19,5,8,0,0,2,4,2,4,1,1,0,1,6,12,0.625,,0.5,6.3,4,1.3,0.3,Dec 8 1952,Lake Charles
54,Rashard Lewis\lewisra02,16,1999,2014,1049,33541,5644,12479,1787,4625,2504,3111,1418,5433,1765,1115,541,1577,2430,15579,0.452,0.386,0.805,32,14.9,5.2,1.7,Aug 8 1979,Pineville
55,Randy Livingston\livinra01,11,1997,2007,203,2684,304,749,34,97,131,170,74,282,415,121,31,223,297,773,0.406,0.351,0.771,13.2,3.8,1.4,2,Apr 2 1975,New Orleans
56,Shawn Long\longsh01,1,2017,2017,18,234,61,109,7,19,19,35,41,85,13,9,9,13,49,148,0.56,0.368,0.543,13,8.2,4.7,0.7,Jan 29 1993,Morgan City
57,Bob Love\lovebo01,11,1967,1977,789,25120,5447,12688,,,3001,3728,552,4653,1123,232,56,,2130,13895,0.429,,0.805,31.8,17.6,5.9,1.4,Dec 8 1942,Bastrop
58,Karl Malone*\malonka01,19,1986,2004,1476,54852,13528,26210,85,310,9787,13188,3562,14968,5248,2085,1145,4524,4578,36928,0.516,0.274,0.742,37.2,25,10.1,3.6,Jul 24 1963,Summerfield
59,Jarell Martin\martija01,4,2016,2019,184,2927,376,867,63,182,183,239,189,639,114,67,73,144,411,998,0.434,0.346,0.766,15.9,5.4,3.5,0.6,May 24 1994,Baton Rouge
60,John McConathy\mcconjo01,1,1952,1952,11,106,4,29,,,6,14,,20,8,,,,7,14,0.138,,0.429,9.6,1.3,1.8,0.7,Apr 9 1930,Sailes
61,Mel McGaha\mcgahme01,1,1949,1949,51,,62,195,,,52,88,,,51,,,,104,176,0.318,,0.591,,3.5,,1,Sep 26 1926,Bastrop
62,Elijah Millsap\millsel01,3,2015,2017,69,1120,93,284,29,104,72,106,37,191,78,63,19,78,159,287,0.327,0.279,0.679,16.2,4.2,2.8,1.1,Aug 12 1987,Grambling
63,Paul Millsap\millspa01,14,2007,2020,989,28796,5196,10591,478,1395,2987,4053,2215,7264,2238,1260,994,1750,3047,13857,0.491,0.343,0.737,29.1,14,7.3,2.3,Feb 10 1985,Monroe
64,Greg Monroe\monrogr01,9,2011,2019,632,17475,3339,6499,1,17,1647,2338,1769,5229,1354,672,363,1186,1411,8326,0.514,0.059,0.704,27.7,13.2,8.3,2.1,Jun 4 1990,New Orleans
65,Jackie Moreland\morelja01,8,1961,1970,582,13617,2286,5446,6,20,1152,1598,414,3417,937,,,447,1847,5730,0.42,0.3,0.721,23.4,9.8,5.9,1.6,Mar 11 1938,Minden
66,Calvin Natt\nattca01,11,1980,1990,599,18818,4003,7580,16,73,2269,2954,1370,4070,1306,525,191,1256,1386,10291,0.528,0.219,0.768,31.4,17.2,6.8,2.2,Jan 8 1957,Monroe
