,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Jeff Adrien\adrieje01,5,2011,2015,153,2148,264,557,0,2,181,288,221,659,100,50,79,91,259,709,0.474,0,0.628,14,4.6,4.3,0.7,Feb 10 1986,Brookline
2,John Amaechi\amaecjo01,5,1996,2003,294,4811,663,1646,1,13,510,760,230,772,228,90,94,386,499,1837,0.403,0.077,0.671,16.4,6.2,2.6,0.8,Nov 26 1970,Boston
3,Antonio Anderson\anderan02,1,2010,2010,1,15,1,3,0,0,0,0,1,1,0,0,0,1,1,2,0.333,,,15,2,1,0,Jun 5 1985,Lynn
4,Cedric Ball\ballce01,1,1991,1991,7,26,3,8,0,0,2,2,5,11,0,0,2,2,5,8,0.375,,1,3.7,1.1,1.6,0,Apr 16 1968,Worcester
5,Dana Barros\barroda01,14,1990,2004,850,19480,3281,7140,1090,2652,1249,1456,232,1609,2837,740,46,1213,1074,8901,0.46,0.411,0.858,22.9,10.5,1.9,3.3,Apr 13 1967,Boston
6,Darius Bazley\bazleda01,1,2020,2020,53,909,88,230,30,100,32,47,21,196,29,20,35,40,45,238,0.383,0.3,0.681,17.2,4.5,3.7,0.5,Jun 12 2000,Boston
7,Travis Best\besttr01,10,1996,2005,708,15150,2002,4642,266,772,1106,1324,230,1249,2444,661,60,928,1616,5376,0.431,0.345,0.835,21.4,7.6,1.8,3.5,Jul 12 1972,Springfield
8,Bob Bigelow\bigelbo01,4,1976,1979,94,762,91,220,,,52,71,35,111,42,19,4,18,75,234,0.414,,0.732,8.1,2.5,1.2,0.4,Dec 26 1953,Boston
9,Will Blalock\blalowi01,1,2007,2007,14,166,9,30,1,5,6,6,6,15,17,5,0,12,9,25,0.3,0.2,1,11.9,1.8,1.1,1.2,Sep 8 1983,Boston
10,Michael Bradley\bradlmi01,5,2002,2006,173,2016,218,457,2,14,45,88,223,591,93,25,47,113,200,483,0.477,0.143,0.511,11.7,2.8,3.4,0.5,Apr 18 1979,Worcester
11,Bruce Brown\brownbr01,2,2019,2020,132,3083,323,761,57,189,133,179,109,459,321,103,65,146,340,836,0.424,0.302,0.743,23.4,6.3,3.5,2.4,Aug 15 1996,Boston
12,Bob Carrington\carribo01,2,1978,1980,82,1787,268,626,0,2,136,179,76,187,120,69,24,123,223,672,0.428,0,0.76,21.8,8.2,2.3,1.5,Jul 3 1953,Brookline
13,Michael Carter-Williams\cartemi01,7,2014,2020,357,9038,1381,3428,165,645,801,1126,337,1567,1565,468,195,839,869,3728,0.403,0.256,0.711,25.3,10.4,4.4,4.4,Oct 10 1991,Hamilton
14,Pat Connaughton\connapa01,5,2016,2020,277,4327,497,1122,206,601,105,134,174,762,346,84,79,150,290,1305,0.443,0.343,0.784,15.6,4.7,2.8,1.2,Jan 6 1993,Arlington
15,Armand Cure\curear01,1,1947,1947,12,,4,15,,,2,3,,,0,,,,5,10,0.267,,0.667,,0.8,,0,Aug 1 1919,New Bedford
16,Bill Curley\curlebi01,5,1995,2001,147,1614,157,354,2,9,78,105,124,290,60,61,44,75,345,394,0.444,0.222,0.743,11,2.7,2,0.4,May 29 1972,Boston
17,Vinny Del Negro\delnevi01,12,1989,2002,771,19211,2863,6031,243,677,1069,1273,284,1810,2484,576,65,820,1466,7038,0.475,0.359,0.84,24.9,9.1,2.3,3.2,Aug 9 1966,Springfield
18,Terry Driscoll\driscte01,5,1971,1975,274,3632,449,1071,0,0,229,330,117,1114,221,31,22,28,588,1127,0.419,,0.694,13.3,4.1,4.1,0.8,Aug 28 1947,Winthrop
19,Patrick Ewing\ewingpa02,1,2011,2011,7,19,0,5,0,2,3,4,1,2,2,0,1,1,1,3,0,0,0.75,2.7,0.4,0.3,0.3,May 20 1984,Boston
20,Jack Foley\foleyja01,1,1963,1963,11,83,20,51,,,13,15,,16,5,,,,8,53,0.392,,0.867,7.5,4.8,1.5,0.5,Apr 19 1939,Worcester
21,Matt Geiger\geigema01,10,1993,2002,552,12221,2039,4083,16,69,965,1325,1152,3158,388,306,347,744,1629,5059,0.499,0.232,0.728,22.1,9.2,5.7,0.7,Sep 10 1969,Salem
22,Adam Harrington\harriad01,1,2003,2003,19,111,11,37,5,14,3,4,1,8,12,2,1,2,8,30,0.297,0.357,0.75,5.8,1.6,0.4,0.6,Jul 5 1980,Bernardston
23,Chris Herren\herrech01,2,2000,2001,70,1005,74,220,40,122,36,52,16,73,167,29,2,62,117,224,0.336,0.328,0.692,14.4,3.2,1,2.4,Sep 27 1975,Fall River
24,Bill Hewitt\hewitbi01,6,1969,1975,361,7461,891,2031,,,280,499,30,1994,469,9,10,,792,2062,0.439,,0.561,20.7,5.7,5.5,1.3,Aug 8 1944,Cambridge
25,Bob Hubbard\hubbabo01,2,1948,1949,62,,83,334,,,58,86,,,29,,,,73,224,0.249,,0.674,,3.6,,0.5,Dec 27 1922,Westfield
26,Randell Jackson\jacksra02,2,1999,2000,28,272,46,108,1,7,21,32,30,54,8,3,11,26,29,114,0.426,0.143,0.656,9.7,4.1,1.9,0.3,Jan 16 1976,Boston
27,Toby Kimball\kimbato01,9,1967,1975,571,10439,1383,3251,,,704,1229,193,3870,571,51,23,,1280,3470,0.425,,0.573,18.3,6.1,6.8,1,Sep 7 1942,Framingham
28,Bill Laimbeer\laimbbi01,14,1981,1994,1068,33956,5574,11198,202,619,2440,2916,2819,10400,2184,710,965,1594,3633,13790,0.498,0.326,0.837,31.8,12.9,9.7,2,May 19 1957,Boston
29,Tony Lavelli\lavelto01,2,1950,1951,86,,194,529,,,203,238,,59,63,,,,163,591,0.367,,0.853,,6.9,2,0.7,Jul 11 1926,Somerville
30,Jake Layman\laymaja01,4,2017,2020,164,2241,337,739,100,324,89,123,83,314,90,63,47,86,198,863,0.456,0.309,0.724,13.7,5.3,1.9,0.5,Mar 7 1994,Norwood
31,Ron Lee\leero01,6,1977,1982,448,9586,1296,3117,42,131,651,924,397,1219,1688,869,122,783,1368,3285,0.416,0.321,0.705,21.4,7.3,2.7,3.8,Nov 2 1952,Boston
32,Russ Lee\leeru01,3,1973,1975,97,582,116,297,,,50,73,31,114,65,22,3,,82,282,0.391,,0.685,6,2.9,1.2,0.7,Jan 27 1950,Boston
33,Dwayne McClain\mccladw01,1,1986,1986,45,461,69,180,1,9,18,35,14,30,67,38,4,40,61,157,0.383,0.111,0.514,10.2,3.5,0.7,1.5,Feb 7 1963,Worcester
34,Shabazz Napier\napiesh01,6,2015,2020,340,5876,790,1991,340,982,462,567,103,645,840,283,46,435,396,2382,0.397,0.346,0.815,17.3,7,1.9,2.5,Jul 14 1991,Roxbury
35,Georges Niang\niangge01,4,2017,2020,149,1413,219,493,121,306,42,50,28,222,78,28,11,57,127,601,0.444,0.395,0.84,9.5,4,1.5,0.5,Jun 17 1993,Lawrence
36,Demetris Nichols\nichode01,2,2008,2009,18,58,9,32,3,15,1,2,0,7,2,0,4,4,5,22,0.281,0.2,0.5,3.2,1.2,0.4,0.1,Sep 4 1984,Boston
37,Nerlens Noel\noelne01,6,2015,2020,355,7864,1183,2184,2,7,501,773,689,2211,418,469,492,483,894,2869,0.542,0.286,0.648,22.2,8.1,6.2,1.2,Apr 10 1994,Malden
38,Grady O'Malley\omallgr01,1,1970,1970,24,113,21,60,,,8,19,,26,10,,,,12,50,0.35,,0.421,4.7,2.1,1.1,0.4,Apr 25 1948,Boston
39,Wayne Selden\seldewa01,3,2017,2019,124,2367,337,810,111,324,125,173,54,252,188,57,19,145,208,910,0.416,0.343,0.723,19.1,7.3,2,1.5,Sep 30 1994,Roxbury
40,Courtney Sims\simsco01,2,2008,2009,5,24,3,7,0,0,0,0,3,6,1,0,0,1,3,6,0.429,,,4.8,1.2,1.2,0.2,Oct 21 1983,Roslindale
41,Stan Stutz\stutzst01,3,1947,1949,166,,402,1573,,,377,464,,,188,,,,397,1181,0.256,,0.813,,7.1,,1.1,Apr 14 1920,Worcester
42,Jared Terrell\terreja01,1,2019,2019,14,111,12,39,4,17,3,6,1,6,12,3,2,10,16,31,0.308,0.235,0.5,7.9,2.2,0.4,0.9,Feb 10 1995,Weymouth
43,Lou Tsioropoulos\tsiorlo01,3,1957,1959,157,2977,337,1070,,,236,329,,751,165,,,,451,910,0.315,,0.717,19,5.8,4.8,1.1,Aug 31 1930,Lynn
44,Wayne Turner\turnewa01,1,2000,2000,3,41,1,6,0,0,2,6,1,3,5,0,0,3,4,4,0.167,,0.333,13.7,1.3,1,1.7,Mar 22 1976,Boston
45,Noah Vonleh\vonleno01,6,2015,2020,332,5659,638,1387,92,297,287,415,470,1740,255,137,136,265,606,1655,0.46,0.31,0.692,17,5,5.2,0.8,Aug 24 1995,Salem
