,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Maurice Ager\agerma01,4,2007,2011,82,505,64,189,11,44,30,53,8,46,19,6,6,29,65,169,0.339,0.25,0.566,6.2,2.1,0.6,0.2,Feb 9 1984,Detroit
2,Henry Akin\akinhe01,3,1967,1969,88,737,130,371,0,2,48,71,0,181,40,,,4,130,308,0.35,0,0.676,8.4,3.5,2.1,0.5,Jul 31 1944,Detroit
3,Victor Alexander\alexavi01,5,1992,2002,286,5755,1101,2126,18,63,322,508,446,1384,257,135,177,378,713,2542,0.518,0.286,0.634,20.1,8.9,4.8,0.9,Aug 31 1969,Detroit
4,Keith Appling\applike01,1,2016,2016,5,27,2,8,0,3,2,2,0,1,1,1,0,3,5,6,0.25,0,1,5.4,1.2,0.2,0.2,Feb 13 1992,Detroit
5,B.J. Armstrong\armstbj01,11,1990,2000,747,17790,2850,5981,436,1026,1184,1383,192,1321,2479,533,47,889,1128,7320,0.477,0.425,0.856,23.8,9.8,1.8,3.3,Sep 9 1967,Detroit
6,Bob Armstrong\armstbo01,1,1957,1957,19,110,11,37,,,6,12,,39,3,,,,13,28,0.297,,0.5,5.8,1.5,2.1,0.2,Jun 17 1933,Detroit
7,Shane Battier\battish01,13,2002,2014,977,30004,2982,6819,1250,3254,1194,1606,1273,4082,1717,988,906,878,2208,8408,0.437,0.384,0.743,30.7,8.6,4.2,1.8,Sep 9 1978,Birmingham
8,Charlie Bell\bellch01,7,2002,2011,376,9368,1192,2891,438,1213,382,497,180,814,857,303,31,362,750,3204,0.412,0.361,0.769,24.9,8.5,2.2,2.3,Mar 12 1979,Flint
9,Ricky Berry\berryri01,1,1989,1989,64,1406,255,567,65,160,131,166,57,197,80,37,22,82,197,706,0.45,0.406,0.789,22,11,3.1,1.3,Oct 6 1964,Lansing
10,Devin Booker\bookede01,5,2016,2020,334,11186,2558,5725,654,1842,1669,1922,165,1203,1562,264,84,1103,1023,7439,0.447,0.355,0.868,33.5,22.3,3.6,4.7,Oct 30 1996,Grand Rapids
11,Don Boven\bovendo01,3,1950,1953,195,3355,561,1653,,,641,908,,553,393,,,,753,1763,0.339,,0.706,25.2,9,4.2,2,Mar 6 1925,Kalamazoo
12,Brian Bowen\bowenbr02,1,2020,2020,5,29,2,9,0,2,0,0,1,7,0,0,1,1,2,4,0.222,0,,5.8,0.8,1.4,0,Oct 2 1998,Saginaw
13,Miles Bridges\bridgmi02,2,2019,2020,145,3691,556,1264,164,500,164,208,155,685,209,95,97,145,243,1440,0.44,0.328,0.788,25.5,9.9,4.7,1.4,Mar 21 1998,Flint
14,John Brisker\briskjo01,6,1970,1975,331,9953,2678,5907,166,517,1325,1588,725,2152,787,35,9,733,937,6847,0.453,0.321,0.834,30.1,20.7,6.5,2.4,Jun 15 1947,Detroit
15,P.J. Brown\brownpj01,15,1994,2008,1089,33823,3852,8365,8,59,2158,2718,3002,8409,1661,912,1116,1342,3218,9870,0.46,0.136,0.794,31.1,9.1,7.7,1.5,Oct 14 1969,Detroit
16,Bill Buntin\buntibi01,1,1966,1966,42,713,118,299,,,88,143,,252,36,,,,119,324,0.395,,0.615,17,7.7,6,0.9,May 5 1942,Detroit
17,Willie Burton\burtowi01,8,1991,1999,316,6666,1090,2569,140,406,923,1174,326,932,393,191,121,517,846,3243,0.424,0.345,0.786,21.1,10.3,2.9,1.2,May 26 1968,Detroit
18,Demetrius Calip\calipde01,1,1992,1992,7,58,4,18,1,5,2,3,1,5,12,1,0,5,8,11,0.222,0.2,0.667,8.3,1.6,0.7,1.7,Nov 18 1969,Flint
19,Geno Carlisle\carlige01,1,2005,2005,6,16,2,3,0,0,4,6,1,1,1,0,0,1,1,8,0.667,,0.667,2.7,1.3,0.2,0.2,Aug 13 1976,Grand Rapids
20,Wilson Chandler\chandwi01,12,2008,2020,676,20287,3270,7382,874,2560,1049,1363,766,3574,1205,470,414,931,1807,8463,0.443,0.341,0.77,30,12.5,5.3,1.8,May 10 1987,Benton Harbor
21,Mateen Cleaves\cleavma01,6,2001,2006,167,1863,233,599,12,45,131,180,33,175,310,67,5,201,213,609,0.389,0.267,0.728,11.2,3.6,1,1.9,Sep 7 1977,Flint
22,Fred Cofield\cofiefr01,2,1986,1987,50,496,77,195,3,16,12,20,7,51,86,22,3,50,66,169,0.395,0.188,0.6,9.9,3.4,1,1.7,Jan 4 1962,Ypsilanti
23,Duane Cooper\coopedu01,2,1993,1994,88,781,80,199,8,37,36,50,15,59,178,21,2,89,78,204,0.402,0.216,0.72,8.9,2.3,0.7,2,Jun 25 1969,Benton Harbor
24,Matt Costello\costema01,1,2018,2018,4,32,2,4,0,0,0,0,1,9,2,2,2,1,7,4,0.5,,,8,1,2.3,0.5,Aug 5 1993,Linwood
