,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Cole Aldrich\aldrico01,8,2011,2018,339,3389,435,825,0,0,180,244,334,1131,183,137,233,199,509,1050,0.527,,0.738,10,3.1,3.3,0.5,Oct 31 1988,Burnsville
2,Alan Anderson\anderal01,8,2006,2017,330,6793,843,2084,331,963,404,495,151,714,371,182,31,290,602,2421,0.405,0.344,0.816,20.6,7.3,2.2,1.1,Oct 16 1982,Minneapolis
3,Dan Anderson\anderda01,2,1968,1969,140,4025,683,1421,0,0,341,469,488,1316,158,,,212,503,1707,0.481,,0.727,28.8,12.2,9.4,1.1,Feb 15 1943,Minneapolis
4,Troy Bell\belltr01,1,2004,2004,6,34,4,18,0,4,3,3,3,4,4,1,0,6,6,11,0.222,0,1,5.7,1.8,0.7,0.7,Nov 10 1980,Minneapolis
5,Don Bielke\bielkdo01,1,1956,1956,7,38,5,9,,,4,7,,9,1,,,,9,14,0.556,,0.571,5.4,2,1.3,0.1,May 10 1932,
6,Randy Breuer\breuera01,11,1984,1994,681,12499,1898,4060,0,4,803,1278,1061,2986,616,305,750,676,1464,4599,0.467,0,0.628,18.4,6.8,4.4,0.9,Oct 11 1960,Lake City
7,Don Carlson\carlsdo01,4,1947,1951,180,,599,1813,,,249,400,,15,324,,,,511,1447,0.33,,0.623,,8,1.7,1.8,Mar 22 1919,Minneapolis
8,John Clawson\clawsjo01,1,1969,1969,70,1067,147,309,0,0,37,54,71,195,51,,,73,187,331,0.476,,0.685,15.2,4.7,2.8,0.7,May 15 1944,Duluth
9,Amir Coffey\coffeam01,1,2020,2020,13,98,13,33,1,7,1,3,4,14,9,1,1,3,12,28,0.394,0.143,0.333,7.5,2.2,1.1,0.7,Jun 17 1997,Hopkins
10,Ben Coleman\colembe01,5,1987,1994,227,3612,583,1129,0,5,328,432,305,928,128,94,99,302,613,1494,0.516,0,0.759,15.9,6.6,4.1,0.6,Nov 14 1961,Minneapolis
