,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Mahmoud Abdul-Rauf\abdulma02,9,1991,2001,586,15628,3514,7943,474,1339,1051,1161,219,1087,2079,487,46,963,1106,8553,0.442,0.354,0.905,26.7,14.6,1.9,3.5,Mar 9 1969,Gulfport
2,Earl Barron\barroea01,8,2006,2015,140,1985,255,687,3,18,127,181,188,492,63,46,30,107,270,640,0.371,0.167,0.702,14.2,4.6,3.5,0.5,Aug 14 1981,Clarksdale
3,Billy Ray Bates\batesbi01,4,1980,1983,187,3328,893,1885,36,119,375,471,148,313,352,151,16,274,265,2197,0.474,0.303,0.796,17.8,11.7,1.7,1.9,May 31 1956,Kosciusko
4,Jonathan Bender\bendejo01,8,2000,2010,262,3847,509,1221,101,297,334,438,153,582,170,43,169,258,391,1453,0.417,0.34,0.763,14.7,5.5,2.2,0.6,Jan 30 1981,Picayune
5,Melvin Booker\bookeme01,2,1996,1997,32,561,62,155,15,56,27,31,8,38,74,8,3,39,46,166,0.4,0.268,0.871,17.5,5.2,1.2,2.3,Aug 20 1972,Pascagoula
6,Tommie Bowens\bowento01,3,1968,1970,211,3590,473,1157,1,5,185,280,232,1007,134,,,245,542,1132,0.409,0.2,0.661,17,5.4,4.8,0.6,Jul 7 1940,Okolona
7,Alonzo Bradley\bradlal01,3,1978,1980,99,1139,184,440,1,1,71,101,39,151,74,24,7,80,125,440,0.418,1,0.703,11.5,4.4,1.5,0.7,Oct 16 1953,Utica
8,Dee Brown\brownde03,2,2007,2009,68,711,50,147,13,52,27,42,15,69,119,32,7,48,79,140,0.34,0.25,0.643,10.5,2.1,1,1.8,Aug 17 1984,Jackson
9,Rickey Brown\brownri01,5,1981,1985,340,4487,614,1322,0,3,254,381,422,1200,119,95,114,301,796,1482,0.464,0,0.667,13.2,4.4,3.5,0.4,Aug 20 1958,Madison County
10,Cleveland Buckner\buckncl01,2,1962,1963,68,723,163,377,,,85,137,,240,44,,,,120,411,0.432,,0.62,10.6,6,3.5,0.6,Aug 17 1938,Yazoo City
11,Jackie Butler\butleja01,3,2005,2007,69,848,137,254,0,0,69,89,73,205,30,20,31,73,143,343,0.539,,0.775,12.3,5,3,0.4,Mar 10 1985,McComb
12,Isaiah Canaan\canaais01,6,2014,2019,235,4799,616,1661,366,1042,315,377,63,438,454,145,23,259,364,1913,0.371,0.351,0.836,20.4,8.1,1.9,1.9,May 21 1991,Biloxi
13,Maurice Carter\cartema01,1,2004,2004,10,110,11,35,4,11,16,20,2,11,4,0,0,9,10,42,0.314,0.364,0.8,11,4.2,1.1,0.4,Oct 12 1976,Jackson
14,Cornelius Cash\cashco01,1,1977,1977,6,49,9,23,,,3,6,8,16,1,2,1,,8,21,0.391,,0.5,8.2,3.5,2.7,0.2,Mar 3 1952,Macon
15,Harvey Catchings\catchha01,11,1975,1985,725,13182,926,2127,0,3,483,747,1267,3639,608,261,1226,594,2000,2335,0.435,0,0.647,18.2,3.2,5,0.8,Sep 2 1951,Jackson
16,Terry Catledge\catlete01,8,1986,1993,515,13541,2576,5311,3,32,1365,2087,1479,3314,459,285,99,886,1285,6520,0.485,0.094,0.654,26.3,12.7,6.4,0.9,Aug 22 1963,Houston
17,E.C. Coleman\colemec01,6,1974,1979,357,9310,1104,2378,,,345,497,661,2151,472,305,142,95,1210,2553,0.464,,0.694,26.1,7.2,6,1.3,Sep 25 1950,Flora
18,Joe Courtney\courtjo01,4,1993,1997,96,749,106,245,2,3,50,79,65,140,27,20,23,47,110,264,0.433,0.667,0.633,7.8,2.8,1.5,0.3,Oct 17 1969,Jackson
19,Erick Dampier\dampier01,16,1997,2012,987,24003,2784,5595,2,16,1739,2779,2723,7005,817,330,1398,1435,2869,7309,0.498,0.125,0.626,24.3,7.4,7.1,0.8,Jul 14 1975,Jackson
20,Ollie Darden\dardeol01,3,1968,1970,223,4811,815,1872,2,11,415,597,316,1381,219,,,360,693,2047,0.435,0.182,0.695,21.6,9.2,6.2,1,Jul 28 1944,Aberdeen
21,Terence Davis\daviste02,1,2020,2020,64,1087,181,391,88,222,45,52,46,217,107,32,12,65,104,495,0.463,0.396,0.865,17,7.7,3.4,1.7,May 16 1997,Southaven
22,Archie Dees\deesar01,4,1959,1962,190,3092,575,1429,,,398,501,,907,132,,,,385,1548,0.402,,0.794,16.3,8.1,4.8,0.7,Feb 22 1936,Ethel
23,Ronald Dupree\duprero01,6,2004,2011,157,1758,218,510,5,13,114,204,116,339,100,57,29,90,252,555,0.427,0.385,0.559,11.2,3.5,2.2,0.6,Jan 26 1981,Biloxi
24,Keith Edmonson\edmonke01,2,1983,1984,87,931,206,460,0,2,110,153,66,127,56,37,13,81,124,522,0.448,0,0.719,10.7,6,1.5,0.6,Sep 28 1960,Gulfport
25,Monta Ellis\ellismo01,12,2006,2017,833,29011,5723,12688,737,2349,2675,3463,520,2874,3856,1409,281,2246,1950,14858,0.451,0.314,0.772,34.8,17.8,3.5,4.6,Oct 26 1985,Jackson
26,Drew Eubanks\eubandr01,2,2019,2020,37,243,36,54,1,1,19,24,14,69,12,4,11,18,32,92,0.667,1,0.792,6.6,2.5,1.9,0.3,Feb 1 1997,Starkville
27,Alphonso Ford\fordal01,2,1994,1995,11,114,16,52,1,10,2,4,8,20,10,3,0,9,7,35,0.308,0.1,0.5,10.4,3.2,1.8,0.9,Oct 31 1971,Greenwood
28,Rowland Garrett\garrero01,5,1973,1977,263,2905,562,1273,,,213,276,193,607,106,75,39,,344,1337,0.441,,0.772,11,5.1,2.3,0.4,Jul 16 1950,Canton
29,Gerald Glass\glassge01,4,1991,1996,201,3347,686,1583,26,110,155,241,228,512,298,130,58,179,361,1553,0.433,0.236,0.643,16.7,7.7,2.5,1.5,Nov 12 1967,Greenwood
30,Lancaster Gordon\gordola01,4,1985,1988,201,2581,472,1208,23,85,158,206,116,259,294,128,31,237,266,1125,0.391,0.271,0.767,12.8,5.6,1.3,1.5,Jun 24 1962,Jackson
31,Litterial Green\greenli01,5,1993,1999,148,1189,144,343,2,26,133,200,24,75,182,49,6,78,124,423,0.42,0.077,0.665,8,2.9,0.5,1.2,Mar 7 1970,Pascagoula
32,Mike Green\greenmi01,7,1974,1980,459,11334,2177,4534,1,12,946,1292,1190,3181,587,325,752,697,1328,5301,0.48,0.083,0.732,24.7,11.5,6.9,1.3,Aug 6 1951,McComb
33,Tang Hamilton\hamilta01,1,2002,2002,9,98,10,19,0,1,0,1,6,18,5,4,0,2,10,20,0.526,0,0,10.9,2.2,2,0.6,May 26 1978,Jackson
34,Ira Harge\hargeir01,6,1968,1973,427,13160,1783,3963,2,6,828,1253,1184,4955,736,,,1089,1468,4396,0.45,0.333,0.661,30.8,10.3,11.6,1.7,Mar 14 1941,Anguilla
35,Othella Harrington\harriot01,12,1997,2008,709,13924,2021,4001,0,11,1170,1585,1087,3130,443,185,286,948,1868,5212,0.505,0,0.738,19.6,7.4,4.4,0.6,Jan 31 1974,Jackson
36,Antonio Harvey\harvean01,8,1994,2003,187,1954,230,565,1,3,92,180,155,433,58,54,130,108,255,553,0.407,0.333,0.511,10.4,3,2.3,0.3,Jul 6 1970,Pascagoula
37,Spencer Haywood*\haywosp01,13,1970,1983,844,29408,6776,14445,1,19,3558,4471,2026,8675,1541,355,629,969,2388,17111,0.469,0.053,0.796,34.8,20.3,10.3,1.8,Apr 22 1949,Silver City
38,Rodney Hood\hoodro01,6,2015,2020,341,9326,1536,3606,583,1566,592,706,120,980,645,262,67,379,750,4247,0.426,0.372,0.839,27.3,12.5,2.9,1.9,Oct 20 1992,Meridian
39,Eddie Hughes\hugheed01,3,1988,1990,97,1158,116,279,28,77,36,52,24,93,159,65,3,56,122,296,0.416,0.364,0.692,11.9,3.1,1,1.6,May 26 1960,Greenville
40,Lindsey Hunter\hunteli01,17,1994,2010,937,23253,2970,7663,1075,2984,941,1261,438,2021,2506,1120,165,1159,1857,7956,0.388,0.36,0.746,24.8,8.5,2.2,2.7,Dec 3 1970,Utica
41,Wardell Jackson\jackswa01,1,1975,1975,56,939,96,242,,,51,71,53,133,30,26,5,,126,243,0.397,,0.718,16.8,4.3,2.4,0.5,Jul 18 1951,Yazoo City
42,Al Jefferson\jeffeal01,14,2005,2018,915,26299,6161,12344,8,66,2013,2833,2054,7690,1347,628,1093,1211,2347,14343,0.499,0.121,0.711,28.7,15.7,8.4,1.5,Jan 4 1985,Monticello
43,Clay Johnson\johnscl02,3,1982,1984,80,688,84,205,1,3,55,76,54,93,45,33,9,44,99,224,0.41,0.333,0.724,8.6,2.8,1.2,0.6,Jul 18 1956,Yazoo City
44,George Johnson\johnsge02,13,1973,1986,904,18102,1802,3995,1,2,764,1101,1960,5887,929,456,2082,872,2707,4369,0.451,0.5,0.694,20,4.8,6.5,1,Dec 18 1948,Tylertown
45,John Johnson\johnsjo01,12,1971,1982,869,25681,4575,10254,0,1,2050,2633,1021,4778,3285,487,235,917,2505,11200,0.446,0,0.779,29.6,12.9,5.5,3.8,Oct 18 1947,Carthage
46,Trey Johnson\johnstr01,3,2009,2012,23,169,20,52,1,3,18,19,5,20,15,2,1,11,26,59,0.385,0.333,0.947,7.3,2.6,0.9,0.7,Aug 30 1984,Jackson
