,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Blake Ahearn\ahearbl01,3,2008,2012,19,226,21,77,14,47,32,33,1,22,22,7,0,22,27,88,0.273,0.298,0.97,11.9,4.6,1.2,1.2,May 27 1984,St. Louis
2,Matthew Aitch\aitchma01,1,1968,1968,45,637,100,247,0,2,52,77,,160,18,,,37,69,252,0.405,0,0.675,14.2,5.6,3.6,0.4,Sep 21 1944,St. Louis
3,Kim Anderson\anderki01,1,1979,1979,21,224,24,77,,,15,28,17,45,15,4,5,22,42,63,0.312,,0.536,10.7,3,2.1,0.7,May 12 1955,Sedalia
4,Don Anielak\anieldo01,1,1955,1955,1,10,0,4,,,3,4,,2,0,,,,0,3,0,,0.75,10,3,2,0,Nov 1 1930,St. Louis
5,Bradley Beal\bealbr01,8,2013,2020,545,18832,4162,9204,1241,3268,1860,2306,450,2169,2171,622,214,1241,1200,11425,0.452,0.38,0.807,34.6,21,4,4,Jun 28 1993,St. Louis
6,Gary Bergen\bergega01,1,1957,1957,6,40,3,11,,,2,2,,8,1,,,,4,8,0.273,,1,6.7,1.3,1.3,0.2,Jul 16 1932,Independence
7,Anthony Bonner\bonnean01,6,1991,1996,318,7372,881,1881,2,16,435,737,708,1726,442,346,84,450,784,2199,0.468,0.125,0.59,23.2,6.9,5.4,1.4,Jun 8 1968,St. Louis
8,Bill Bradley*\bradlbi01,10,1968,1977,742,22799,3927,8763,,,1363,1623,198,2354,2533,209,65,,2363,9217,0.448,,0.84,30.7,12.4,3.2,3.4,Jul 28 1943,Crystal City
9,Alec Burks\burksal01,9,2012,2020,488,10664,1698,4047,389,1086,1195,1509,297,1566,900,318,92,622,859,4980,0.42,0.358,0.792,21.9,10.2,3.2,1.8,Jul 20 1991,Grandview
10,Chris Carr\carrch01,6,1996,2001,297,4505,730,1753,159,470,369,457,176,658,294,93,46,310,502,1988,0.416,0.338,0.807,15.2,6.7,2.2,1,Mar 12 1974,Ironton
11,Jay Carty\cartyja01,1,1969,1969,28,192,34,89,,,8,11,,58,11,,,,31,76,0.382,,0.727,6.9,2.7,2.1,0.4,Jul 4 1941,West Plains
12,Tyler Cook\cookty01,1,2020,2020,11,35,7,10,0,0,5,6,4,10,1,1,0,1,4,19,0.7,,0.833,3.2,1.7,0.9,0.1,Sep 23 1997,St. Louis
13,Don Dee\deedo01,1,1969,1969,58,989,138,387,0,1,56,75,104,292,33,,,72,179,332,0.357,0,0.747,17.1,5.7,5,0.6,Aug 9 1943,Boonville
14,Bob Ferry\ferrybo01,10,1960,1969,634,12828,2225,5142,,,1330,2003,,3343,906,,,,1438,5780,0.433,,0.664,20.2,9.1,5.3,1.4,May 31 1937,St. Louis
15,Jerry Fowler\fowleje01,1,1952,1952,6,41,4,13,,,1,4,,10,2,,,,9,9,0.308,,0.25,6.8,1.5,1.7,0.3,Jun 20 1927,Boonville
16,Hiram Fuller\fullehi01,1,2004,2004,4,43,3,8,0,0,2,6,4,11,2,0,1,4,5,8,0.375,,0.333,10.8,2,2.8,0.5,May 15 1981,East St. Louis
17,Bill Garnett\garnebi02,4,1983,1986,300,5260,572,1167,0,9,494,686,468,1298,393,159,173,332,832,1638,0.49,0,0.72,17.5,5.5,4.3,1.3,Apr 22 1960,Kansas City
18,Ben Hansbrough\hansbbe01,1,2013,2013,28,200,15,45,6,23,21,27,2,18,21,7,2,18,23,57,0.333,0.261,0.778,7.1,2,0.6,0.8,Dec 23 1987,Poplar Bluff
19,Tyler Hansbrough\hansbty01,7,2010,2016,428,7233,947,2156,3,22,984,1333,745,1808,181,207,91,319,869,2881,0.439,0.136,0.738,16.9,6.7,4.2,0.4,Nov 3 1985,Poplar Bluff
20,Josh Harrellson\harrejo01,3,2012,2014,75,888,105,240,33,95,22,35,80,227,26,30,36,33,96,265,0.438,0.347,0.629,11.8,3.5,3,0.3,Feb 12 1989,St. Charles
21,Steve Harris\harrist01,5,1986,1990,207,2840,592,1363,1,20,255,303,154,365,238,116,29,169,265,1440,0.434,0.05,0.842,13.7,7,1.8,1.1,Oct 15 1963,Kansas City
22,Shaquille Harrison\harrish01,3,2018,2020,139,2298,320,715,46,157,149,211,64,369,243,149,56,101,221,835,0.448,0.293,0.706,16.5,6,2.7,1.7,Oct 6 1993,Kansas City
23,Derek Hood\hoodde01,1,2000,2000,2,4,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,,,2,0,0.5,0,Dec 22 1976,Kansas City
24,Larry Hughes\hughela01,13,1999,2012,727,22368,3738,9200,524,1696,2242,2963,738,3039,2290,1092,255,1554,1645,10242,0.406,0.309,0.757,30.8,14.1,4.2,3.1,Jan 23 1979,St. Louis
25,Robin Jones\jonesro01,2,1977,1978,75,1131,150,319,,,70,119,108,310,82,38,39,7,140,370,0.47,,0.588,15.1,4.9,4.1,1.1,Feb 2 1954,St. Louis
26,Jim Krebs\krebsji01,7,1958,1964,515,10661,1696,4188,,,736,975,,3177,429,,,,1539,4128,0.405,,0.755,20.7,8,6.2,0.8,Sep 8 1935,Webster Groves
27,David Lee\leeda02,12,2006,2017,829,24293,4587,8566,1,29,2057,2666,2150,7320,1825,625,329,1454,2170,11232,0.535,0.034,0.772,29.3,13.5,8.8,2.2,Apr 29 1983,St. Louis
28,Leary Lentz\lentzle01,2,1968,1969,148,3633,478,1179,0,4,223,338,108,919,120,,,151,278,1179,0.405,0,0.66,24.5,8,6.2,0.8,Feb 23 1945,Clarkton
29,Tyronn Lue\luety01,11,1999,2009,554,12564,1765,4039,460,1175,720,868,132,943,1727,286,10,659,1057,4710,0.437,0.391,0.829,22.7,8.5,1.7,3.1,May 3 1977,Mexico
30,Ed Macauley*\macaued01,10,1950,1959,641,18071,3742,8589,,,3750,4929,,4325,2079,,,,1667,11234,0.436,,0.761,35.7,17.5,7.5,3.2,Mar 22 1928,St. Louis
31,Cuonzo Martin\marticu01,2,1996,1997,7,32,3,12,3,5,0,2,2,3,3,1,0,2,2,9,0.25,0.6,0,4.6,1.3,0.4,0.4,Sep 23 1971,St. Louis
32,Don Martin\martido01,3,1947,1949,137,,176,624,,,58,111,,,36,,,,251,410,0.282,,0.523,,3,,0.3,Feb 7 1920,Poplar Bluff
33,Patrick McCaw\mccawpa01,4,2017,2020,194,3340,291,695,92,302,81,104,63,316,266,137,31,123,227,755,0.419,0.305,0.779,17.2,3.9,1.6,1.4,Oct 25 1995,St. Louis
34,Ben McLemore\mclembe01,7,2014,2020,431,10162,1384,3291,593,1633,497,637,194,1048,461,285,83,507,959,3858,0.421,0.363,0.78,23.6,9,2.4,1.1,Feb 11 1993,St. Louis
35,Jay Miller\milleja01,4,1968,1971,117,1245,236,569,0,1,177,247,106,205,47,,,100,191,649,0.415,0,0.717,10.6,5.5,1.8,0.4,Jul 19 1943,St. Louis
36,Gene Moore\moorege01,7,1969,1975,465,11780,2334,5003,10,33,916,1350,1562,4360,648,30,207,1158,1730,5594,0.467,0.303,0.679,25.3,12,9.4,1.4,Jul 29 1945,St. Louis
