,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Jack Cotton\cottoja01,1,1950,1950,54,,97,332,,,82,161,,,65,,,,184,276,0.292,,0.509,,5.1,,1.2,Oct 25 1924,Miles City
2,Jim Creighton\creigji01,1,1976,1976,32,172,12,43,,,7,16,13,45,4,2,9,,23,31,0.279,,0.438,5.4,1,1.4,0.1,Apr 18 1950,Billings
3,Brad Holland\hollabr01,3,1980,1982,93,686,118,293,4,21,53,71,19,59,63,47,3,52,81,293,0.403,0.19,0.746,7.4,3.2,0.6,0.7,Dec 6 1956,Billings
4,Phil Jackson*\jacksph01,12,1968,1980,807,14201,2076,4583,0,2,1276,1734,515,3454,898,281,199,134,2366,5428,0.453,0,0.736,17.6,6.7,4.3,1.1,Sep 17 1945,Deer Lodge
5,Ed Kalafat\kalafed01,3,1955,1957,209,4358,490,1422,,,494,718,,1182,310,,,,684,1474,0.345,,0.688,20.9,7.1,5.7,1.5,Oct 13 1932,
6,Coby Karl\karlco01,2,2008,2010,24,184,20,58,6,24,12,16,7,32,24,7,3,15,18,58,0.345,0.25,0.75,7.7,2.4,1.3,1,Mar 6 1983,Great Falls
7,Larry Krystkowiak\krystla01,9,1987,1997,420,9097,1294,2830,5,36,832,1046,643,2051,513,264,62,522,1048,3425,0.457,0.139,0.795,21.7,8.2,4.9,1.2,Sep 23 1964,Missoula
8,Ray Kuka\kukara01,2,1948,1949,52,,99,309,,,55,93,,,38,,,,133,253,0.32,,0.591,,4.9,,0.7,Feb 17 1922,Havre
9,Mike Lewis\lewismi01,6,1969,1974,337,10118,1613,3237,0,4,855,1164,1480,4022,1000,0,0,883,1249,4081,0.498,0,0.735,30,12.1,11.9,3,Mar 18 1946,Missoula
10,Adam Morrison\morriad01,3,2007,2010,161,3278,467,1252,124,375,142,200,82,342,222,40,12,172,273,1200,0.373,0.331,0.71,20.4,7.5,2.1,1.4,Jul 19 1984,Glendive
11,Keith Tower\towerke01,4,1994,1997,53,416,39,91,0,1,20,36,25,69,7,6,12,19,69,98,0.429,0,0.556,7.8,1.8,1.3,0.1,May 15 1970,Libby
