,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Bob Boozer\boozebo01,11,1961,1971,874,25549,4961,10738,,,3042,3998,,7119,1237,,,,2489,12964,0.462,,0.761,29.2,14.8,8.1,1.4,Apr 26 1937,Omaha
2,Chuck Gardner\gardnch01,1,1968,1968,42,487,71,175,0,4,55,79,,136,13,,,52,74,197,0.406,0,0.696,11.6,4.7,3.2,0.3,Sep 30 1944,Lincoln
3,Mike Higgins\higgimi01,2,1990,1991,18,111,9,18,0,0,12,17,6,9,5,2,4,5,21,30,0.5,,0.706,6.2,1.7,0.5,0.3,Feb 17 1967,Grand Island
4,Fred Hoiberg\hoibefr01,10,1996,2005,541,9978,959,2227,373,941,653,765,143,1438,846,428,59,292,783,2944,0.431,0.396,0.854,18.4,5.4,2.7,1.6,Oct 15 1972,Lincoln
5,Dave Hoppen\hoppeda01,6,1988,1993,169,2401,326,629,1,5,184,245,220,647,100,43,29,138,389,837,0.518,0.2,0.751,14.2,5,3.8,0.6,Mar 13 1964,Omaha
6,Rich King\kingri01,4,1992,1995,72,309,44,112,0,2,47,71,30,74,21,5,7,28,62,135,0.393,0,0.662,4.3,1.9,1,0.3,Apr 4 1969,Lincoln
7,Bart Kofoed\kofoeba01,5,1988,1993,111,702,58,150,3,16,43,70,16,56,108,19,4,56,95,162,0.387,0.188,0.614,6.3,1.5,0.5,1,Mar 24 1964,Omaha
8,Tom Kropp\kroppto01,2,1976,1977,78,552,80,182,,,33,47,26,62,47,20,1,,97,193,0.44,,0.702,7.1,2.5,0.8,0.6,Feb 12 1953,Grand Island
9,Mark Pope\popema01,6,1998,2005,153,1634,116,289,10,56,43,75,92,261,63,32,45,47,242,285,0.401,0.179,0.573,10.7,1.9,1.7,0.4,Sep 11 1972,Omaha
10,Kenny Sailors\sailoke01,5,1947,1951,276,,1255,3813,,,970,1362,,120,781,,,,1016,3480,0.329,,0.712,,12.6,2,2.8,Jan 14 1921,Bushnell
11,Alex Stivrins\stivral01,2,1986,1993,22,90,20,43,0,2,4,8,10,22,4,2,2,10,13,44,0.465,0,0.5,4.1,2,1,0.2,Nov 29 1962,Lincoln
12,Khyri Thomas\thomakh01,2,2019,2020,34,256,27,86,15,49,9,15,5,21,11,10,5,7,31,78,0.314,0.306,0.6,7.5,2.3,0.6,0.3,May 8 1996,Omaha
13,Rex Walters\waltere01,7,1994,2000,335,4602,572,1296,187,518,216,267,81,403,569,129,30,291,439,1547,0.441,0.361,0.809,13.7,4.6,1.2,1.7,Mar 12 1970,Omaha
