,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Greg Anthony\anthogr01,11,1992,2002,757,15850,1914,4750,610,1748,1059,1445,271,1417,2997,887,79,1043,1324,5497,0.403,0.349,0.733,20.9,7.3,1.9,4,Nov 15 1967,Las Vegas
2,Marcus Banks\banksma01,8,2004,2011,348,5571,741,1715,125,382,454,591,100,519,728,266,57,436,674,2061,0.432,0.327,0.768,16,5.9,1.5,2.1,Nov 19 1981,Las Vegas
3,Troy Brown\browntr01,2,2019,2020,113,2249,326,740,72,214,118,161,99,470,222,97,11,95,166,842,0.441,0.336,0.733,19.9,7.5,4.2,2,Jul 28 1999,Las Vegas
4,Zach Collins\colliza01,3,2018,2020,146,2487,313,708,78,241,127,174,158,557,129,42,99,141,318,831,0.442,0.324,0.73,17,5.7,3.8,0.9,Nov 19 1997,Las Vegas
5,Ricky Davis\davisri01,12,1999,2010,736,21927,3747,8410,583,1614,1835,2349,566,2550,2426,732,187,1606,1430,9912,0.446,0.361,0.781,29.8,13.5,3.5,3.3,Sep 23 1979,Las Vegas
6,Carrick Felix\felixca01,1,2014,2014,7,38,7,14,2,5,3,4,1,6,4,0,0,4,4,19,0.5,0.4,0.75,5.4,2.7,0.9,0.6,Aug 17 1990,Las Vegas
7,Pat Garrity\garripa01,10,1999,2008,552,11062,1479,3543,631,1587,428,531,343,1457,443,246,104,417,1274,4017,0.417,0.398,0.806,20,7.3,2.6,0.8,Aug 23 1976,Las Vegas
8,Darington Hobson\hobsoda01,1,2012,2012,5,39,2,13,0,6,0,0,0,3,6,0,0,2,1,4,0.154,0,,7.8,0.8,0.6,1.2,Sep 29 1987,Las Vegas
9,Pierre Jackson\jackspi01,1,2017,2017,8,84,13,39,3,11,6,7,1,9,19,2,0,3,5,35,0.333,0.273,0.857,10.5,4.4,1.1,2.4,Aug 29 1991,Las Vegas
10,Willie Smith\smithwi02,4,1977,1980,78,1200,144,360,17,71,52,69,63,134,277,85,2,109,131,357,0.4,0.239,0.754,15.4,4.6,1.7,3.6,Oct 26 1953,Las Vegas
11,C.J. Watson\watsocj01,10,2008,2017,600,12093,1516,3617,471,1263,841,1036,218,1156,1485,559,67,650,894,4344,0.419,0.373,0.812,20.2,7.2,1.9,2.5,Apr 17 1984,Las Vegas
