,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Rafael Addison\addisra01,6,1987,1997,379,5697,920,2047,69,245,277,359,262,780,339,148,83,284,671,2186,0.449,0.282,0.772,15,5.8,2.1,0.9,Jul 22 1964,Jersey City
2,Bam Adebayo\adebaba01,3,2018,2020,216,5516,862,1545,4,35,531,747,448,1661,618,181,191,372,505,2259,0.558,0.114,0.711,25.5,10.5,7.7,2.9,Jul 18 1997,Newark
3,Malik Allen\allenma01,10,2002,2011,478,7262,1039,2365,3,16,253,325,466,1353,228,130,220,320,897,2334,0.439,0.188,0.778,15.2,4.9,2.8,0.5,Jun 27 1978,Willingboro
4,Kyle Anderson\anderky01,6,2015,2020,359,7022,781,1587,74,241,300,430,249,1428,704,341,190,315,499,1936,0.492,0.307,0.698,19.6,5.4,4,2,Sep 20 1993,Fairview
5,Al Attles*\attleal01,11,1961,1971,711,17826,2499,5545,,,1330,2106,,2463,2483,,,,2417,6328,0.451,,0.632,25.1,8.9,3.5,3.5,Nov 7 1936,Newark
6,Wade Baldwin\baldwwa01,3,2017,2019,56,579,60,169,9,36,45,58,14,69,78,21,10,57,63,174,0.355,0.25,0.776,10.3,3.1,1.2,1.4,Mar 29 1996,Belle Mead
7,Rick Barry*\barryri01,14,1966,1980,1020,38153,9695,21283,176,593,5713,6397,982,6863,4952,1104,269,1364,3028,25279,0.456,0.297,0.893,37.4,24.8,6.7,4.9,Mar 28 1944,Elizabeth
8,Ed Beach\beached01,1,1951,1951,12,,8,38,,,6,9,,25,3,,,,14,22,0.211,,0.667,,1.8,2.1,0.3,Jan 25 1929,Elizabeth
9,Spider Bennett\bennesp01,1,1969,1969,59,993,147,385,6,25,140,216,62,147,84,,,145,165,440,0.382,0.24,0.648,16.8,7.5,2.5,1.4,Aug 4 1943,Lakewood
10,Mike Bibby\bibbymi01,14,1999,2012,1001,33962,5410,12412,1517,3999,2361,2943,529,3103,5517,1172,149,2134,1931,14698,0.436,0.379,0.802,33.9,14.7,3.1,5.5,May 13 1978,Cherry Hill
11,Alex Blackwell\blackal01,1,1993,1993,27,109,14,42,0,3,6,8,10,23,7,4,2,5,14,34,0.333,0,0.75,4,1.3,0.9,0.3,Jun 27 1970,Toms River
12,George Blaney\blanege01,1,1962,1962,36,363,54,142,,,9,17,,36,45,,,,34,117,0.38,,0.529,10.1,3.3,1,1.3,Nov 12 1939,Jersey City
13,Jake Bornheimer\bornhja01,2,1949,1950,75,,122,414,,,98,146,,,53,,,,158,342,0.295,,0.671,,4.6,,0.7,Jun 29 1927,New Brunswick
14,Ira Bowman\bowmair01,3,2000,2002,17,68,7,11,0,1,1,2,1,5,9,3,0,2,3,15,0.636,0,0.5,4,0.9,0.3,0.5,Jun 11 1973,Newark
15,Marques Bragg\braggma01,1,1996,1996,53,369,54,120,0,0,23,41,38,79,8,17,8,26,71,131,0.45,,0.561,7,2.5,1.5,0.2,Mar 24 1970,East Orange
16,Isaiah Briscoe\briscis01,1,2019,2019,39,559,55,138,11,34,15,26,5,74,87,11,2,31,66,136,0.399,0.324,0.577,14.3,3.5,1.9,2.2,Apr 13 1996,Newark
17,Gary Brokaw\brokaga01,4,1975,1978,241,4724,731,1640,,,466,654,87,407,715,107,76,12,489,1928,0.446,,0.713,19.6,8,1.7,3,Jan 11 1954,New Brunswick
18,MarShon Brooks\brookma01,5,2012,2019,200,3456,613,1371,109,316,257,342,132,424,282,120,42,248,269,1592,0.447,0.345,0.751,17.3,8,2.1,1.4,Jan 26 1989,Long Branch
19,Mike Brown\brownmi01,11,1987,1997,626,10961,1126,2476,1,8,877,1271,934,2762,424,253,169,643,1372,3130,0.455,0.125,0.69,17.5,5,4.4,0.7,Jul 19 1963,Newark
20,Jalen Brunson\brunsja01,2,2019,2020,130,2613,445,953,106,301,148,195,47,303,418,59,8,154,201,1144,0.467,0.352,0.759,20.1,8.8,2.3,3.2,Aug 31 1996,New Brunswick
21,Mark Bryant\bryanma01,15,1989,2003,797,13479,1739,3481,1,12,834,1196,1120,2992,491,330,195,661,2018,4313,0.5,0.083,0.697,16.9,5.4,3.8,0.6,Apr 25 1965,Glen Ridge
22,Dave Budd\buddda01,5,1961,1965,353,6389,962,2092,,,581,852,,1623,337,,,,814,2505,0.46,,0.682,18.1,7.1,4.6,1,Oct 28 1938,Woodbury
23,Walt Budko\budkowa01,4,1949,1952,253,1126,684,2000,,,669,884,,684,471,,,,859,2037,0.342,,0.757,17.9,8.1,5.4,1.9,Jul 30 1925,Kearney
24,Andrew Bynum\bynuman01,8,2006,2014,418,10690,1917,3446,1,9,987,1431,1007,3221,490,133,657,644,1028,4822,0.556,0.111,0.69,25.6,11.5,7.7,1.2,Oct 27 1987,Plainsboro
25,Tommy Byrnes\byrneto01,5,1947,1951,264,,653,2182,,,402,620,,71,311,,,,387,1708,0.299,,0.648,,6.5,1.5,1.2,Feb 19 1923,Teaneck
26,Gerry Calabrese\calabge01,2,1951,1952,104,937,179,514,,,134,191,,149,148,,,,187,492,0.348,,0.702,16.2,4.7,1.4,1.4,Feb 4 1925,Hoboken
27,Tony Campbell\campbto01,11,1985,1995,690,15180,3180,6981,67,264,1567,1984,912,2117,1019,582,157,1083,1536,7994,0.456,0.254,0.79,22,11.6,3.1,1.5,May 7 1962,Teaneck
28,Derrick Caracter\caracde01,1,2011,2011,41,215,32,66,0,0,17,23,19,43,7,4,10,19,47,81,0.485,,0.739,5.2,2,1,0.2,May 4 1988,Fanwood
29,Rakeem Christmas\chrisra01,2,2016,2017,30,225,21,45,0,0,21,29,27,57,4,3,6,8,38,63,0.467,,0.724,7.5,2.1,1.9,0.1,Dec 1 1991,Irvington
30,Earl Clark\clarkea01,6,2010,2015,261,3630,453,1125,82,250,150,226,195,778,134,83,136,175,323,1138,0.403,0.328,0.664,13.9,4.4,3,0.5,Jan 17 1988,Plainfield
