,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Zaid Abdul-Aziz\abdulza01,10,1969,1978,505,11023,1769,4138,,,1019,1400,503,4065,601,131,205,14,1120,4557,0.428,,0.728,21.8,9,8,1.2,Apr 7 1946,Brooklyn
2,Kareem Abdul-Jabbar*\abdulka01,20,1970,1989,1560,57446,15837,28307,1,18,6712,9304,2975,17440,5660,1160,3189,2527,4657,38387,0.559,0.056,0.721,36.8,24.6,11.2,3.6,Apr 16 1947,New York
3,Don Ackerman\ackerdo01,1,1954,1954,28,220,14,63,,,15,28,,15,23,,,,43,43,0.222,,0.536,7.9,1.5,0.5,0.8,Sep 4 1930,New York
4,Rawle Alkins\alkinra01,1,2019,2019,10,120,13,39,3,12,8,12,11,26,13,1,0,8,7,37,0.333,0.25,0.667,12,3.7,2.6,1.3,Oct 29 1997,Brooklyn
5,Derrick Alston\alstode01,3,1995,1997,139,2657,318,650,1,7,114,234,228,525,94,95,87,112,298,751,0.489,0.143,0.487,19.1,5.4,3.8,0.7,Aug 20 1972,Bronx
6,Rafer Alston\alstora01,11,2000,2010,671,19392,2450,6391,996,2815,903,1238,247,1891,3202,813,105,1195,1408,6799,0.383,0.354,0.729,28.9,10.1,2.8,4.8,Jul 24 1976,New York
7,Andrew Anderson\anderan01,3,1968,1970,194,4786,803,1958,10,63,465,616,191,527,327,,,316,462,2081,0.41,0.159,0.755,24.7,10.7,2.7,1.7,Jul 6 1945,Buffalo
8,Kenny Anderson\anderke01,14,1992,2005,858,25868,4002,9512,547,1580,2238,2833,670,2641,5196,1258,111,1769,1974,10789,0.421,0.346,0.79,30.1,12.6,3.1,6.1,Oct 9 1970,Queens
9,Carmelo Anthony\anthoca01,17,2004,2020,1114,39752,9426,21040,1434,4119,6028,7424,1879,7251,3244,1121,550,2919,3204,26314,0.448,0.348,0.812,35.7,23.6,6.5,2.9,May 29 1984,Brooklyn
