,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,George Adams\adamsge01,3,1973,1975,215,3903,716,1440,4,17,216,272,313,873,317,88,59,292,372,1652,0.497,0.235,0.794,18.2,7.7,4.1,1.5,May 15 1949,Kings Mountain
2,Kadeem Allen\allenka01,3,2018,2020,47,640,90,207,22,63,56,74,14,71,109,24,8,43,68,258,0.435,0.349,0.757,13.6,5.5,1.5,2.3,Jan 15 1993,Wilmington
3,Darrell Armstrong\armstda01,14,1995,2008,840,19915,2663,6507,923,2763,1463,1679,654,2269,3394,1133,98,1556,1398,7712,0.409,0.334,0.871,23.7,9.2,2.7,4,Jun 22 1968,Gastonia
4,Anthony Avent\aventan01,6,1993,2000,352,6729,814,2019,0,2,330,481,560,1584,278,166,211,416,824,1958,0.403,0,0.686,19.1,5.6,4.5,0.8,Oct 18 1969,Rocky Mount
5,Gus Bailey\bailegu01,5,1975,1980,147,1346,156,384,1,1,76,149,95,244,168,56,43,45,150,389,0.406,1,0.51,9.2,2.6,1.7,1.1,Feb 18 1951,Gibson
6,Norton Barnhill\barnhno01,1,1977,1977,4,10,2,6,,,0,0,2,3,1,0,0,,5,4,0.333,,,2.5,1,0.8,0.3,Jul 15 1953,Winston-Salem
7,Kent Bazemore\bazemke01,8,2013,2020,547,11584,1693,4098,584,1667,791,1090,195,1757,1004,560,266,796,1096,4761,0.413,0.35,0.726,21.2,8.7,3.2,1.8,Jul 1 1989,Kelford
8,Walt Bellamy*\bellawa01,14,1962,1975,1043,38940,7914,15340,,,5113,8088,264,14241,2544,52,48,,3536,20941,0.516,,0.632,37.3,20.1,13.7,2.4,Jul 24 1939,New Bern
9,DeAndre' Bembry\bembrde01,4,2017,2020,189,3672,479,1070,77,286,138,233,110,641,360,189,77,265,333,1173,0.448,0.269,0.592,19.4,6.2,3.4,1.9,Jul 4 1994,Charlotte
10,Henry Bibby\bibbyhe01,9,1973,1981,675,15475,2149,5073,43,147,1434,1834,463,1581,2259,561,34,573,1364,5775,0.424,0.293,0.782,22.9,8.6,2.3,3.3,Nov 24 1949,Franklinton
11,Ky Bowman\bowmaky01,1,2020,2020,45,1015,134,321,33,107,34,41,24,121,131,44,10,70,102,335,0.417,0.308,0.829,22.6,7.4,2.7,2.9,Jun 16 1997,Havelock
12,Jesse Branson\bransje01,2,1966,1968,83,1906,377,883,2,9,335,477,,550,68,,,115,252,1091,0.427,0.222,0.702,23,13.1,6.6,0.8,Jan 7 1942,Burlington
13,Wayman Britt\brittwa01,1,1978,1978,7,16,3,10,,,3,4,1,4,2,1,0,1,3,9,0.3,,0.75,2.3,1.3,0.6,0.3,Aug 31 1952,Wilson's Mills
14,Bill Bunting\buntibi02,3,1970,1972,145,1939,214,508,0,1,195,247,180,417,95,,,127,274,623,0.421,0,0.789,13.4,4.3,2.9,0.7,Aug 26 1947,New Bern
15,Tom Burleson\burleto01,7,1975,1981,446,9425,1568,3526,0,3,1054,1452,918,2794,601,312,591,236,1317,4190,0.445,0,0.726,21.1,9.4,6.3,1.3,Feb 24 1952,Crossnore
16,Junior Burrough\burroju01,1,1996,1996,61,495,64,170,0,0,61,93,45,109,15,15,10,40,74,189,0.376,,0.656,8.1,3.1,1.8,0.2,Jan 18 1973,Charlotte
17,Jim Caldwell\caldwji01,2,1968,1969,137,3085,390,917,2,15,186,295,133,1052,278,,,218,446,968,0.425,0.133,0.631,22.5,7.1,7.7,2,Jan 28 1943,Durham
18,M.L. Carr\carrml01,10,1976,1985,678,16390,2710,5740,42,153,1297,1761,1089,3054,1336,939,270,1029,1709,6759,0.472,0.275,0.737,24.2,10,4.5,2,Jan 9 1951,Wallace
19,Gary Clark\clarkga01,2,2019,2020,86,1066,88,252,69,224,15,16,51,201,33,25,40,12,78,260,0.349,0.308,0.938,12.4,3,2.3,0.4,Nov 16 1994,Smithfield
20,Jim Cleamons\cleamji01,9,1972,1980,652,16994,2242,4870,7,31,921,1204,570,1981,2531,533,120,364,1237,5412,0.46,0.226,0.765,26.1,8.3,3,3.9,Sep 13 1949,Lincolnton
21,Chris Clemons\clemoch01,1,2020,2020,29,251,51,126,33,94,6,7,3,23,22,6,5,17,20,141,0.405,0.351,0.857,8.7,4.9,0.8,0.8,Jul 23 1997,Raleigh
22,Richard Coffey\cofferi01,1,1991,1991,52,320,28,75,0,1,12,22,42,79,3,6,4,5,45,68,0.373,0,0.545,6.2,1.3,1.5,0.1,Sep 2 1965,Aurora
23,Geoff Crompton\crompge01,5,1979,1984,82,495,40,108,0,0,19,43,47,139,28,10,23,43,91,99,0.37,,0.442,6,1.2,1.7,0.3,Jul 4 1955,Burlington
24,JamesOn Curry\curryja01,1,2010,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,Jan 7 1986,Pleasant Grove
25,Seth Curry\curryse01,6,2014,2020,251,5589,919,1930,437,986,248,294,87,501,442,175,30,249,367,2523,0.476,0.443,0.844,22.3,10.1,2,1.8,Aug 23 1990,Charlotte
26,Brad Daugherty\daughbr01,8,1987,1994,548,20029,3823,7189,2,14,2741,3670,1207,5227,2028,422,397,1511,1466,10389,0.532,0.143,0.747,36.5,19,9.5,3.7,Oct 19 1965,Black Mountain
27,Hubert Davis\davishu01,12,1993,2004,685,15143,2108,4600,728,1651,639,763,209,1045,1172,297,44,646,1011,5583,0.458,0.441,0.837,22.1,8.2,1.5,1.7,May 17 1970,Winston-Salem
