,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Dwight Anderson\anderdw01,1,1983,1983,5,33,7,14,0,0,7,10,0,2,3,1,0,5,7,21,0.5,,0.7,6.6,4.2,0.4,0.6,Dec 28 1960,Dayton
2,Luke Babbitt\babbilu01,8,2011,2018,381,5332,650,1593,394,979,124,166,111,846,224,89,58,165,520,1818,0.408,0.402,0.747,14,4.8,2.2,0.6,Jun 20 1989,Cincinnati
3,LaMark Baker\bakerla01,1,1999,1999,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,,2,0,0,0,Nov 11 1969,Dayton
4,Mike Barr\barrmi01,5,1973,1977,307,6341,753,1571,9,27,289,384,180,632,861,210,43,428,589,1804,0.479,0.333,0.753,20.7,5.9,2.1,2.8,Oct 19 1950,Canton
5,Frankie Baumholtz\baumhfr01,1,1947,1947,45,,255,856,,,121,156,,,54,,,,93,631,0.298,,0.776,,14,,1.2,Oct 7 1918,Midvale
6,Howard Bayne\bayneho01,1,1968,1968,69,1181,130,361,1,7,77,143,,456,71,,,117,199,338,0.36,0.143,0.538,17.1,4.9,6.6,1,Jul 28 1942,Dayton
7,Arthur Becker\beckear01,6,1968,1973,414,10554,2116,4408,9,28,919,1101,860,2604,410,,,585,1411,5160,0.48,0.321,0.835,25.5,12.5,6.3,1,Jan 12 1942,Akron
8,Dennis Bell\bellde01,3,1974,1976,63,545,76,203,,,23,43,52,119,28,28,10,,65,175,0.374,,0.535,8.7,2.8,1.9,0.4,Jun 2 1951,Cincinnati
9,Keith Benson\bensoke02,1,2012,2012,3,9,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,,,3,0,1,0,Aug 13 1988,Cleveland
10,Tom Boerwinkle\boerwto01,10,1969,1978,635,14387,1863,4109,,,870,1288,536,5745,2007,110,138,26,1811,4596,0.453,,0.675,22.7,7.2,9,3.2,Aug 23 1945,Cleveland
11,Calvin Booth\boothca01,10,2000,2009,366,4477,472,1047,2,9,244,326,316,1010,151,101,358,180,678,1190,0.451,0.222,0.748,12.2,3.3,2.8,0.4,May 7 1976,Reynoldsburg
12,Lawrence Boston\bostola01,1,1980,1980,13,125,24,52,0,0,8,13,19,39,2,4,2,8,25,56,0.462,,0.615,9.6,4.3,3,0.2,May 18 1956,Cleveland
13,Earl Boykins\boykiea01,13,1999,2012,652,12964,2076,4980,384,1104,1255,1433,275,877,2092,390,34,756,659,5791,0.417,0.348,0.876,19.9,8.9,1.3,3.2,Jun 2 1976,Cleveland
14,Gary Bradds\braddga01,6,1965,1971,254,5211,1108,2333,1,18,889,1114,330,1398,227,,,403,634,3106,0.475,0.056,0.798,20.5,12.2,5.5,0.9,Jul 26 1942,Jamestown
15,J.R. Bremer\bremejr01,2,2003,2004,100,1946,214,622,120,360,98,131,27,181,215,56,7,83,112,646,0.344,0.333,0.748,19.5,6.5,1.8,2.2,Sep 19 1980,Cleveland
16,Bob Brown\brownbo01,2,1949,1950,82,,313,875,,,206,299,,,115,,,,336,832,0.358,,0.689,,10.1,,1.4,Nov 12 1923,Versailles
17,Trey Burke\burketr01,7,2014,2020,386,8858,1577,3850,464,1354,453,568,149,776,1354,217,44,487,526,4071,0.41,0.343,0.798,22.9,10.5,2,3.5,Nov 12 1992,Columbus
18,Rick Calloway\callori01,1,1991,1991,64,678,75,192,0,2,55,79,25,78,61,22,7,51,98,205,0.391,0,0.696,10.6,3.2,1.2,1,Dec 12 1966,Cincinnati
19,Don Carlos\carlodo01,1,1969,1969,56,1527,207,505,0,3,214,283,122,279,159,,,140,231,628,0.41,0,0.756,27.3,11.2,5,2.8,Mar 3 1944,Columbus
20,Butch Carter\cartebu01,6,1981,1986,361,6814,1290,2717,54,176,503,638,234,546,683,321,43,479,792,3137,0.475,0.307,0.788,18.9,8.7,1.5,1.9,Jun 11 1958,Springfield
21,Cal Christensen\chrisca01,5,1951,1955,291,4009,486,1471,,,535,883,,1587,460,,,,831,1507,0.33,,0.606,17.9,5.2,5.5,1.6,Jun 6 1927,Toledo
22,Semaj Christon\chrisse01,1,2017,2017,64,973,77,223,12,63,17,31,19,87,130,28,7,43,79,183,0.345,0.19,0.548,15.2,2.9,1.4,2,Nov 1 1992,Cincinnati
23,Richard Clark\clarkri01,2,1968,1969,58,1137,110,372,1,18,137,203,30,140,101,,,106,148,358,0.296,0.056,0.675,19.6,6.2,2.4,1.7,Jan 5 1944,Findlay
24,Barry Clemens\clemeba01,11,1966,1976,790,12585,2262,4987,,,788,1043,102,2532,905,131,11,,1665,5312,0.454,,0.756,15.9,6.7,3.2,1.1,May 1 1943,Dayton
25,Norris Cole\coleno01,6,2012,2017,360,8018,1005,2469,207,639,289,389,79,702,981,280,34,517,679,2506,0.407,0.324,0.743,22.3,7,2,2.7,Oct 13 1988,Dayton
26,Jason Collier\collija02,5,2001,2005,151,2178,338,743,7,20,158,214,175,443,51,36,32,120,295,841,0.455,0.35,0.738,14.4,5.6,2.9,0.3,Sep 8 1977,Springfield
27,Don Collins\collido02,6,1981,1987,303,6134,1235,2548,2,29,511,682,429,837,546,332,98,548,755,2983,0.485,0.069,0.749,20.2,9.8,2.8,1.8,Nov 28 1958,Toledo
28,Daequan Cook\cookda02,6,2008,2013,328,5993,758,2056,442,1232,156,192,75,703,243,120,48,177,478,2114,0.369,0.359,0.813,18.3,6.4,2.1,0.7,Apr 28 1987,Dayton
29,Terry Crosby\crosbte01,1,1980,1980,4,28,2,4,0,0,2,2,0,1,7,0,0,5,4,6,0.5,,1,7,1.5,0.3,1.8,Jan 4 1957,Toledo
30,Dick Cunningham\cunnidi01,7,1969,1975,358,3792,408,1004,,,196,308,1,1324,221,2,2,,502,1012,0.406,,0.636,10.6,2.8,3.7,0.6,Jul 11 1946,Canton
31,Stephen Curry\curryst01,11,2010,2020,699,23998,5682,11931,2495,5739,2560,2827,490,3158,4621,1205,156,2179,1732,16419,0.476,0.435,0.906,34.3,23.5,4.5,6.6,Mar 14 1988,Akron
32,Antonio Daniels\daniean01,13,1998,2011,872,19671,2270,5109,359,1154,1724,2173,219,1613,2934,564,85,928,917,6623,0.444,0.311,0.793,22.6,7.6,1.8,3.4,Mar 19 1975,Columbus
33,Erik Daniels\danieer01,1,2005,2005,21,72,6,18,1,2,0,0,7,18,4,2,0,6,7,13,0.333,0.5,,3.4,0.6,0.9,0.2,Apr 1 1982,Cincinnati
34,Jimmy Darrow\darroji01,1,1962,1962,5,34,3,15,,,6,7,,7,6,,,,9,12,0.2,,0.857,6.8,2.4,1.4,1.2,Sep 25 1937,Akron
35,Harry Davis\davisha01,2,1979,1980,44,424,72,165,0,0,31,45,29,72,16,14,8,26,74,175,0.436,,0.689,9.6,4,1.6,0.4,Jan 27 1956,Cleveland
36,Monti Davis\davismo01,1,1981,1981,2,10,1,5,0,0,1,5,2,4,0,0,1,0,0,3,0.2,,0.2,5,1.5,2,0,Jul 26 1958,Warren
37,Derrek Dickey\dickede01,5,1974,1978,321,5345,854,1818,,,254,341,563,1575,346,129,60,40,609,1962,0.47,,0.745,16.7,6.1,4.9,1.1,Mar 20 1951,Cincinnati
38,Bob Duffy\duffybo01,1,1947,1947,17,,7,32,,,5,7,,,0,,,,17,19,0.219,,0.714,,1.1,,0,Jul 5 1922,Columbus
39,Bill Edwards\edwarbi01,1,1994,1994,3,44,2,18,0,5,2,5,5,14,4,3,1,4,6,6,0.111,0,0.4,14.7,2,4.7,1.3,Sep 22 1971,Middletown
40,John Edwards\edwarjo01,2,2005,2006,65,435,42,94,0,0,15,25,26,67,8,6,19,20,88,99,0.447,,0.6,6.7,1.5,1,0.1,Jul 31 1981,Warren
41,Kevin Edwards\edwarke01,11,1989,2001,604,15332,2650,6259,176,525,1120,1395,516,1653,1609,825,197,1138,1028,6596,0.423,0.335,0.803,25.4,10.9,2.7,2.7,Oct 30 1965,Cleveland Heights
42,Vince Edwards\edwarvi01,1,2019,2019,2,16,1,4,1,4,0,0,1,2,0,0,0,0,0,3,0.25,0.25,,8,1.5,1,0,Apr 5 1996,Middletown
43,Wayne Embry*\embrywa01,11,1959,1969,831,21763,3993,9067,,,2394,3741,,7544,1194,,,,2838,10380,0.44,,0.64,26.2,12.5,9.1,1.4,Mar 26 1937,Springfield
44,Ned Endress\endrene01,1,1947,1947,16,,3,25,,,8,15,,,4,,,,13,14,0.12,,0.533,,0.9,,0.3,Mar 2 1918,Akron
45,Evan Eschmeyer\eschmev01,4,2000,2003,153,2138,158,341,0,0,105,169,220,601,76,69,95,96,399,421,0.463,,0.621,14,2.8,3.9,0.5,May 30 1975,New Knoxville
46,Joe Fabel\fabeljo01,1,1947,1947,30,,25,96,,,13,26,,,2,,,,64,63,0.26,,0.5,,2.1,,0.1,May 15 1917,Cleveland
47,Bob Faught\faughbo01,1,1947,1947,51,,141,478,,,61,106,,,33,,,,97,343,0.295,,0.575,,6.7,,0.6,Sep 2 1921,Columbus
48,Jamie Feick\feickja01,5,1997,2001,201,4316,351,827,12,30,197,313,515,1437,139,117,90,152,439,911,0.424,0.4,0.629,21.5,4.5,7.1,0.7,Jul 3 1974,Lexington
49,Fred Foster\fostefr01,8,1969,1977,524,9116,1701,4107,,,691,950,132,1275,601,57,8,,1008,4093,0.414,,0.727,17.4,7.8,2.4,1.1,Mar 18 1946,Springfield
50,Larry Foust\foustla01,12,1951,1962,817,21890,3814,9414,,,3570,4816,,8041,1368,,,,2909,11198,0.405,,0.741,29.2,13.7,9.8,1.7,Jun 24 1928,Painesville
51,Lawrence Funderburke\fundela01,7,1998,2005,318,4726,812,1606,2,17,405,600,447,1142,183,94,100,225,360,2031,0.506,0.118,0.675,14.9,6.4,3.6,0.6,Dec 15 1970,Columbus
52,Brian Grant\grantbr01,12,1995,2006,756,21417,3103,6332,6,28,1721,2306,1834,5622,923,455,561,1235,2409,7933,0.49,0.214,0.746,28.3,10.5,7.4,1.2,Mar 5 1972,Columbus
53,Gary Grant\grantga01,13,1989,2001,552,12602,1864,4140,95,342,545,702,347,1283,3013,821,69,1268,1200,4368,0.45,0.278,0.776,22.8,7.9,2.3,5.5,Apr 21 1965,Canton
54,Don Grate\gratedo01,1,1950,1950,2,,1,6,,,2,2,,,3,,,,3,4,0.167,,1,,2,,1.5,Aug 27 1923,Greenfield
55,Devin Green\greende01,1,2006,2006,27,135,6,28,0,2,13,21,10,24,7,3,0,5,13,25,0.214,0,0.619,5,0.9,0.9,0.3,Oct 25 1982,Columbus
56,Johnny Green\greenjo01,14,1960,1973,1057,24624,4973,10091,,,2335,4226,,9083,1449,,,,2856,12281,0.493,,0.553,23.3,11.6,8.6,1.4,Dec 8 1933,Dayton
57,Kevin Grevey\greveke01,10,1976,1985,672,15246,2915,6670,145,434,1389,1701,590,1594,1247,392,112,748,1286,7364,0.437,0.334,0.817,22.7,11,2.4,1.9,May 12 1953,Hamilton
58,Greg Griffin\griffgr01,1,1978,1978,36,422,61,169,,,23,36,44,103,24,16,0,39,56,145,0.361,,0.639,11.7,4,2.9,0.7,Sep 6 1952,Cleveland
59,Chuck Grigsby\grigsch01,1,1955,1955,7,45,7,19,,,2,8,,11,7,,,,9,16,0.368,,0.25,6.4,2.3,1.6,1,Aug 15 1928,Dayton
60,Alex Groza\grozaal01,2,1950,1951,130,,1013,2136,,,899,1189,,709,318,,,,458,2925,0.474,,0.756,,22.5,10.7,2.4,Oct 7 1926,Martins Ferry
61,Bill Hanzlik\hanzlbi01,10,1981,1990,748,15534,1836,4232,46,216,1696,2171,691,2058,2058,727,205,1090,2222,5414,0.434,0.213,0.781,20.8,7.2,2.8,2.8,Dec 6 1957,Middletown
62,Ron Harper\harpero01,15,1987,2001,1009,31199,5326,11946,523,1811,2735,3799,1322,4309,3916,1716,729,2251,2324,13910,0.446,0.289,0.72,30.9,13.8,4.3,3.9,Jan 20 1964,Dayton
63,Matt Harpring\harprma01,11,1999,2009,665,17584,2900,6033,158,474,1687,2239,1281,3366,907,497,112,1000,1748,7645,0.481,0.333,0.753,26.4,11.5,5.1,1.4,May 31 1976,Cincinnati
64,Bob Harrison\harribo02,9,1950,1958,615,12926,1782,5067,,,854,1232,,1358,1672,,,,2035,4418,0.352,,0.693,26.9,7.2,2.5,2.7,Aug 12 1927,Toledo
65,John Havlicek*\havlijo01,16,1963,1978,1270,46471,10513,23930,,,5369,6589,610,8007,6114,476,117,204,3281,26395,0.439,,0.815,36.6,20.8,6.3,4.8,Apr 8 1940,Martins Ferry
