,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Charles Beasley\beaslch01,4,1968,1971,281,7347,943,2067,30,126,717,830,67,704,860,,,542,651,2633,0.456,0.238,0.864,26.1,9.4,2.5,3.1,Sep 23 1945,Shawnee
2,Ron Boone\boonero01,13,1969,1981,1041,32391,6829,14804,153,504,3626,4334,1614,4348,3842,823,123,3085,3265,17437,0.461,0.304,0.837,31.1,16.8,4.2,3.7,Sep 6 1946,Oklahoma City
3,Anthony Bowie\bowiean01,8,1989,1998,461,8349,1247,2628,67,211,384,466,299,1021,840,288,106,478,711,2945,0.475,0.318,0.824,18.1,6.4,2.2,1.8,Nov 9 1963,Tulsa
4,Joe Bradley\bradljo01,1,1950,1950,46,,36,134,,,15,38,,,36,,,,51,87,0.269,,0.395,,1.9,,0.8,Sep 24 1928,Washington
5,Antoine Carr\carran01,16,1985,2000,987,19780,3663,7286,6,46,1844,2364,1151,3384,1086,361,925,1187,3063,9176,0.503,0.13,0.78,20,9.3,3.4,1.1,Jul 23 1961,Oklahoma City
6,Leroy Combs\combsle01,1,1984,1984,48,446,81,163,0,3,56,91,19,56,38,23,18,46,49,218,0.497,0,0.615,9.3,4.5,1.2,0.8,Jan 1 1961,Oklahoma City
7,Gene Conley\conlege01,6,1953,1964,351,5791,833,2244,,,403,613,,2212,201,,,,1123,2069,0.371,,0.657,16.5,5.9,6.3,0.6,Nov 10 1930,Muskogee
8,Ken Corley\corleke01,1,1947,1947,3,,0,0,,,0,0,,,0,,,,0,0,,,,,0,,0,May 10 1920,McCloud
9,Pete Darcey\darcepe01,1,1953,1953,12,90,3,18,,,5,9,,10,2,,,,29,11,0.167,,0.556,7.5,0.9,0.8,0.2,Mar 3 1930,Oklahoma City
10,Aubrey Davis\davisau01,1,1947,1947,59,,107,381,,,73,115,,,14,,,,136,287,0.281,,0.635,,4.9,,0.2,Mar 28 1921,Apache
11,Richard Dumas\dumasri02,3,1993,1996,102,2226,434,852,3,13,209,301,160,351,111,137,47,150,228,1080,0.509,0.231,0.694,21.8,10.6,3.4,1.1,May 19 1969,Tulsa
12,Jack Dwan\dwanja01,1,1949,1949,60,,121,380,,,34,69,,,129,,,,157,276,0.318,,0.493,,4.6,,2.2,May 3 1921,
13,Mike Farmer\farmemi01,7,1959,1966,423,8818,1165,2965,,,486,597,,1950,550,,,,840,2816,0.393,,0.814,20.8,6.7,4.6,1.3,Sep 26 1936,Oklahoma City
14,Terrance Ferguson\fergute01,3,2018,2020,185,3864,329,799,192,565,61,80,75,261,136,90,42,88,458,911,0.412,0.34,0.763,20.9,4.9,1.4,0.7,May 17 1998,Tulsa
15,J.R. Giddens\giddejr01,2,2009,2010,38,247,30,63,0,10,13,23,18,54,13,10,2,18,30,73,0.476,0,0.565,6.5,1.9,1.4,0.3,Feb 13 1985,Oklahoma City
16,Blake Griffin\griffbl01,10,2011,2020,622,21671,5049,10134,407,1223,2974,4283,1345,5501,2749,554,321,1617,1777,13479,0.498,0.333,0.694,34.8,21.7,8.8,4.4,Mar 16 1989,Oklahoma City
17,Taylor Griffin\griffta01,1,2010,2010,8,32,4,10,0,2,2,4,0,2,1,0,2,1,4,10,0.4,0,0.5,4,1.3,0.3,0.1,Apr 18 1986,Oklahoma City
18,Jaxson Hayes\hayesja02,1,2020,2020,56,951,155,235,1,4,109,173,82,223,51,23,53,41,142,420,0.66,0.25,0.63,17,7.5,4,0.9,May 23 2000,Norman
19,Carl Henry\henryca01,1,1986,1986,28,149,31,67,4,10,12,17,8,19,4,5,0,9,11,78,0.463,0.4,0.706,5.3,2.8,0.7,0.1,Aug 16 1960,Hollis
20,Byron Houston\houstby01,4,1993,1996,214,2674,307,673,10,39,211,312,237,648,114,103,86,173,543,835,0.456,0.256,0.676,12.5,3.9,3,0.5,Nov 22 1969,Watonga
21,Ryan Humphrey\humphry01,3,2003,2005,85,772,78,227,0,3,41,76,86,189,18,20,19,48,113,197,0.344,0,0.539,9.1,2.3,2.2,0.2,Jul 24 1979,Tulsa
22,Darnell Jackson\jacksda01,3,2009,2011,138,1039,123,274,4,17,58,90,90,203,26,24,11,50,159,308,0.449,0.235,0.644,7.5,2.2,1.5,0.2,Nov 7 1985,Oklahoma City
23,DaQuan Jeffries\jeffrda01,1,2020,2020,6,19,3,7,1,4,0,0,1,1,1,1,0,0,3,7,0.429,0.25,,3.2,1.2,0.2,0.2,Aug 30 1997,Edmond
24,Jim King\kingji01,10,1964,1973,607,11187,1700,4067,,,977,1249,,1500,1412,,,,1218,4377,0.418,,0.782,18.4,7.2,2.5,2.3,Feb 7 1941,Tulsa
25,Stacey King\kingst01,8,1990,1997,438,7406,1071,2240,4,17,673,952,597,1460,387,173,210,527,906,2819,0.478,0.235,0.707,16.9,6.4,3.3,0.9,Jan 29 1967,Lawton
26,Bud Koper\koperbu01,1,1965,1965,54,631,106,241,,,35,42,,61,43,,,,59,247,0.44,,0.833,11.7,4.6,1.1,0.8,Aug 9 1942,Rocky
27,Lee Mayberry\maybele01,7,1993,1999,496,10337,950,2287,379,1006,267,405,142,642,1767,352,43,591,865,2546,0.415,0.377,0.659,20.8,5.1,1.3,3.6,Jun 12 1970,Tulsa
