,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Danny Ainge\aingeda01,14,1982,1995,1042,27755,4643,9905,1002,2651,1676,1980,695,2768,4199,1133,132,1566,2549,11964,0.469,0.378,0.846,26.6,11.5,2.7,4,Mar 17 1959,Eugene
2,Terrell Brandon\brandte01,11,1992,2002,724,21545,3908,8720,394,1110,1784,2043,425,2174,4407,1142,226,1419,1325,9994,0.448,0.355,0.873,29.8,13.8,3,6.1,May 20 1970,Portland
3,Ronnie Brewer\brewero02,8,2007,2014,502,11539,1554,3169,90,355,742,1099,451,1427,828,622,120,390,545,3940,0.49,0.254,0.675,23,7.8,2.8,1.6,Mar 20 1985,Portland
4,Will Conroy\conrowi01,3,2007,2013,16,108,3,22,0,6,1,8,4,11,16,0,0,6,13,7,0.136,0,0.125,6.8,0.4,0.7,1,Dec 8 1982,Portland
5,Mel Counts\countme01,12,1965,1976,789,13723,2665,6122,,,1186,1552,185,4756,1100,85,74,,2259,6516,0.435,,0.764,17.4,8.3,6,1.4,Oct 16 1941,Coos Bay
6,Josh Davis\davisjo02,4,2004,2012,67,498,56,150,23,70,21,29,49,115,19,17,5,21,70,156,0.373,0.329,0.724,7.4,2.3,1.7,0.3,Aug 10 1980,Salem
7,Dan Dickau\dickada01,6,2003,2008,300,4617,608,1517,179,525,350,421,75,405,752,164,11,324,514,1745,0.401,0.341,0.831,15.4,5.8,1.4,2.5,Sep 16 1978,Portland
8,Dave Gambee\gambeda01,12,1959,1970,750,14665,2820,6708,,,2295,2791,,3891,757,,,,2180,7935,0.42,,0.822,19.6,10.6,5.2,1,Apr 16 1937,Portland
9,Thomas Gardner\gardnth01,2,2008,2009,20,143,18,59,7,35,2,6,3,11,3,4,1,7,8,45,0.305,0.2,0.333,7.2,2.3,0.6,0.2,Feb 8 1985,Portland
10,Jerami Grant\grantje01,6,2015,2020,447,10909,1443,3116,362,1041,863,1295,421,1727,475,263,503,415,1018,4111,0.463,0.348,0.666,24.4,9.2,3.9,1.1,Mar 12 1994,Portland
11,A.C. Green\greenac01,16,1986,2001,1278,36552,4544,9202,124,489,3119,4250,3354,9473,1400,1033,546,1434,2436,12331,0.494,0.254,0.734,28.6,9.6,7.4,1.1,Oct 4 1963,Portland
12,Bruce Hale\halebr01,3,1949,1951,142,,444,1334,,,409,536,,49,424,,,,285,1297,0.333,,0.763,,9.1,1.9,3,Aug 30 1918,Medford
13,Isaiah Hartenstein\harteis01,2,2019,2020,51,487,64,108,2,11,30,42,50,137,33,16,24,29,97,160,0.593,0.182,0.714,9.5,3.1,2.7,0.6,May 5 1998,Eugene
14,Luke Jackson\jackslu02,4,2005,2008,73,724,84,235,32,89,52,71,27,89,58,24,3,49,71,252,0.357,0.36,0.732,9.9,3.5,1.2,0.8,Nov 6 1981,Eugene
15,Mike James\jamesmi02,1,2018,2018,36,687,123,321,26,98,64,84,13,90,126,28,7,49,48,336,0.383,0.265,0.762,19.1,9.3,2.5,3.5,Aug 18 1990,Portland
16,Jim Jarvis\jarviji01,2,1968,1969,125,1729,279,745,31,95,139,173,60,235,152,,,119,240,728,0.374,0.326,0.803,13.8,5.8,1.9,1.2,Mar 3 1943,Roseburg
17,Terrence Jones\joneste01,6,2013,2019,234,5562,985,1968,93,313,368,593,395,1334,238,146,270,219,392,2431,0.501,0.297,0.621,23.8,10.4,5.7,1,Jan 9 1992,Portland
18,Aaron Miles\milesaa01,1,2006,2006,19,118,6,18,0,0,4,4,0,14,24,4,1,11,13,16,0.333,,1,6.2,0.8,0.7,1.3,Apr 13 1983,Portland
