,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,John Abramovic\abramjo01,2,1947,1948,56,,203,855,,,127,185,,,37,,,,171,533,0.237,,0.686,,9.5,,0.7,Feb 9 1919,Etna
2,Jerome Allen\allenje01,2,1996,1997,117,1305,114,326,40,126,68,108,30,123,201,52,9,103,126,336,0.35,0.317,0.63,11.2,2.9,1.1,1.7,Jan 28 1973,Philadelphia
3,Lavoy Allen\allenla01,6,2012,2017,388,6905,828,1758,2,15,189,277,715,1843,384,120,214,257,706,1847,0.471,0.133,0.682,17.8,4.8,4.8,1,Feb 4 1989,Morrisville
4,Michael Anderson\andermi01,1,1989,1989,36,730,73,175,1,7,57,82,44,89,153,44,3,84,64,204,0.417,0.143,0.695,20.3,5.7,2.5,4.3,Mar 23 1966,Philadelphia
5,Ryan Arcidiacono\arcidry01,3,2018,2020,163,3195,294,679,144,386,121,146,48,354,400,105,7,113,285,853,0.433,0.373,0.829,19.6,5.2,2.2,2.5,Mar 26 1994,Langhorne
6,Paul Arizin*\arizipa01,10,1951,1962,713,24897,5628,13354,,,5010,6189,,6129,1665,,,,2764,16266,0.421,,0.81,38.4,22.8,8.6,2.3,Apr 9 1928,Philadelphia
7,Don Asmonga\asmondo01,1,1954,1954,7,46,2,15,,,1,1,,1,5,,,,12,5,0.133,,1,6.6,0.7,0.1,0.7,Feb 15 1928,West Mifflin
8,Jim Baechtold\baechji01,5,1953,1957,321,8256,1117,2876,,,889,1135,,1009,685,,,,795,3123,0.388,,0.783,25.7,9.7,3.1,2.1,Dec 9 1927,McKeesport
9,Jimmie Baker\bakerji01,1,1976,1976,5,40,3,15,0,0,0,2,4,14,4,0,3,6,11,6,0.2,,0,8,1.2,2.8,0.8,Dec 25 1953,Philadelphia
10,Herschel Baltimore\baltihe01,1,1947,1947,58,,53,263,,,32,69,,,16,,,,98,138,0.202,,0.464,,2.4,,0.3,Jun 21 1921,Duryea
11,Gene Banks\banksge01,6,1982,1987,468,13074,2134,3961,2,46,1035,1418,1009,2718,1335,436,101,835,1289,5305,0.539,0.043,0.73,27.9,11.3,5.8,2.9,May 15 1959,Philadelphia
12,Mike Bantom\bantomi01,9,1974,1982,706,19725,3446,7362,3,15,1673,2418,1632,4517,1623,630,478,946,2489,8568,0.468,0.2,0.692,27.9,12.1,6.4,2.3,Dec 3 1951,Philadelphia
13,John Barr\barrjo01,1,1947,1947,58,,124,438,,,47,79,,,54,,,,164,295,0.283,,0.595,,5.1,,0.9,Aug 18 1918,Shamokin
14,Jerry Baskerville\baskeje01,1,1976,1976,21,105,8,26,,,10,16,13,28,3,6,5,,32,26,0.308,,0.625,5,1.2,1.3,0.1,Nov 10 1951,Philadelphia
15,Johnny Baum\baumjo01,5,1970,1974,244,3397,630,1312,0,2,238,314,210,666,141,36,16,147,331,1498,0.48,0,0.758,13.9,6.1,2.7,0.6,Jun 17 1946,Philadelphia
16,Ernie Beck\becker01,7,1954,1961,371,7054,929,2425,,,467,613,,1191,669,,,,667,2325,0.383,,0.762,19,6.3,3.2,1.8,Dec 11 1931,Philadelphia
17,Moe Becker\beckemo01,1,1947,1947,43,,70,358,,,22,44,,,30,,,,98,162,0.196,,0.5,,3.8,,0.7,Feb 24 1917,Pittsburgh
18,Mel Bennett\benneme01,5,1976,1982,204,3725,481,1258,0,4,440,722,442,952,204,129,98,241,533,1402,0.382,0,0.609,18.3,6.9,4.7,1,Jan 4 1955,Pittsburgh
19,Del Beshore\beshode01,2,1979,1980,69,870,88,250,10,26,58,87,16,63,139,58,5,104,105,244,0.352,0.385,0.667,12.6,3.5,0.9,2,Nov 29 1956,Mechanicsburg
20,Ed Biedenbach\biedeed01,1,1969,1969,7,18,0,6,,,4,6,,2,3,,,,1,4,0,,0.667,2.6,0.6,0.3,0.4,Aug 12 1945,Pittsburgh
21,Nate Blackwell\blackna01,1,1988,1988,10,112,15,41,2,11,5,6,2,6,18,3,0,8,16,37,0.366,0.182,0.833,11.2,3.7,0.6,1.8,Feb 15 1965,Philadelphia
22,DeJuan Blair\blairde01,7,2010,2016,424,7054,1242,2371,0,9,381,627,810,2153,349,316,127,471,1003,2865,0.524,0,0.608,16.6,6.8,5.1,0.8,Apr 22 1989,Pittsburgh
