,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Willie Anderson\anderwi01,9,1989,1997,555,15974,2804,5952,99,372,1064,1353,550,2082,2105,594,342,1163,1500,6771,0.471,0.266,0.786,28.8,12.2,3.8,3.8,Jan 8 1967,Greenville
2,Jim Barnett\barneji02,11,1967,1977,732,17410,3326,7642,,,1884,2363,191,2259,2232,131,30,,1573,8536,0.435,,0.797,23.8,11.7,3.1,3,Jul 7 1944,Greenville
3,Leon Benbow\benbole01,2,1975,1976,115,1838,254,645,,,120,158,79,214,183,73,17,,227,628,0.394,,0.759,16,5.5,1.9,1.6,Jul 23 1950,Columbia
4,Trevor Booker\booketr01,8,2011,2018,532,10872,1548,3003,75,246,508,799,1029,2932,566,355,277,540,1063,3679,0.515,0.305,0.636,20.4,6.9,5.5,1.1,Nov 25 1987,Newberry
5,Winford Boynes\boynewi01,3,1979,1981,177,3035,598,1375,0,4,282,360,135,363,207,125,42,284,328,1478,0.435,0,0.783,17.1,8.4,2.1,1.2,May 17 1957,Greenville
6,Jarrell Brantley\brantja01,1,2020,2020,5,13,0,0,0,0,0,0,0,5,1,0,2,2,2,0,,,,2.6,0,1,0.2,Jun 7 1996,Charleston
7,Kevin Brooks\brookke01,3,1992,1994,126,1031,172,429,12,60,61,71,40,141,48,18,6,69,84,417,0.401,0.2,0.859,8.2,3.3,1.1,0.4,Oct 12 1969,Beaufort
8,Kwame Brown\brownkw01,12,2002,2013,607,13389,1518,3088,1,9,998,1750,1085,3333,554,324,376,771,1385,4035,0.492,0.111,0.57,22.1,6.6,5.5,0.9,Mar 10 1982,Charleston
9,Pete Chilcutt\chilcpe01,9,1992,2000,584,8394,1044,2368,188,494,218,313,663,1935,488,267,210,390,853,2494,0.441,0.381,0.696,14.4,4.3,3.3,0.8,Sep 14 1968,Sumter
10,Nicolas Claxton\claxtni01,1,2020,2020,15,187,27,48,1,7,11,21,19,44,16,1,8,9,14,66,0.563,0.143,0.524,12.5,4.4,2.9,1.1,Apr 17 1999,Greenville
11,Tyrone Corbin\corbity01,16,1986,2001,1065,27657,3918,8584,198,663,1732,2191,1726,5046,1894,1228,270,1310,2627,9766,0.456,0.299,0.791,26,9.2,4.7,1.8,Dec 31 1962,Columbia
12,Torrey Craig\craigto01,3,2018,2020,164,3001,318,707,114,355,91,136,177,546,131,67,93,86,350,841,0.45,0.321,0.669,18.3,5.1,3.3,0.8,Dec 19 1990,Columbia
13,Michael Dickerson\dickemi01,5,1999,2003,212,7490,1219,2824,288,717,531,677,178,609,553,213,85,407,551,3257,0.432,0.402,0.784,35.3,15.4,2.9,2.6,Jun 25 1975,Greenville
14,PJ Dozier\doziepj01,3,2018,2020,29,288,45,114,9,36,8,13,11,48,34,9,5,12,30,107,0.395,0.25,0.615,9.9,3.7,1.7,1.2,Oct 25 1996,Columbia
15,Alex English*\englial01,15,1977,1991,1193,38063,10659,21036,18,83,4277,5141,2778,6538,4351,1067,833,2821,3027,25613,0.507,0.217,0.832,31.9,21.5,5.5,3.6,Jan 5 1954,Columbia
16,Jawun Evans\evansja01,2,2018,2019,56,843,92,267,15,57,38,49,10,96,110,39,6,50,105,237,0.345,0.263,0.776,15.1,4.2,1.7,2,Jul 26 1996,Greenville
17,Raymond Felton\feltora01,14,2006,2019,971,28829,4105,9959,925,2813,1718,2175,552,2867,5096,1144,207,2008,1870,10853,0.412,0.329,0.79,29.7,11.2,3,5.2,Jun 26 1984,Marion
18,Kevin Garnett*\garneke01,21,1996,2016,1462,50418,10505,21142,174,632,4887,6190,3209,14662,5445,1859,2037,3179,3561,26071,0.497,0.275,0.789,34.5,17.8,10,3.7,May 19 1976,Greenville
19,Mike Gibson\gibsomi01,2,1984,1986,64,390,41,106,0,0,19,28,44,106,14,13,11,20,65,101,0.387,,0.679,6.1,1.6,1.7,0.2,Oct 27 1960,Williamsburg County
20,Tom Henderson\hendeto01,9,1975,1983,650,17690,2426,5601,0,9,1236,1673,384,1494,3136,760,76,693,1141,6088,0.433,0,0.739,27.2,9.4,2.3,4.8,Jan 26 1952,Newberry
21,Harold Jamison\jamisha01,2,2000,2002,37,250,29,63,0,0,14,33,40,60,10,7,2,10,40,72,0.46,,0.424,6.8,1.9,1.6,0.3,Nov 20 1976,Orangeburg
22,Anthony Johnson\johnsan02,13,1998,2010,793,15552,1709,4131,332,933,682,916,293,1358,2274,551,92,866,1289,4432,0.414,0.356,0.745,19.6,5.6,1.7,2.9,Oct 2 1974,Charleston
23,Brice Johnson\johnsbr02,2,2017,2018,21,107,22,49,0,1,3,5,10,34,3,11,7,6,13,47,0.449,0,0.6,5.1,2.2,1.6,0.1,Jun 27 1994,Orangeburg
24,Clyde Mayes\mayescl01,2,1976,1977,74,1000,119,267,,,59,104,107,279,40,9,46,,166,297,0.446,,0.567,13.5,4,3.8,0.5,Mar 17 1953,Greenville
25,Xavier McDaniel\mcdanxa01,12,1986,1998,870,25201,5673,11685,74,283,2186,3046,2082,5313,1775,791,416,1887,2557,13606,0.485,0.261,0.718,29,15.6,6.1,2,Jun 4 1963,Columbia
26,Dean Meminger\meminde01,6,1972,1977,416,8554,1004,2112,,,544,867,286,1086,1046,242,28,,700,2552,0.475,,0.627,20.6,6.1,2.6,2.5,May 13 1948,Walterboro
27,Khris Middleton\middlkh01,8,2013,2020,510,16082,3024,6609,889,2267,1351,1545,302,2363,1693,642,96,970,1326,8288,0.458,0.392,0.874,31.5,16.3,4.6,3.3,Aug 12 1991,Charleston
28,Lowes Moore\moorelo01,3,1981,1983,112,2118,312,706,11,55,117,156,59,227,316,89,19,159,266,752,0.442,0.2,0.75,18.9,6.7,2,2.8,May 5 1957,Plymouth
29,Mikki Moore\mooremi01,13,1999,2012,564,10257,1269,2304,2,13,717,965,777,2196,409,179,306,537,1541,3257,0.551,0.154,0.743,18.2,5.8,3.9,0.7,Nov 4 1975,Orangeburg
30,Ja Morant\moranja01,1,2020,2020,59,1771,393,800,51,139,204,265,44,208,409,54,15,191,90,1041,0.491,0.367,0.77,30,17.6,3.5,6.9,Aug 10 1999,Dalzell
31,Larry Nance\nancela01,13,1982,1994,920,30697,6370,11664,8,55,2939,3892,2299,7352,2393,872,2027,1711,2703,15687,0.546,0.145,0.755,33.4,17.1,8,2.6,Feb 12 1959,Anderson
