,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Vincent Askew\askewvi01,9,1988,1998,467,9361,1215,2534,76,253,805,1068,400,1176,1017,304,106,503,972,3311,0.479,0.3,0.754,20,7.1,2.5,2.2,Feb 28 1966,Memphis
2,Corey Beck\beckco01,3,1996,1999,88,951,93,206,3,5,52,76,36,125,123,43,9,87,134,241,0.451,0.6,0.684,10.8,2.7,1.4,1.4,May 27 1971,Memphis
3,William Bedford\bedfowi01,6,1987,1993,238,2514,405,974,7,22,147,243,201,573,109,37,126,173,358,964,0.416,0.318,0.605,10.6,4.1,2.4,0.5,Dec 14 1963,Memphis
4,Tarik Black\blackta01,4,2015,2018,220,3319,439,798,2,14,195,335,393,1031,110,83,116,163,516,1075,0.55,0.143,0.582,15.1,4.9,4.7,0.5,Nov 22 1991,Memphis
5,Jordan Bone\bonejo01,1,2020,2020,10,53,5,20,2,10,0,0,0,4,8,1,0,2,6,12,0.25,0.2,,5.3,1.2,0.4,0.8,Nov 5 1997,Nashville
6,Corey Brewer\breweco01,12,2008,2019,814,18738,2682,6310,503,1773,1225,1717,611,2279,1248,1019,222,948,1761,7092,0.425,0.284,0.713,23,8.7,2.8,1.5,Mar 5 1986,Portland
7,Antonio Burks\burksan01,2,2005,2006,81,789,79,204,4,17,24,42,5,49,104,33,1,48,70,186,0.387,0.235,0.571,9.7,2.3,0.6,1.3,Feb 25 1980,Memphis
8,Art Burris\burriar01,2,1951,1952,74,514,70,269,,,47,75,,205,54,,,,120,187,0.26,,0.627,12.5,2.5,2.8,0.7,Apr 7 1924,Nashville
9,Mike Butler\butlemi01,4,1969,1972,245,4554,790,2010,172,596,406,469,64,375,504,,,335,483,2158,0.393,0.289,0.866,18.6,8.8,1.5,2.1,Oct 22 1946,Memphis
10,Derrick Byars\byarsde01,1,2012,2012,2,37,3,11,0,6,4,4,6,11,1,2,0,0,2,10,0.273,0,1,18.5,5,5.5,0.5,Apr 25 1984,Memphis
11,Rodney Carney\carnero01,5,2007,2011,299,4600,675,1599,200,591,228,324,164,588,132,159,100,157,420,1778,0.422,0.338,0.704,15.4,5.9,2,0.4,Apr 15 1984,Memphis
12,Chris Chiozza\chiozch01,2,2019,2020,28,282,34,87,20,46,2,2,7,39,52,16,3,18,25,90,0.391,0.435,1,10.1,3.2,1.4,1.9,Nov 21 1995,Memphis
13,Carlos Clark\clarkca01,2,1984,1985,93,689,83,204,0,7,57,71,36,86,65,43,3,54,79,223,0.407,0,0.803,7.4,2.4,0.9,0.7,Aug 10 1960,Somerville
14,Ian Clark\clarkia01,6,2014,2019,330,4507,718,1635,240,705,164,204,65,440,385,128,44,236,394,1840,0.439,0.34,0.804,13.7,5.6,1.3,1.2,Mar 7 1991,Memphis
15,Coty Clarke\clarkco01,1,2016,2016,3,6,2,4,2,2,0,0,0,1,0,0,0,1,0,6,0.5,1,,2,2,0.3,0,Jul 4 1992,Antioch
16,Antonius Cleveland\clevean01,2,2018,2020,23,145,10,27,3,5,5,8,3,17,2,8,6,8,25,28,0.37,0.6,0.625,6.3,1.2,0.7,0.1,Feb 2 1994,Memphis
17,Lester Conner\connele01,12,1983,1995,687,14970,1639,3618,22,109,1037,1378,633,1861,2669,1085,64,914,1036,4337,0.453,0.202,0.753,21.8,6.3,2.7,3.9,Sep 17 1959,Memphis
18,Dillard Crocker\crockdi01,4,1949,1953,154,1559,444,1407,,,464,657,,215,205,,,,557,1352,0.316,,0.706,15.7,8.8,2.2,1.3,Jan 19 1925,Coffee County
19,Charles Davis\davisch02,8,1982,1990,415,5050,970,2152,19,112,255,346,378,1008,309,127,74,334,634,2214,0.451,0.17,0.737,12.2,5.3,2.4,0.7,Oct 5 1958,Nashville
20,Tony Delk\delkto01,10,1997,2006,545,11702,1874,4593,472,1376,737,958,349,1351,1024,447,77,573,862,4957,0.408,0.343,0.769,21.5,9.1,2.5,1.9,Jan 28 1974,Covington
21,Larry Finch\finchla01,2,1974,1975,128,3042,428,992,27,79,223,269,68,217,301,78,7,185,326,1106,0.431,0.342,0.829,23.8,8.6,1.7,2.4,Feb 16 1951,Memphis
22,Chris Garner\garnech01,2,1998,2001,46,442,30,107,4,21,8,13,9,36,63,28,5,34,68,72,0.28,0.19,0.615,9.6,1.6,0.8,1.4,Feb 2 1975,Memphis
23,Calvin Garrett\garreca01,4,1981,1984,166,3008,375,820,6,20,99,129,139,436,242,94,18,165,327,855,0.457,0.3,0.767,18.1,5.2,2.6,1.5,Jul 11 1956,Parsons
24,Dee Gibson\gibsode01,1,1950,1950,44,,77,245,,,127,177,,,126,,,,113,281,0.314,,0.718,,6.4,,2.9,Aug 25 1923,Cleveland
25,Sylvester Gray\graysy01,1,1989,1989,55,1220,167,398,1,4,105,156,117,286,117,36,25,102,144,440,0.42,0.25,0.673,22.2,8,5.2,2.1,Jul 8 1967,Millington
26,Marcus Haislip\haislma01,4,2003,2010,89,854,125,286,7,20,54,82,51,131,16,15,34,39,100,311,0.437,0.35,0.659,9.6,3.5,1.5,0.2,Dec 22 1980,Lewisburg
27,Steve Hamer\hamerst01,1,1997,1997,35,268,30,57,0,2,16,29,17,60,7,2,4,13,39,76,0.526,0,0.552,7.7,2.2,1.7,0.2,Nov 13 1973,Memphis
28,Anfernee Hardaway\hardaan01,14,1994,2008,704,23711,3995,8731,503,1591,2191,2831,975,3146,3525,1125,312,1786,1562,10684,0.458,0.316,0.774,33.7,15.2,4.5,5,Jul 18 1971,Memphis
29,Bob Harris\harribo01,5,1950,1954,325,5768,804,2091,,,601,957,,1824,502,,,,1003,2209,0.385,,0.628,27.9,6.8,6.9,1.5,Mar 16 1927,Linden
30,David Harrison\harrida01,4,2005,2008,189,2686,374,706,0,0,201,383,184,549,47,64,185,216,538,949,0.53,,0.525,14.2,5,2.9,0.2,Aug 15 1982,Nashville
31,Trenton Hassell\hassetr01,9,2002,2010,644,16278,1549,3480,95,299,548,716,541,1826,1132,282,272,597,1399,3741,0.445,0.318,0.765,25.3,5.8,2.8,1.8,Mar 4 1979,Clarksville
32,Kirk Haston\hastoki01,2,2002,2003,27,134,13,56,0,6,6,12,5,27,8,0,6,10,19,32,0.232,0,0.5,5,1.2,1,0.3,Mar 10 1979,Lobelville
33,Cedric Henderson\hendece02,5,1998,2002,260,6182,783,1797,6,43,313,438,170,755,419,228,111,401,578,1885,0.436,0.14,0.715,23.8,7.3,2.9,1.6,Mar 11 1975,Memphis
34,Keith Herron\herroke01,3,1979,1982,124,2620,485,1108,2,12,247,288,112,242,174,105,30,170,190,1219,0.438,0.167,0.858,21.1,9.8,2,1.4,Jun 14 1956,Memphis
35,Paul Hogue\hoguedu01,2,1963,1964,65,1487,164,449,,,81,181,,461,48,,,,255,409,0.365,,0.448,22.9,6.3,7.1,0.7,Apr 28 1940,Knoxville
36,Otis Howard\howarot01,1,1979,1979,14,113,24,56,,,11,23,18,41,5,2,2,7,24,59,0.429,,0.478,8.1,4.2,2.9,0.4,Nov 5 1956,Oak Ridge
37,Bailey Howell*\howelba01,12,1960,1971,950,30627,6515,13585,,,4740,6224,,9383,1853,,,,3498,17770,0.48,,0.762,32.2,18.7,9.9,2,Jan 20 1937,Middleton
38,Lester Hudson\hudsole01,4,2010,2015,57,594,95,253,28,101,50,62,16,77,71,32,8,56,52,268,0.375,0.277,0.806,10.4,4.7,1.4,1.2,Aug 7 1984,Memphis
39,Les Hunter\huntele01,7,1965,1973,468,11887,2200,4968,32,161,1303,1864,1151,3224,752,,,1061,1549,5735,0.443,0.199,0.699,25.4,12.3,6.9,1.6,Aug 16 1942,Nashville
