,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Quincy Acy\acyqu01,7,2013,2019,337,5392,583,1314,183,523,293,386,309,1179,217,140,135,219,665,1642,0.444,0.35,0.759,16,4.9,3.5,0.6,Oct 6 1990,Tyler
2,LaMarcus Aldridge\aldrila01,14,2007,2020,1003,34518,7919,16118,182,584,3579,4414,2684,8360,1985,733,1111,1572,2473,19599,0.491,0.312,0.811,34.4,19.5,8.3,2,Jul 19 1985,Dallas
3,Jarrett Allen\allenja01,3,2018,2020,216,5184,836,1378,11,65,458,662,530,1665,244,108,293,257,475,2141,0.607,0.169,0.692,24,9.9,7.7,1.1,Apr 21 1998,Austin
4,Greg Anderson\andergr01,10,1988,1998,680,14040,2011,4090,2,23,929,1668,1432,4246,385,480,590,926,1741,4953,0.492,0.087,0.557,20.6,7.3,6.2,0.6,Jun 22 1964,Houston
5,Jay Arnette\arnetja01,3,1964,1966,114,1177,163,447,,,98,129,,116,139,,,,233,424,0.365,,0.76,10.3,3.7,1,1.2,Dec 19 1938,Austin
6,Darrell Arthur\arthuda01,9,2009,2018,503,8945,1381,3110,161,458,359,469,547,1768,409,309,307,422,1234,3282,0.444,0.352,0.765,17.8,6.5,3.5,0.8,Mar 25 1988,Dallas
7,Chris Babb\babbch01,1,2014,2014,14,132,8,30,6,27,0,0,4,17,3,6,0,3,13,22,0.267,0.222,,9.4,1.6,1.2,0.2,Feb 14 1990,Arlington
8,Tom Barker\barketo01,2,1977,1979,98,1830,250,592,,,139,201,156,520,75,43,52,34,299,639,0.422,,0.692,18.7,6.5,5.3,0.8,Mar 11 1955,Harlingen
9,Maceo Baston\bastoma01,4,2003,2009,105,831,106,172,3,8,71,96,56,175,26,24,43,54,140,286,0.616,0.375,0.74,7.9,2.7,1.7,0.2,May 29 1975,Corsicana
