,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Lance Allred\allrela01,1,2008,2008,3,10,1,4,0,0,1,2,0,1,0,0,0,0,1,3,0.25,,0.5,3.3,1,0.3,0,Feb 2 1981,Salt Lake City
2,Devin Brown\brownde02,8,2003,2010,465,9022,1174,2927,300,888,704,907,336,1288,679,263,58,505,747,3352,0.401,0.338,0.776,19.4,7.2,2.8,1.5,Dec 30 1978,Salt Lake City
3,Tom Chambers\chambto01,16,1982,1998,1107,33922,7378,15749,227,740,5066,6274,1942,6703,2283,885,627,2549,3742,20049,0.468,0.307,0.807,30.6,18.1,6.1,2.1,Jun 21 1959,Ogden
4,John Collins\collijo01,3,2018,2020,176,4977,1132,1981,130,352,456,602,511,1552,279,100,185,300,552,2850,0.571,0.369,0.757,28.3,16.2,8.8,1.6,Sep 23 1997,Layton
5,Kyle Collinsworth\colliky01,1,2018,2018,32,480,38,99,4,17,21,40,32,107,56,17,9,24,44,101,0.384,0.235,0.525,15,3.2,3.3,1.8,Oct 3 1991,Provo
6,Bert Cook\cookbe01,1,1955,1955,37,424,42,133,,,34,50,,72,33,,,,39,118,0.316,,0.68,11.5,3.2,1.9,0.9,Apr 26 1929,Hooper
7,Devin Durrant\durrade01,2,1985,1986,63,807,122,295,0,3,73,106,51,132,85,22,10,81,116,317,0.414,0,0.689,12.8,5,2.1,1.3,Oct 20 1960,Provo
8,Arnie Ferrin\ferriar01,3,1949,1951,178,,381,1147,,,275,401,,271,278,,,,509,1037,0.332,,0.686,,5.8,4,1.6,Jul 29 1925,Salt Lake City
9,Josh Grant\grantjo01,1,1994,1994,53,382,59,146,17,61,22,29,27,89,24,18,8,30,62,157,0.404,0.279,0.759,7.2,3,1.7,0.5,Aug 7 1967,Salt Lake City
10,Travis Hansen\hansetr01,1,2004,2004,41,507,46,130,9,30,22,27,30,70,19,10,9,15,67,123,0.354,0.3,0.815,12.4,3,1.7,0.5,Apr 15 1978,Provo
11,Britton Johnsen\johnsbr01,2,2004,2005,26,377,23,81,1,16,7,16,20,55,16,8,1,17,38,54,0.284,0.063,0.438,14.5,2.1,2.1,0.6,Jul 8 1979,Salt Lake City
12,Jeff Judkins\judkije01,5,1979,1983,272,3421,596,1248,23,73,267,329,163,427,282,147,26,214,431,1482,0.478,0.315,0.812,12.6,5.4,1.6,1,Mar 23 1956,Salt Lake City
13,Travis Knight\knightr01,7,1997,2003,371,4566,522,1192,15,58,217,312,441,1160,224,136,220,244,805,1276,0.438,0.259,0.696,12.3,3.4,3.1,0.6,Sep 13 1974,Salt Lake City
14,Steven Kramer\kramest01,3,1968,1970,124,2288,380,885,1,8,287,368,65,310,236,,,207,315,1048,0.429,0.125,0.78,18.5,8.5,2.5,1.9,Jan 1 1945,Sandy
15,Pace Mannion\mannipa01,6,1984,1989,216,2125,257,623,16,79,130,196,88,259,231,107,21,132,238,660,0.413,0.203,0.663,9.8,3.1,1.2,1.1,Sep 22 1960,Salt Lake City
16,Ariel Maughan\maughar01,5,1947,1951,259,,744,2659,,,555,780,,141,311,,,,668,2043,0.28,,0.712,,7.9,4,1.2,Feb 23 1923,Salt Lake City
17,Eric Mika\mikaer01,1,2020,2020,1,19,2,3,0,0,2,2,2,7,0,0,0,0,5,6,0.667,,1,19,6,7,0,Jan 5 1995,Salt Lake City
18,Wat Misaka\misakwa01,1,1948,1948,3,,3,13,,,1,3,,,0,,,,7,7,0.231,,0.333,,2.3,,0,Dec 21 1923,Ogden
19,Scot Pollard\pollasc01,11,1998,2008,506,8372,858,1738,0,2,506,714,901,2351,220,299,352,304,1178,2222,0.494,0,0.709,16.5,4.4,4.6,0.4,Feb 12 1975,Murray
20,Fred Roberts\roberfr01,13,1984,1997,818,14703,2257,4496,51,157,1397,1754,834,2308,977,412,253,969,1572,5962,0.502,0.325,0.796,18,7.3,2.8,1.2,Aug 14 1960,Provo
21,Byron Scott\scottby01,14,1984,1997,1073,30152,5918,12268,775,2093,2486,2985,677,2987,2729,1224,276,1597,2051,15097,0.482,0.37,0.833,28.1,14.1,2.8,2.5,Mar 28 1961,Ogden
22,Fred Sheffield\shefffr01,1,1947,1947,22,,29,146,,,16,26,,,4,,,,34,74,0.199,,0.615,,3.4,,0.2,Nov 5 1923,Kaysville
23,Danny Vranes\vraneda01,7,1982,1988,510,10624,1056,2131,2,19,499,875,763,1998,594,333,270,519,1368,2613,0.496,0.105,0.57,20.8,5.1,3.9,1.2,Oct 29 1958,Salt Lake City
24,Brady Walker\walkebr01,4,1949,1952,228,699,673,1772,,,257,406,,549,328,,,,320,1603,0.38,,0.633,20,7,5.4,1.4,Mar 15 1921,Provo
25,C.J. Wilcox\wilcocj01,3,2015,2017,66,376,50,135,19,57,13,16,6,31,30,15,4,18,30,132,0.37,0.333,0.813,5.7,2,0.5,0.5,Dec 30 1990,Pleasant Grove
