,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Byron Beck\beckby01,10,1968,1977,747,19197,3681,7295,13,44,1228,1515,1635,5261,978,170,43,933,2267,8603,0.505,0.295,0.811,25.7,11.5,7,1.3,Jan 25 1945,Ellensburg
2,Gale Bishop\bishoga01,1,1949,1949,56,,170,523,,,127,195,,,92,,,,137,467,0.325,,0.651,,8.3,,1.6,Jun 4 1922,Bellingham
3,Avery Bradley\bradlav01,10,2011,2020,571,16143,2702,6194,744,2042,564,723,358,1670,1012,581,116,802,1254,6712,0.436,0.364,0.78,28.3,11.8,2.9,1.8,Nov 26 1990,Tacoma
4,Jon Brockman\brockjo01,3,2010,2012,150,1570,118,242,0,1,84,136,212,472,49,33,9,57,267,320,0.488,0,0.618,10.5,2.1,3.1,0.3,Mar 20 1987,Snohomish
5,Aaron Brooks\brookaa01,10,2008,2018,645,13439,2261,5478,820,2218,917,1095,254,1079,1925,359,87,1000,1217,6259,0.413,0.37,0.837,20.8,9.7,1.7,3,Jan 14 1985,Seattle
6,Larry Bunce\buncela01,2,1968,1969,129,3070,386,919,0,1,370,517,74,821,94,,,192,317,1142,0.42,0,0.716,23.8,8.9,6.4,0.7,Jul 29 1945,Tacoma
7,Kevin Burleson\burleke01,1,2006,2006,39,340,22,88,10,54,16,17,4,26,48,26,2,25,63,70,0.25,0.185,0.941,8.7,1.8,0.7,1.2,Sep 4 1979,Seattle
8,Mike Champion\champmi01,1,1989,1989,2,4,0,3,0,1,0,0,0,0,0,0,0,1,2,0,0,0,,2,0,0,0,Apr 5 1964,Everett
9,Doug Christie\chrisdo01,15,1993,2007,827,26079,3238,7604,805,2272,2020,2460,797,3382,2992,1555,392,1721,2051,9301,0.426,0.354,0.821,31.5,11.2,4.1,3.6,May 9 1970,Seattle
10,John Coker\cokerjo01,3,1996,2001,25,141,18,44,0,0,5,6,12,29,3,2,3,4,22,41,0.409,,0.833,5.6,1.6,1.2,0.1,Oct 28 1971,Richland
11,Jamal Crawford\crawfja01,19,2001,2019,1326,38988,6750,16463,2220,6377,3694,4286,466,2948,4538,1179,271,2476,2007,19414,0.41,0.348,0.862,29.4,14.6,2.2,3.4,Mar 20 1980,Seattle
12,Rod Derline\derliro01,2,1975,1976,107,1005,215,513,,,88,112,20,86,71,34,5,,69,518,0.419,,0.786,9.4,4.8,0.8,0.7,Mar 11 1952,Elma
13,James Edwards\edwarja01,19,1978,1996,1168,28356,5802,11724,1,21,3257,4666,1804,6004,1499,420,867,1931,4042,14862,0.495,0.048,0.698,24.3,12.7,5.1,1.3,Nov 22 1955,Seattle
14,Richie Frahm\frahmri01,4,2004,2008,140,1473,178,433,95,267,51,63,36,164,83,37,10,35,122,502,0.411,0.356,0.81,10.5,3.6,1.2,0.6,Aug 14 1977,Battle Ground
15,Bernie Fryer\fryerbe01,2,1974,1975,120,2370,297,665,0,1,162,206,81,227,357,120,10,17,269,756,0.447,0,0.786,19.8,6.3,1.9,3,Dec 25 1949,Bellingham
16,Chuck Gilmur\gilmuch01,5,1947,1951,239,,511,1571,,,370,608,,75,348,,,,896,1392,0.325,,0.609,,5.8,4.7,1.5,Aug 13 1922,Seattle
17,Joe Harris\harrijo01,6,2015,2020,325,7860,1214,2560,602,1422,302,384,186,1014,521,148,63,388,657,3332,0.474,0.423,0.786,24.2,10.3,3.1,1.6,Sep 6 1991,Chelan
18,Spencer Hawes\hawessp01,10,2008,2017,684,15541,2451,5363,359,1026,671,937,991,3893,1271,264,652,971,1709,5932,0.457,0.35,0.716,22.7,8.7,5.7,1.9,Apr 28 1988,Seattle
