,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Jerome Anderson\anderje01,2,1976,1977,49,290,51,104,,,25,36,13,25,16,9,5,,51,127,0.49,,0.694,5.9,2.6,0.5,0.3,Oct 9 1953,Mullens
2,Mike Barrett\barremi01,3,1970,1973,187,5300,974,2215,94,303,458,614,277,592,730,,,517,473,2500,0.44,0.31,0.746,28.3,13.4,3.2,3.9,Sep 5 1943,Montgomery
3,Mike D'Antoni\dantomi01,4,1974,1977,180,2656,261,631,0,4,83,113,57,262,363,215,41,47,373,605,0.414,0,0.735,14.8,3.4,1.5,2,May 8 1951,Mullens
4,Henry Dickerson\dickehe01,2,1976,1977,23,175,15,41,,,15,24,3,5,19,3,1,,30,45,0.366,,0.625,7.6,2,0.2,0.8,Nov 27 1951,Berkley
5,Donte Grantham\grantdo01,1,2019,2019,3,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,0.7,0,0,0,Mar 19 1995,Martinsburg
6,Hal Greer*\greerha01,15,1959,1973,1122,39788,8504,18811,,,4578,5717,,5665,4540,,,,3855,21586,0.452,,0.801,35.5,19.2,5,4,Jun 26 1936,Huntington
7,Gary Gregor\gregoga01,6,1969,1974,361,8305,1416,3251,3,4,392,541,62,2286,482,4,1,51,870,3227,0.436,0.75,0.725,23,8.9,6.3,1.3,Aug 13 1945,Charlestown
8,Marshall Hawkins\hawkima01,1,1950,1950,39,,55,195,,,42,61,,,51,,,,87,152,0.282,,0.689,,3.9,,1.3,Aug 3 1924,Huntington
9,Hot Rod Hundley\hundlho01,6,1958,1963,431,9553,1382,3978,,,861,1195,,1420,1455,,,,786,3625,0.347,,0.721,22.2,8.4,3.3,3.4,Oct 26 1934,Charleston
10,Dave Jamerson\jamerda01,3,1991,1994,90,594,122,311,13,47,49,57,31,77,61,23,1,45,63,306,0.392,0.277,0.86,6.6,3.4,0.9,0.7,Aug 13 1967,Clarksburg
11,Dwayne Jones\jonesdw02,5,2006,2010,82,636,33,65,0,1,41,83,86,191,12,11,29,26,112,107,0.508,0,0.494,7.8,1.3,2.3,0.1,Jun 9 1983,Morgantown
12,Earl Jones\jonesea01,2,1985,1986,14,50,5,13,0,0,3,4,4,10,4,0,1,8,13,13,0.385,,0.75,3.6,0.9,0.7,0.3,Jan 13 1961,Oak Hill
13,George King\kingge01,6,1952,1958,411,13408,1517,3971,,,1185,1847,,1606,1958,,,,1044,4219,0.382,,0.642,32.6,10.3,3.9,4.8,Aug 16 1928,Fayetteville
14,Freddie Lewis\lewisfr02,11,1967,1977,750,24924,4302,9965,275,983,3154,3859,916,2752,2979,373,23,1760,2123,12033,0.432,0.28,0.817,33.2,16,3.7,4,Jul 1 1943,Huntington
15,O.J. Mayo\mayooj01,8,2009,2016,547,16919,2808,6547,854,2287,1104,1346,285,1706,1607,559,141,1130,1239,7574,0.429,0.373,0.82,30.9,13.8,3.1,2.9,Nov 5 1987,Huntington
16,Dick Mehen\mehendi01,3,1950,1952,193,2294,832,2182,,,405,571,,505,480,,,,561,2069,0.381,,0.709,35.3,10.7,3.9,2.5,May 20 1922,Wheeling
17,Al Salvadori\salvaal01,1,1968,1968,17,186,21,58,1,1,11,16,,46,4,,,12,28,54,0.362,1,0.688,10.9,3.2,2.7,0.2,May 6 1945,Wheeling
18,Kevin Salvadori\salvake01,2,1997,1998,39,241,13,46,0,0,16,24,11,45,13,2,24,17,29,42,0.283,,0.667,6.2,1.1,1.2,0.3,Dec 30 1970,Wheeling
19,Tamar Slay\slayta01,3,2003,2005,66,517,73,202,13,49,14,26,24,70,31,26,4,39,71,173,0.361,0.265,0.538,7.8,2.6,1.1,0.5,Apr 2 1980,Beckley
