,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Bob Anderegg\anderbo01,1,1960,1960,33,373,55,143,,,23,42,,69,29,,,,32,133,0.385,,0.548,11.3,4,2.1,0.9,Aug 24 1937,Monroe
2,Tony Bennett\benneto01,3,1993,1995,152,1886,221,536,55,164,41,56,28,155,303,69,1,93,200,538,0.412,0.335,0.732,12.4,3.5,1,2,Jun 1 1969,Green Bay
3,Gene Berce\bercege01,1,1950,1950,3,,5,16,,,0,5,,,2,,,,6,10,0.313,,0,,3.3,,0.7,Nov 22 1926,Milwaukee
4,Vander Blue\blueva01,3,2014,2018,10,134,12,39,2,13,4,12,2,13,12,4,0,11,7,30,0.308,0.154,0.333,13.4,3,1.3,1.2,Jul 17 1992,Milwaukee
5,Fred Brown\brownfr01,13,1972,1984,963,24422,6006,12568,110,295,1896,2211,681,2637,3160,1149,166,840,1937,14018,0.478,0.373,0.858,25.4,14.6,2.7,3.3,Aug 7 1948,Milwaukee
6,Brian Brunkhorst\brunkbr01,1,1969,1969,3,56,6,11,0,0,13,17,6,13,3,,,5,8,25,0.545,,0.765,18.7,8.3,4.3,1,Jun 12 1945,Owen
7,Rodney Buford\buforro01,5,2000,2005,230,4182,630,1530,74,247,138,182,117,598,179,115,31,140,332,1472,0.412,0.3,0.758,18.2,6.4,2.6,0.8,Nov 2 1977,Milwaukee
8,Deonte Burton\burtode02,2,2019,2020,66,524,72,187,18,73,14,24,10,76,20,11,18,23,59,176,0.385,0.247,0.583,7.9,2.7,1.2,0.3,Jan 31 1994,Milwaukee
9,Caron Butler\butleca01,14,2003,2016,881,28333,4596,10592,746,2144,2492,2942,1103,4387,2007,1163,216,1594,2129,12430,0.434,0.348,0.847,32.2,14.1,5,2.3,Mar 13 1980,Racine
10,Dwight Buycks\buyckdw01,3,2014,2018,49,696,115,286,27,73,53,60,18,76,83,30,2,61,53,310,0.402,0.37,0.883,14.2,6.3,1.6,1.7,Mar 6 1989,Milwaukee
11,Anthony Carter\cartean01,13,2000,2012,623,12184,1230,3043,116,464,433,613,244,1302,2363,601,115,958,1103,3009,0.404,0.25,0.706,19.6,4.8,2.1,3.8,Jun 16 1975,Milwaukee
12,Jim Chones\choneji01,10,1973,1982,788,23665,4210,8800,0,9,1401,2061,1736,6427,1292,391,774,1165,2606,9821,0.478,0,0.68,30,12.5,8.2,1.6,Nov 30 1949,Racine
13,Paul Cloyd\cloydpa01,1,1950,1950,7,,7,26,,,5,8,,,2,,,,5,19,0.269,,0.625,,2.7,,0.3,Jun 13 1920,Madison
14,Jeffrey Congdon\congdje01,5,1968,1972,306,6283,764,2029,102,358,365,457,111,601,1002,,,579,538,1995,0.377,0.285,0.799,20.5,6.5,2,3.3,Oct 17 1943,Elkhorn
15,Bill Davis\davisbi01,1,1947,1947,47,,35,146,,,14,41,,,11,,,,92,84,0.24,,0.341,,1.8,,0.2,Oct 3 1920,
16,Sam Dekker\dekkesa01,4,2016,2019,200,3096,451,944,89,309,103,170,191,607,160,101,37,98,201,1094,0.478,0.288,0.606,15.5,5.5,3,0.8,May 6 1994,Sheboygan
17,Nate DeLong\delonna01,1,1952,1952,17,132,20,42,,,24,35,,31,14,,,,47,64,0.476,,0.686,7.8,3.8,1.8,0.8,Jan 5 1926,Chippewa Falls
18,Travis Diener\dienetr01,5,2006,2010,179,2660,298,768,164,465,94,111,39,243,432,76,9,99,200,854,0.388,0.353,0.847,14.9,4.8,1.4,2.4,Mar 1 1982,Fond du Lac
19,Patrick Eddie\eddiepa01,1,1992,1992,4,13,2,9,0,0,0,0,0,1,0,0,0,0,3,4,0.222,,,3.3,1,0.3,0,Dec 27 1967,Milwaukee
20,Henry Ellenson\ellenhe01,4,2017,2020,81,749,116,312,47,137,48,62,25,194,44,13,3,41,56,327,0.372,0.343,0.774,9.2,4,2.4,0.5,Jan 13 1997,Rice Lake
21,Gene Englund\engluge01,1,1950,1950,46,,104,274,,,152,192,,,41,,,,167,360,0.38,,0.792,,7.8,,0.9,Oct 21 1917,Kenosha
22,Reece Gaines\gainere01,3,2004,2006,71,605,48,148,7,26,20,33,9,53,50,17,3,26,40,123,0.324,0.269,0.606,8.5,1.7,0.7,0.7,Jan 7 1981,Madison
23,Diante Garrett\garredi02,2,2013,2014,90,1197,117,314,39,111,15,22,16,112,151,51,5,91,80,288,0.373,0.351,0.682,13.3,3.2,1.2,1.7,Nov 3 1988,Milwaukee
24,Bud Grant\grantbu01,2,1950,1951,96,,95,299,,,59,100,,115,90,,,,142,249,0.318,,0.59,,2.6,1.9,0.9,May 20 1927,Superior
25,Steve Green\greenst01,4,1976,1979,205,2700,476,1079,0,5,227,311,216,494,161,102,27,112,413,1179,0.441,0,0.73,13.2,5.8,2.4,0.8,Oct 4 1953,Madison
26,Jay Guidinger\guidija01,2,1993,1994,64,346,35,87,0,0,28,46,41,97,20,13,15,26,71,98,0.402,,0.609,5.4,1.5,1.5,0.3,Aug 18 1969,Milwaukee
27,Devin Harris\harride01,15,2005,2019,985,23963,3486,8072,832,2558,2793,3507,290,2151,3869,998,194,1682,2171,10597,0.432,0.325,0.796,24.3,10.8,2.2,3.9,Feb 27 1983,Milwaukee
28,Tyler Herro\herroty01,1,2020,2020,47,1280,220,532,99,253,66,79,14,187,91,30,7,72,59,605,0.414,0.391,0.835,27.2,12.9,4,1.9,Jan 20 2000,Milwaukee
29,Dick Holub\holubdi01,1,1948,1948,48,,195,662,,,114,180,,,37,,,,159,504,0.295,,0.633,,10.5,,0.8,Oct 29 1921,Racine
30,Mark Jones\jonesma03,1,2005,2005,10,116,9,31,0,4,5,10,6,13,6,5,2,3,16,23,0.29,0,0.5,11.6,2.3,1.3,0.6,May 25 1975,Milwaukee
31,Don Kojis\kojisdo01,12,1964,1975,814,19241,3947,8853,,,2054,2853,140,4555,1112,89,16,,1937,9948,0.446,,0.72,23.6,12.2,5.6,1.4,Jan 15 1939,Milwaukee
32,Wayne Kreklow\kreklwa01,1,1981,1981,25,100,11,47,1,4,7,10,2,12,9,2,1,10,20,30,0.234,0.25,0.7,4,1.2,0.5,0.4,Jan 4 1957,Neenah
33,Carl Landry\landrca01,9,2008,2016,513,11524,2086,3898,9,30,1360,1732,994,2533,355,216,203,603,1208,5541,0.535,0.3,0.785,22.5,10.8,4.9,0.7,Sep 19 1983,Milwaukee
34,Marcus Landry\landrma01,1,2010,2010,18,111,16,43,9,28,3,5,5,19,0,1,2,6,14,44,0.372,0.321,0.6,6.2,2.4,1.1,0,Nov 1 1985,Milwaukee
35,Walt Lautenbach\lautewa01,1,1950,1950,55,,100,332,,,38,55,,,73,,,,122,238,0.301,,0.691,,4.3,,1.3,Nov 17 1922,Milwaukee
36,Steve Lingenfelter\lingest01,2,1983,1984,10,67,5,7,0,0,0,6,4,16,5,1,3,6,22,10,0.714,,0,6.7,1,1.6,0.5,Jun 10 1958,Eau Claire
37,Kevon Looney\looneke01,5,2016,2020,224,3121,418,733,6,40,137,228,353,832,214,107,132,112,417,979,0.57,0.15,0.601,13.9,4.4,3.7,1,Feb 6 1996,Milwaukee
38,Ray McCallum\mccalra01,3,2014,2016,154,2808,374,916,71,212,101,142,78,306,368,79,27,148,190,920,0.408,0.335,0.711,18.2,6,2,2.4,Jun 12 1991,Madison
39,Jim McIlvaine\mcilvji01,7,1995,2001,401,5927,423,948,1,10,225,408,479,1243,105,136,691,231,1052,1072,0.446,0.1,0.551,14.8,2.7,3.1,0.3,Jul 30 1972,Racine
40,Trey McKinney-Jones\mckintr01,1,2018,2018,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,0,0,Aug 27 1990,Milwaukee
41,Chuck Mencel\mencech01,2,1956,1957,141,2821,363,1063,,,257,336,,347,333,,,,169,983,0.341,,0.765,20,7,2.5,2.4,Apr 21 1933,Phillips
42,John Mengelt\mengejo01,10,1972,1981,636,12788,2418,5047,0,6,1382,1708,203,1221,1329,324,28,280,1284,6218,0.479,0,0.809,20.1,9.8,1.9,2.1,Oct 16 1949,Lacrosse
43,Chris Mihm\mihmch01,8,2001,2009,436,8758,1253,2731,3,13,753,1069,865,2302,223,128,444,535,1264,3262,0.459,0.231,0.704,20.1,7.5,5.3,0.5,Jul 16 1979,Milwaukee
44,Dick Miller\milledi01,1,1981,1981,8,53,4,9,0,1,0,0,2,7,5,4,0,8,5,8,0.444,0,,6.6,1,0.9,0.6,Apr 26 1958,Milwaukee
45,Tony Mitchell\mitchto02,1,2014,2014,21,79,5,12,1,1,11,19,15,26,2,6,3,4,9,22,0.417,1,0.579,3.8,1,1.2,0.1,Apr 7 1992,Milwaukee
46,Kurt Nimphius\nimphku01,8,1982,1990,564,11441,1451,2981,2,20,698,1045,883,2474,681,191,696,559,1631,3602,0.487,0.1,0.668,20.3,6.4,4.4,1.2,Mar 13 1958,Milwaukee
47,Jordan Poole\poolejo01,1,2020,2020,57,1274,167,502,74,265,95,119,9,118,134,35,10,74,94,503,0.333,0.279,0.798,22.4,8.8,2.1,2.4,Jun 19 1999,Milwaukee
48,Terry Porter\portete01,17,1986,2002,1274,35354,5428,11734,1297,3360,3433,4107,715,3872,7160,1583,181,2666,2203,15586,0.463,0.386,0.836,27.8,12.2,3,5.6,Apr 8 1963,Milwaukee
49,Alex Scales\scaleal01,1,2006,2006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,Jul 3 1978,Racine
50,Frank Schade\schadfr01,1,1973,1973,9,76,2,7,,,6,6,,6,10,,,,12,10,0.286,,1,8.4,1.1,0.7,1.1,Jan 22 1950,Wausau
51,Dick Schulz\schuldi01,4,1947,1950,205,,391,1507,,,359,499,,,203,,,,452,1141,0.259,,0.719,,5.6,,1,Jan 3 1917,Racine
52,Glen Selbo\selbogl01,1,1950,1950,13,,10,51,,,22,29,,,23,,,,15,42,0.196,,0.759,,3.2,,1.8,Mar 29 1926,LaCrosse
53,Jerry Smith\smithje01,1,2012,2012,5,46,3,14,1,6,0,0,2,7,4,5,0,0,5,7,0.214,0.167,,9.2,1.4,1.4,0.8,Sep 26 1987,Wauwatosa
54,Tony Smith\smithto02,9,1991,2001,457,7295,1017,2362,120,391,350,507,324,735,881,319,79,442,717,2504,0.431,0.307,0.69,16,5.5,1.6,1.9,Jun 14 1968,Wauwatosa
55,Latrell Sprewell\sprewla01,13,1993,2005,913,35270,6076,14294,1104,3272,3456,4298,770,3724,3664,1294,399,2450,1689,16712,0.425,0.337,0.804,38.6,18.3,4.1,4,Sep 8 1970,Milwaukee
56,Greg Stiemsma\stiemgr01,4,2012,2015,203,3048,269,529,0,1,103,146,190,679,97,118,232,143,512,641,0.509,0,0.705,15,3.2,3.3,0.5,Sep 26 1985,Randolph
57,Diamond Stone\stonedi01,1,2017,2017,7,24,3,13,0,0,4,4,1,6,0,0,1,2,5,10,0.231,,1,3.4,1.4,0.9,0,Feb 10 1997,Milwaukee
58,Nick Van Exel\vanexni01,13,1994,2006,880,28969,4636,11458,1528,4278,1858,2341,375,2545,5777,726,92,1850,1380,12658,0.405,0.357,0.794,32.9,14.4,2.9,6.6,Nov 27 1971,Kenosha
59,Logan Vander Velden\vandelo01,1,1996,1996,15,31,3,14,0,5,3,4,1,6,1,0,0,0,4,9,0.214,0,0.75,2.1,0.6,0.4,0.1,Apr 3 1971,Valders
60,Kyle Weaver\weaveky01,3,2009,2011,73,1379,134,304,42,119,53,72,34,158,119,55,33,80,97,363,0.441,0.353,0.736,18.9,5,2.2,1.6,Feb 18 1986,Janesville
61,Mike Wilks\wilksmi01,7,2003,2010,233,2240,217,540,34,106,123,166,57,228,271,82,10,117,215,591,0.402,0.321,0.741,9.6,2.5,1,1.2,May 7 1979,Milwaukee
