Player,To,Date,City,State
Eric Bledsoe\bledser01,2020,Dec 9 1989,Birmingham,Alabama
DeMarre Carroll\carrode01,2020,Jul 27 1986,Birmingham,Alabama
JaMychal Green\greenja01,2020,Jun 21 1990,Montgomery,Alabama
Donta Hall\halldo01,2020,Aug 7 1997,Luverne,Alabama
Josh Magette\magetjo01,2020,Nov 28 1989,Birmingham,Alabama
Marvin Bagley\baglema01,2020,Mar 14 1999,Tempe,Arizona
Zylan Cheatham\cheatzy01,2020,Nov 17 1995,Phoenix,Arizona
Kevin Knox\knoxke01,2020,Aug 11 1999,Phoenix,Arizona
Matisse Thybulle\thybuma01,2020,Mar 4 1997,Scottsdale,Arizona
Paul Watson\watsopa01,2020,Dec 30 1994,Phoenix,Arizona
Mike Conley\conlemi01,2020,Oct 11 1987,Fayetteville,Arkansas
Daniel Gafford\gaffoda01,2020,Oct 1 1998,El Dorado,Arkansas
Dusty Hannahs\hannadu01,2020,Sep 2 1993,Little Rock,Arkansas
Daryl Macon\maconda01,2020,Nov 29 1995,Little Rock,Arkansas
Malik Monk\monkma01,2020,Feb 4 1998,Jonesboro,Arkansas
Bobby Portis\portibo01,2020,Feb 10 1995,Little Rock,Arkansas
Ryan Anderson\anderry01,2020,May 6 1988,Sacramento,California
Lonzo Ball\balllo01,2020,Oct 27 1997,Anaheim,California
Jordan Bell\belljo01,2020,Jan 7 1995,Los Angeles,California
Tyson Chandler\chandty01,2020,Oct 2 1982,Hanford,California
Marquese Chriss\chrisma01,2020,Jul 2 1997,Sacramento,California
Allen Crabbe\crabbal01,2020,Apr 9 1992,Los Angeles,California
Dewayne Dedmon\dedmode01,2020,Aug 12 1989,Lancaster,California
DeMar DeRozan\derozde01,2020,Aug 7 1989,Compton,California
Spencer Dinwiddie\dinwisp01,2020,Apr 6 1993,Los Angeles,California
Jared Dudley\dudleja01,2020,Jul 10 1985,San Diego,California
James Ennis\ennisja01,2020,Jul 1 1990,Ventura,California
Paul George\georgpa01,2020,May 2 1990,Palmdale,California
Aaron Gordon\gordoaa01,2020,Sep 16 1995,San Jose,California
Tim Hardaway\hardati02,2020,Mar 16 1992,Orinda,California
James Harden\hardeja01,2020,Aug 26 1989,Los Angeles,California
Solomon Hill\hillso01,2020,Mar 18 1991,Los Angeles,California
Jrue Holiday\holidjr01,2020,Jun 12 1990,Chatsworth,California
Justin Holiday\holidju01,2020,Apr 5 1989,Mission Hills,California
Chandler Hutchison\hutchch01,2020,Apr 26 1996,Mission Viejo,California
Josh Jackson\jacksjo02,2020,Feb 10 1997,San Diego,California
Stanley Johnson\johnsst04,2020,May 29 1996,Los Angeles,California
Kyle Korver\korveky01,2020,Mar 17 1981,Lakewood,California
Kawhi Leonard\leonaka01,2020,Jun 29 1991,Los Angeles,California
Damian Lillard\lillada01,2020,Jul 15 1990,Oakland,California
Brook Lopez\lopezbr01,2020,Apr 1 1988,North Hollywood,California
Robin Lopez\lopezro01,2020,Apr 1 1988,North Hollywood,California
Kevin Love\loveke01,2020,Sep 7 1988,Santa Monica,California
Jordan McLaughlin\mclaujo01,2020,Apr 9 1996,Etiwanda,California
De'Anthony Melton\meltode01,2020,May 28 1998,North Hollywood,California
Chimezie Metu\metuch01,2020,Mar 22 1997,Los Angeles,California
David Nwaba\nwabada01,2020,Jan 14 1993,Los Angeles,California
KZ Okpala\okpalkz01,2020,Apr 28 1999,Orange County,California
Miye Oni\onimi01,2020,Aug 4 1997,Los Angeles,California
Norman Powell\powelno01,2020,May 25 1993,San Diego,California
Austin Rivers\riverau01,2020,Aug 1 1992,Santa Monica,California
Tony Snell\snellto01,2020,Nov 10 1991,Los Angeles,California
Juan Toscano-Anderson\toscaju01,2020,Apr 10 1993,Oakland,California
Gabe Vincent\vincega01,2020,Jun 14 1996,Modesto,California
Tyrone Wallace\wallaty01,2020,Jun 10 1994,Bakersfield,California
Russell Westbrook\westbru01,2020,Nov 12 1988,Long Beach,California
D.J. Wilson\wilsodj01,2020,Feb 19 1996,Mount Shasta,California
Christian Wood\woodch01,2020,Sep 27 1995,Long Beach,California
Delon Wright\wrighde01,2020,Apr 26 1992,Los Angeles,California
Derrick White\whitede01,2020,Jul 2 1994,Parker,Colorado
Kris Dunn\dunnkr01,2020,Mar 18 1994,New London,Connecticut
Tremont Waters\watertr01,2020,Jan 10 1998,New Haven,Connecticut
Donte DiVincenzo\divindo01,2020,Jan 31 1997,Newark,Delaware
Quinn Cook\cookqu01,2020,Mar 23 1993,Washington,District of Columbia
Ed Davis\davised01,2020,Jun 5 1989,Washington,District of Columbia
Frank Jackson\jacksfr01,2020,May 4 1998,Washington,District of Columbia
Patrick Patterson\pattepa01,2020,Mar 14 1989,Washington,District of Columbia
Grayson Allen\allengr01,2020,Oct 8 1995,Jacksonville,Florida
Trevor Ariza\arizatr01,2020,Jun 30 1985,Miami,Florida
Dwayne Bacon\bacondw01,2020,Aug 30 1995,Lakeland,Florida
Tony Bradley\bradlto01,2020,Jan 8 1998,Bartow,Florida
Vince Carter\cartevi01,2020,Jan 26 1977,Daytona Beach,Florida
Joe Chealey\chealjo01,2020,Nov 1 1995,Orlando,Florida
Jordan Clarkson\clarkjo01,2020,Jun 7 1992,Tampa,Florida
Udonis Haslem\hasleud01,2020,Jun 9 1980,Miami,Florida
Dewan Hernandez\hernade01,2020,Dec 9 1996,Miami,Florida
Justin James\jamesju01,2020,Jan 24 1997,Port St. Lucie,Florida
Brandon Knight\knighbr03,2020,Dec 2 1991,Miami,Florida
Nassir Little\littlna01,2020,Feb 11 2000,Pensacola,Florida
Chandler Parsons\parsoch01,2020,Oct 25 1988,Casselberry,Florida
Mitchell Robinson\robinmi01,2020,Apr 1 1998,Pensacola,Florida
Anfernee Simons\simonan01,2020,Jun 8 1999,Longwood,Florida
Al-Farouq Aminu\aminual01,2020,Sep 21 1990,Atlanta,Georgia
Malik Beasley\beaslma01,2020,Nov 26 1996,Atlanta,Georgia
Malcolm Brogdon\brogdma01,2020,Dec 11 1992,Atlanta,Georgia
Jaylen Brown\brownja02,2020,Oct 24 1996,Marietta,Georgia
Kentavious Caldwell-Pope\caldwke01,2020,Feb 18 1993,Thomaston,Georgia
Wendell Carter\cartewe01,2020,Apr 16 1999,Atlanta,Georgia
Jae Crowder\crowdja01,2020,Jul 6 1990,Villa Rica,Georgia
Derrick Favors\favorde01,2020,Jul 15 1991,Atlanta,Georgia
Brandon Goodwin\goodwbr01,2020,Oct 2 1995,Norcross,Georgia
Jared Harper\harpeja01,2020,Sep 14 1997,Atlanta,Georgia
Dwight Howard\howardw01,2020,Dec 8 1985,Atlanta,Georgia
Jordan McRae\mcraejo01,2020,Mar 28 1991,Savannah,Georgia
Justin Patton\pattoju01,2020,Jun 14 1997,Omaha,Georgia
Collin Sexton\sextoco01,2020,Jan 4 1999,Marietta,Georgia
Keita Bates-Diop\bateske01,2020,Jan 23 1996,Bloomington,Illinois
Patrick Beverley\beverpa01,2020,Jul 12 1988,Chicago,Illinois
Sterling Brown\brownst02,2020,Feb 10 1995,Maywood,Illinois
Jevon Carter\carteje01,2020,Sep 14 1995,Maywood,Illinois
Robert Covington\covinro01,2020,Dec 14 1990,Bellwood,Illinois
Anthony Davis\davisan02,2020,Mar 11 1993,Chicago,Illinois
Richaun Holmes\holmeri01,2020,Oct 15 1993,Lockport,Illinois
Talen Horton-Tucker\hortota01,2020,Nov 25 2000,Chicago,Illinois
Andre Iguodala\iguodan01,2020,Jan 28 1984,Springfield,Illinois
Frank Kaminsky\kaminfr01,2020,Apr 4 1993,Lisle,Illinois
John Konchar\konchjo01,2020,Mar 22 1996,Chicago,Illinois
Vic Law\lawvi01,2020,Dec 19 1995,South Holland,Illinois
Meyers Leonard\leoname01,2020,Feb 27 1992,Robinson,Illinois
Alfonzo McKinnie\mckinal01,2020,Sep 17 1992,Chicago,Illinois
Matt Mooney\moonema01,2020,Feb 7 1997,Chicago,Illinois
Zach Norvell\norveza01,2020,Dec 9 1997,Chicago,Illinois
Kendrick Nunn\nunnke01,2020,Aug 3 1995,Chicago,Illinois
Jahlil Okafor\okafoja01,2020,Dec 15 1995,Chicago,Illinois
Jeremy Pargo\pargoje01,2020,Mar 17 1986,Chicago,Illinois
Jabari Parker\parkeja01,2020,Mar 15 1995,Chicago,Illinois
Chasson Randle\randlch01,2020,Feb 5 1993,Rock Island,Illinois
Isaiah Roby\robyis01,2020,Feb 3 1998,Dixon,Illinois
Derrick Rose\rosede01,2020,Oct 4 1988,Chicago,Illinois
Iman Shumpert\shumpim01,2020,Jun 26 1990,Oak Park,Illinois
Max Strus\strusma01,2020,Mar 28 1996,Hickory Hills,Illinois
Matt Thomas\thomama02,2020,Aug 4 1994,Decatur,Illinois
Evan Turner\turneev01,2020,Oct 27 1988,Chicago,Illinois
Fred VanVleet\vanvlfr01,2020,Feb 25 1994,Rockford,Illinois
Yogi Ferrell\ferreyo01,2020,May 9 1993,Indianapolis,Indiana
Darius Garland\garlada01,2020,Jan 26 2000,Gary,Indiana
Eric Gordon\gordoer01,2020,Dec 25 1988,Indianapolis,Indiana
Kyle Guy\guyky01,2020,Aug 11 1997,Indianapolis,Indiana
Gary Harris\harriga01,2020,Sep 14 1994,Fishers,Indiana
Gordon Hayward\haywago01,2020,Mar 23 1990,Indianapolis,Indiana
George Hill\hillge01,2020,May 4 1986,Indianapolis,Indiana
Romeo Langford\langfro01,2020,Oct 25 1999,New Albany,Indiana
Courtney Lee\leeco01,2020,Oct 3 1985,Indianapolis,Indiana
E'Twaun Moore\mooreet01,2020,Feb 25 1989,East Chicago,Indiana
Mason Plumlee\plumlma01,2020,Mar 5 1990,Fort Wayne,Indiana
Glenn Robinson\robingl02,2020,Jan 8 1994,Gary,Indiana
Caleb Swanigan\swanica01,2020,Apr 18 1997,Indianapolis,Indiana
Jeff Teague\teaguje01,2020,Jun 10 1988,Indianapolis,Indiana
Cody Zeller\zelleco01,2020,Oct 5 1992,Washington,Indiana
Harrison Barnes\barneha02,2020,May 30 1992,Ames,Iowa
Jarrod Uthoff\uthofja01,2020,May 19 1993,Cedar Rapids,Iowa
Willie Cauley-Stein\caulewi01,2020,Aug 18 1993,Spearville,Kansas
Semi Ojeleye\ojelese01,2020,Dec 5 1994,Overland Park,Kansas
Dean Wade\wadede01,2020,Nov 20 1996,Wichita,Kansas
Kelan Martin\martike03,2020,Aug 3 1995,Louisville,Kentucky
Rajon Rondo\rondora01,2020,Feb 22 1986,Louisville,Kentucky
D'Angelo Russell\russeda01,2020,Feb 23 1996,Louisville,Kentucky
P.J. Washington\washipj01,2020,Aug 23 1998,Louisville,Kentucky
D.J. Augustin\augusdj01,2020,Nov 10 1987,New Orleans,Louisiana
De'Aaron Fox\foxde01,2020,Dec 20 1997,New Orleans,Louisiana
Melvin Frazier\frazime01,2020,Aug 30 1996,New Orleans,Louisiana
Langston Galloway\gallola01,2020,Dec 9 1991,Baton Rouge,Louisiana
Josh Gray\grayjo01,2020,Sep 9 1993,Lake Charles,Louisiana
Aaron Holiday\holidaa01,2020,Sep 30 1996,Ruston,Louisiana
Damian Jones\jonesda03,2020,Jun 30 1995,Baton Rouge,Louisiana
Paul Millsap\millspa01,2020,Feb 10 1985,Monroe,Louisiana
Malik Newman\newmama01,2020,Feb 21 1997,Shreveport,Louisiana
Kelly Oubre\oubreke01,2020,Dec 9 1995,New Orleans,Louisiana
Elfrid Payton\paytoel01,2020,Feb 22 1994,Gretna,Louisiana
Garrett Temple\templga01,2020,May 8 1986,Baton Rouge,Louisiana
Robert Williams\williro04,2020,Oct 17 1997,Shreveport,Louisiana
Thaddeus Young\youngth01,2020,Jun 21 1988,New Orleans,Louisiana
Duncan Robinson\robindu01,2020,Apr 22 1994,York,Maine
Will Barton\bartowi01,2020,Jan 6 1991,Baltimore,Maryland
Reggie Bullock\bullore01,2020,Mar 16 1991,Baltimore,Maryland
Markelle Fultz\fultzma01,2020,May 29 1998,Upper Marlboro,Maryland
Rudy Gay\gayru01,2020,Aug 17 1986,Baltimore,Maryland
Treveon Graham\grahatr01,2020,Oct 28 1993,Temple Hills,Maryland
Jeff Green\greenje02,2020,Aug 28 1986,Cheverly,Maryland
Josh Hart\hartjo01,2020,Mar 6 1995,Silver Spring,Maryland
Stanton Kidd\kiddst01,2020,Mar 18 1992,Baltimore,Maryland
Damion Lee\leeda03,2020,Oct 21 1992,Baltimore,Maryland
Rodney McGruder\mcgruro01,2020,Jul 29 1991,Landover,Maryland
Malcolm Miller\millema01,2020,Mar 6 1993,Gaithersburg,Maryland
Victor Oladipo\oladivi01,2020,May 4 1992,Silver Spring,Maryland
Darius Bazley\bazleda01,2020,Jun 12 2000,Boston,Massachusetts
Bruce Brown\brownbr01,2020,Aug 15 1996,Boston,Massachusetts
Michael Carter-Williams\cartemi01,2020,Oct 10 1991,Hamilton,Massachusetts
Pat Connaughton\connapa01,2020,Jan 6 1993,Arlington,Massachusetts
Jake Layman\laymaja01,2020,Mar 7 1994,Norwood,Massachusetts
Shabazz Napier\napiesh01,2020,Jul 14 1991,Roxbury,Massachusetts
Georges Niang\niangge01,2020,Jun 17 1993,Lawrence,Massachusetts
Nerlens Noel\noelne01,2020,Apr 10 1994,Malden,Massachusetts
Noah Vonleh\vonleno01,2020,Aug 24 1995,Salem,Massachusetts
Devin Booker\bookede01,2020,Oct 30 1996,Grand Rapids,Michigan
Brian Bowen\bowenbr02,2020,Oct 2 1998,Saginaw,Michigan
Miles Bridges\bridgmi02,2020,Mar 21 1998,Flint,Michigan
Wilson Chandler\chandwi01,2020,May 10 1987,Benton Harbor,Michigan
Bryn Forbes\forbebr01,2020,Jul 23 1993,Lansing,Michigan
Draymond Green\greendr01,2020,Mar 4 1990,Saginaw,Michigan
Kyle Kuzma\kuzmaky01,2020,Jul 24 1995,Flint,Michigan
JaVale McGee\mcgeeja01,2020,Jan 19 1988,Flint,Michigan
Monte Morris\morrimo01,2020,Jun 27 1995,Grand Rapids,Michigan
Edmond Sumner\sumneed01,2020,Dec 31 1995,Detroit,Michigan
Denzel Valentine\valende01,2020,Nov 16 1993,Lansing,Michigan
Derrick Walton\waltode01,2020,Apr 3 1995,Detroit,Michigan
Amir Coffey\coffeam01,2020,Jun 17 1997,Hopkins,Minnesota
Tyus Jones\jonesty01,2020,May 10 1996,Burnsville,Minnesota
J.P. Macura\macurjp01,2020,Jun 5 1995,Lakeville,Minnesota
Mike Muscala\muscami01,2020,Jul 1 1991,St. Louis Park,Minnesota
Terence Davis\daviste02,2020,May 16 1997,Southaven,Mississippi
Drew Eubanks\eubandr01,2020,Feb 1 1997,Starkville,Mississippi
Rodney Hood\hoodro01,2020,Oct 20 1992,Meridian,Mississippi
Quinndary Weatherspoon\weathqu01,2020,Sep 10 1996,Canton,Mississippi
Bradley Beal\bealbr01,2020,Jun 28 1993,St. Louis,Missouri
Alec Burks\burksal01,2020,Jul 20 1991,Grandview,Missouri
Tyler Cook\cookty01,2020,Sep 23 1997,St. Louis,Missouri
Shaquille Harrison\harrish01,2020,Oct 6 1993,Kansas City,Missouri
Patrick McCaw\mccawpa01,2020,Oct 25 1995,St. Louis,Missouri
Ben McLemore\mclembe01,2020,Feb 11 1993,St. Louis,Missouri
Juwan Morgan\morgaju01,2020,Apr 17 1997,Waynesville,Missouri
Michael Porter\portemi01,2020,Jun 29 1998,Columbia,Missouri
Otto Porter\porteot01,2020,Jun 3 1993,St. Louis,Missouri
Landry Shamet\shamela01,2020,Mar 13 1997,Kansas City,Missouri
Jayson Tatum\tatumja01,2020,Mar 3 1998,St. Louis,Missouri
Anthony Tolliver\tollian01,2020,Jun 1 1985,Springfield,Missouri
Khyri Thomas\thomakh01,2020,May 8 1996,Omaha,Nebraska
Troy Brown\browntr01,2020,Jul 28 1999,Las Vegas,Nevada
Zach Collins\colliza01,2020,Nov 19 1997,Las Vegas,Nevada
Bam Adebayo\adebaba01,2020,Jul 18 1997,Newark,New Jersey
Kyle Anderson\anderky01,2020,Sep 20 1993,Fairview,New Jersey
Jalen Brunson\brunsja01,2020,Aug 31 1996,New Brunswick,New Jersey
Jaren Jackson\jacksja02,2020,Sep 15 1999,Plainfield,New Jersey
Louis King\kinglo02,2020,Apr 6 1999,Seacaucus,New Jersey
Naz Reid\reidna01,2020,Aug 26 1999,Asbury Park,New Jersey
Karl-Anthony Towns\townska01,2020,Nov 15 1995,Edison,New Jersey
Carmelo Anthony\anthoca01,2020,May 29 1984,Brooklyn,New York
Mohamed Bamba\bambamo01,2020,May 12 1998,Harlem,New York
Moses Brown\brownmo01,2020,Oct 13 1999,New York,New York
Thomas Bryant\bryanth01,2020,Jul 31 1997,Rochester,New York
Hamidou Diallo\diallha01,2020,Jul 31 1998,Queens,New York
Andre Drummond\drumman01,2020,Aug 10 1993,Mount Vernon,New York
Michael Frazier\frazimi01,2020,Mar 8 1994,The Bronx,New York
Taj Gibson\gibsota01,2020,Jun 24 1985,Brooklyn,New York
Danny Green\greenda02,2020,Jun 22 1987,North Babylon,New York
Maurice Harkless\harklma01,2020,May 11 1993,Queens,New York
Tobias Harris\harrito02,2020,Jul 15 1992,Islip,New York
Kevin Huerter\huertke01,2020,Aug 27 1998,Albany,New York
Jonathan Isaac\isaacjo01,2020,Oct 3 1997,The Bronx,New York
Ty Jerome\jeromty01,2020,Jul 8 1997,New York,New York
Jalen Lecque\lecquja01,2020,Jun 13 2000,New York,New York
Terance Mann\mannte01,2020,Oct 18 1996,Brooklyn,New York
Donovan Mitchell\mitchdo01,2020,Sep 7 1996,Elmsford,New York
Kyle O'Quinn\oquinky01,2020,Mar 26 1990,Queens,New York
