,Player,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,City,State,2019-20
0,Bam Adebayo,22,MIA,65,2235,20.6,0.606,0.018000000000000002,0.47600000000000003,8.7,25.0,17.2,23.6,1.7,3.8,17.5,20.8,4.6,3.6,8.1,0.175,1.6,2.1,3.6,3.2,Newark,New Jersey,3454080
1,Grayson Allen,24,MEM,30,498,11.4,0.5770000000000001,0.517,0.19899999999999998,1.1,12.6,7.0,11.8,0.6,0.2,10.7,17.9,0.5,0.3,0.7,0.07,-1.0,-1.5,-2.6,-0.1,Jacksonville,Florida,2429400
2,Al-Farouq Aminu,29,ORL,18,380,7.6,0.395,0.419,0.337,6.6,18.4,12.3,7.4,2.3,1.9,14.7,13.2,-0.4,0.5,0.1,0.016,-4.5,1.4,-3.1,-0.1,Atlanta,Georgia,9258000
3,Justin Anderson,26,BRK,3,17,-3.8,0.218,0.5,0.33299999999999996,0.0,11.8,6.1,0.0,0.0,4.9,0.0,16.9,-0.1,0.0,-0.1,-0.16699999999999998,-12.8,-2.3,-15.1,-0.1,Montross,Virginia,98144
4,Kyle Anderson,26,MEM,59,1140,13.0,0.542,0.221,0.23600000000000002,5.1,18.3,11.8,15.1,1.9,2.4,15.1,13.3,0.9,1.4,2.2,0.095,-1.3,1.9,0.6,0.7,Fairview,New Jersey,9073050
5,Ryan Anderson,31,HOU,2,14,9.5,0.35700000000000004,0.7140000000000001,0.0,0.0,52.8,26.2,20.1,3.3,0.0,12.5,23.6,0.0,0.0,0.0,-0.031,-4.1,0.7,-3.4,0.0,Sacramento,California,5214583
6,Carmelo Anthony,35,POR,50,1623,12.2,0.517,0.28600000000000003,0.19699999999999998,4.0,15.8,10.0,7.0,1.2,1.2,10.5,21.6,0.1,0.9,1.0,0.028999999999999998,-1.9,-1.8,-3.7,-0.7,Brooklyn,New York,2159029
7,Ryan Arcidiacono,25,CHI,58,930,9.0,0.551,0.627,0.17300000000000001,2.3,11.2,6.5,14.3,1.4,0.3,13.5,12.5,0.7,0.7,1.4,0.07,-2.7,-0.1,-2.8,-0.2,Langhorne,Pennsylvania,3000000
8,Trevor Ariza,34,TOT,53,1493,11.0,0.593,0.639,0.228,2.5,15.6,9.0,8.1,2.2,0.9,13.6,11.9,1.3,1.3,2.6,0.084,-1.5,0.9,-0.5,0.6,Miami,Florida,12200000
9,D.J. Augustin,32,ORL,49,1215,14.2,0.5479999999999999,0.43799999999999994,0.395,1.5,8.3,4.8,26.7,1.2,0.1,12.9,19.1,1.8,0.8,2.6,0.10099999999999999,-0.3,-1.0,-1.4,0.2,New Orleans,Louisiana,7250000
10,Dwayne Bacon,24,CHO,39,687,6.1,0.419,0.275,0.217,2.3,14.0,7.9,11.7,1.7,0.3,12.2,19.5,-1.2,0.4,-0.8,-0.053,-5.9,-0.9,-6.8,-0.8,Lakeland,Florida,1618520
11,Marvin Bagley III,20,SAC,13,334,15.7,0.512,0.132,0.18600000000000003,9.5,23.6,16.4,5.0,0.9,3.4,9.1,25.9,0.0,0.4,0.4,0.055,-2.1,-1.3,-3.4,-0.1,Tempe,Arizona,8556120
12,Lonzo Ball,22,NOP,56,1817,13.7,0.529,0.578,0.107,3.6,16.6,10.1,29.3,2.0,1.4,20.7,18.6,0.7,1.9,2.6,0.068,0.4,0.6,1.0,1.3,Anaheim,California,8719320
13,Mo Bamba,21,ORL,60,868,17.8,0.5489999999999999,0.369,0.163,11.7,25.7,18.5,7.3,1.2,8.9,12.2,17.2,0.9,1.7,2.5,0.14,-1.1,1.7,0.5,0.6,Harlem,New York,5697600
14,Harrison Barnes,27,SAC,64,2231,13.3,0.575,0.342,0.34299999999999997,3.0,12.7,7.7,9.9,0.8,0.4,8.9,17.6,3.1,1.1,4.2,0.091,0.0,-1.2,-1.2,0.5,Ames,Iowa,24147727
15,Will Barton,29,DEN,58,1916,15.7,0.5489999999999999,0.39,0.18,4.4,16.8,10.6,16.0,1.6,1.4,9.9,20.0,2.4,2.1,4.5,0.113,1.2,-0.1,1.2,1.5,Baltimore,Maryland,12960000
16,Keita Bates-Diop,24,TOT,39,665,12.6,0.541,0.452,0.332,3.2,15.0,8.9,6.5,1.2,2.6,5.5,15.6,0.6,0.5,1.1,0.081,-0.8,-0.1,-0.8,0.2,Bloomington,Illinois,1416852
17,Darius Bazley,19,OKC,53,909,8.1,0.475,0.435,0.204,2.7,20.7,12.0,4.3,1.1,3.3,13.8,14.1,-0.8,1.2,0.4,0.019,-3.1,0.6,-2.5,-0.1,Boston,Massachusetts,2284800
18,Bradley Beal,26,WAS,57,2053,23.1,0.579,0.369,0.35100000000000003,2.7,10.6,6.5,29.1,1.6,1.0,11.4,34.4,4.6,0.5,5.1,0.11900000000000001,5.3,-2.4,2.9,2.5,St. Louis,Missouri,27093019
19,Malik Beasley,23,TOT,55,1209,12.7,0.546,0.517,0.124,1.6,11.9,6.6,9.4,1.6,0.6,9.2,21.8,0.4,0.9,1.3,0.053,-0.7,-1.3,-2.0,0.0,Atlanta,Georgia,2731714
20,Jordan Bell,25,TOT,29,256,13.9,0.5770000000000001,0.179,0.46299999999999997,12.0,21.8,16.7,8.9,0.5,3.2,20.7,16.4,0.2,0.2,0.4,0.07,-1.4,-1.1,-2.5,0.0,Los Angeles,California,1620564
21,Patrick Beverley,31,LAC,48,1299,12.3,0.5539999999999999,0.609,0.126,4.6,15.7,10.3,18.2,1.9,1.7,15.7,13.0,1.4,2.0,3.4,0.126,-0.5,2.6,2.1,1.3,Chicago,Illinois,12345679
22,Eric Bledsoe,30,MIL,56,1524,18.1,0.579,0.304,0.292,2.8,13.3,8.4,28.5,1.6,1.4,15.8,24.0,2.4,2.9,5.3,0.168,1.1,1.1,2.2,1.6,Birmingham,Alabama,15625000
23,Devin Booker,23,PHO,62,2241,19.8,0.617,0.313,0.395,1.3,11.7,6.4,30.2,1.0,0.6,15.7,29.5,4.8,1.2,6.0,0.129,3.1,-1.4,1.7,2.1,Grand Rapids,Michigan,27250000
24,Avery Bradley,29,LAL,49,1186,8.9,0.537,0.452,0.063,1.7,8.7,5.3,7.1,1.7,0.4,10.7,15.7,0.2,1.4,1.6,0.066,-2.9,0.5,-2.4,-0.1,Tacoma,Washington,4767000
25,Tony Bradley,22,UTA,50,535,21.8,0.675,0.006,0.258,19.3,24.7,22.1,4.9,1.1,3.9,11.8,16.1,1.8,0.9,2.7,0.242,0.9,0.4,1.3,0.4,Bartow,Florida,1962360
26,Mikal Bridges,23,PHO,65,1772,13.0,0.623,0.391,0.258,3.6,12.8,8.1,8.9,2.5,1.9,12.5,12.4,2.2,1.9,4.1,0.111,-0.7,1.5,0.8,1.3,Philadelphia,Pennsylvania,4161000
27,Miles Bridges,21,CHO,65,1995,12.1,0.52,0.39799999999999996,0.174,4.6,15.6,9.9,9.4,1.0,2.2,10.5,20.0,0.3,1.3,1.6,0.038,-1.5,-1.0,-2.5,-0.3,Flint,Michigan,3755400
28,Malcolm Brogdon,27,IND,48,1472,17.8,0.537,0.29600000000000004,0.24600000000000002,3.0,13.8,8.5,34.5,1.1,0.5,13.6,25.2,2.0,1.4,3.5,0.113,2.2,-0.5,1.7,1.4,Atlanta,Georgia,20000000
29,Bruce Brown,23,DET,58,1634,11.9,0.518,0.215,0.266,4.2,15.0,9.5,20.4,1.9,1.5,16.7,16.0,0.8,1.4,2.1,0.062,-2.0,0.8,-1.2,0.3,Boston,Massachusetts,1416852
30,Jaylen Brown,23,BOS,50,1702,17.1,0.589,0.364,0.28,3.4,16.5,10.0,10.2,1.6,0.9,11.8,24.7,2.1,2.3,4.5,0.126,1.0,-0.1,0.9,1.2,Marietta,Georgia,6534829
