Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,City,State,2019-20
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Bam Adebayo,22,MIA,65,65,2235,6.6,11.6,0.5670000000000001,0.0,0.2,0.077,6.6,11.4,0.5760000000000001,3.8,5.5,0.69,2.7,8.3,11.0,5.4,1.3,1.4,3.0,2.6,17.0,Newark,New Jersey,3454080
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,LaMarcus Aldridge,34,SAS,53,53,1754,8.0,16.3,0.493,1.3,3.2,0.389,6.8,13.1,0.519,3.2,3.9,0.8270000000000001,2.1,5.9,8.0,2.6,0.7,1.8,1.5,2.6,20.5,Dallas,Texas,26000000
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Grayson Allen,24,MEM,30,0,498,5.7,12.7,0.449,2.4,6.6,0.363,3.3,6.1,0.541,2.2,2.5,0.857,0.4,4.4,4.8,3.1,0.4,0.1,1.7,2.6,16.0,Jacksonville,Florida,2429400
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Jarrett Allen,21,BRK,64,58,1647,5.8,9.0,0.6459999999999999,0.0,0.1,0.0,5.8,8.9,0.654,3.2,5.2,0.62,4.3,9.0,13.2,1.9,0.8,1.9,1.6,3.1,14.9,Austin,Texas,2376840
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Al-Farouq Aminu,29,ORL,18,2,380,2.4,8.1,0.29100000000000004,0.9,3.4,0.25,1.5,4.7,0.32,1.8,2.7,0.655,2.3,6.0,8.2,2.0,1.7,0.8,1.6,2.6,7.4,Atlanta,Georgia,9258000
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,Justin Anderson,26,BRK,3,0,17,2.1,12.7,0.16699999999999998,0.0,6.4,0.0,2.1,6.4,0.333,2.1,4.2,0.5,0.0,4.2,4.2,0.0,0.0,2.1,0.0,4.2,6.4,Montross,Virginia,98144
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,Kyle Anderson,26,MEM,59,20,1140,4.4,8.8,0.493,0.5,2.0,0.258,3.9,6.9,0.56,1.4,2.1,0.652,1.7,6.4,8.1,4.2,1.5,1.0,1.7,2.7,10.6,Fairview,New Jersey,9073050
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Ryan Anderson,31,HOU,2,0,14,5.1,18.0,0.28600000000000003,2.6,12.9,0.2,2.6,5.1,0.5,0.0,0.0,0.0,0.0,18.0,18.0,5.1,2.6,0.0,2.6,2.6,12.9,Sacramento,California,5214583
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,Carmelo Anthony,35,POR,50,50,1623,6.4,15.1,0.426,1.6,4.3,0.371,4.8,10.8,0.447,2.5,3.0,0.843,1.4,5.6,6.9,1.8,0.9,0.5,1.9,3.1,16.9,Brooklyn,New York,2159029
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,Ryan Arcidiacono,25,CHI,58,4,930,3.5,8.5,0.409,2.1,5.3,0.391,1.4,3.2,0.439,1.0,1.5,0.711,0.8,3.5,4.3,3.7,1.0,0.1,1.4,3.7,10.1,Langhorne,Pennsylvania,3000000
